Time,DecapterusMaruadsi.biomass.csv
1,47382.87576
2,47382.87576
3,47382.87576
4,47382.87576
5,47382.87576
6,47382.87576
7,47382.87576
8,47382.87576
9,47382.87576
10,47382.87576
11,47382.87576
12,47382.87576
13,47382.87576
14,47382.87576
15,47382.87576
16,47382.87576
17,47382.87576
18,47382.87576
19,47382.87576
20,47382.87576
21,47382.87576
22,43614.26183
23,41536.43118
24,39893.4826
25,38974.00462
26,37380.02832
27,35533.80088
28,33283.64175
29,23084.31137
30,19615.97025
31,12195.04763
32,13206.73512
33,13225.08043
34,11929.39674
35,11151.34668
36,9579.088563
37,9377.919148
38,10193.40415
39,11698.62592
40,12675.27141
41,12081.1681
42,12009.65864
43,11911.69141
44,13227.93709
45,15234.0142
46,17690.93107
47,18987.85005
48,19571.45607
49,18427.81663
50,16587.17665
