Time,DecapterusMaruadsi.landings.csv
1,3768.613927
2,3768.613927
3,3768.613927
4,3768.613927
5,3768.613927
6,3768.613927
7,3768.613927
8,3768.613927
9,3768.613927
10,3768.613927
11,3768.613927
12,3768.613927
13,3768.613927
14,3768.613927
15,3768.613927
16,3768.613927
17,3768.613927
18,3768.613927
19,3768.613927
20,3768.613927
21,3768.613927
22,3378.039351
23,3563.933287
24,3282.955485
25,4186.457536
26,4804.009449
27,5580.809147
28,13911.51229
29,7905.453522
30,11729.56222
31,2382.836284
32,3552.09171
33,4869.161142
34,4123.697952
35,4768.332464
36,3065.758878
37,2003.869049
38,1493.541226
39,2325.637726
40,4074.14781
41,3445.217786
42,3458.499841
43,2026.10501
44,1567.8733
45,1417.290359
46,2858.283815
47,3681.412795
48,5449.39319
49,6061.502728
50,9319.416655
