Time,EngraulisJaponicus.biomass.csv
1,1677877.129
2,1677877.129
3,1677877.129
4,1677877.129
5,1677877.129
6,1677877.129
7,1677877.129
8,1677877.129
9,1677877.129
10,1677877.129
11,1677877.129
12,1677877.129
13,1677877.129
14,1677877.129
15,1677877.129
16,1677877.129
17,1677877.129
18,1677877.129
19,1677877.129
20,1677877.129
21,1677877.129
22,1659901.272
23,1633567.746
24,1596535.408
25,1462585.777
26,1427279.819
27,1390162.598
28,1361596.154
29,1186405.24
30,1026456.027
31,979241.9402
32,929826.0484
33,847722.5986
34,790754.1045
35,708314.9958
36,665727.2473
37,634621.694
38,615359.705
39,600209.3397
40,624777.7232
41,694843.8414
42,752537.9368
43,763962.3759
44,757886.9806
45,744097.8591
46,708723.1949
47,667083.1264
48,659991.0025
49,683231.1962
50,721567.8002
