Time,EngraulisJaponicus.landings.csv
1,17975.8569
2,17975.8569
3,17975.8569
4,17975.8569
5,17975.8569
6,17975.8569
7,17975.8569
8,17975.8569
9,17975.8569
10,17975.8569
11,17975.8569
12,17975.8569
13,17975.8569
14,17975.8569
15,17975.8569
16,17975.8569
17,17975.8569
18,17975.8569
19,17975.8569
20,17975.8569
21,17975.8569
22,36083.26804
23,60683.59029
24,176383.5549
25,138195.021
26,153988.2351
27,159258.3456
28,315906.6497
29,350474.674
30,265700.0065
31,272959.2363
32,309379.7993
33,286918.7966
34,311655.9841
35,266988.0128
36,251277.7337
37,235597.021
38,228792.2483
39,186784.8681
40,144922.8552
41,165496.9257
42,216111.8324
43,234214.084
44,241618.0699
45,262411.1027
46,266075.1237
47,227417.1824
48,196271.9202
49,183716.8236
50,301553.764
