Time,LarimichthysPolyactis.biomass.csv
1,1155525.258
2,1155525.258
3,1155525.258
4,1155525.258
5,1155525.258
6,1155525.258
7,1155525.258
8,1155525.258
9,1155525.258
10,1155525.258
11,1155525.258
12,1155525.258
13,1155525.258
14,1155525.258
15,1155525.258
16,1155525.258
17,1155525.258
18,1155525.258
19,1155525.258
20,1155525.258
21,1155525.258
22,1138339.406
23,1117836.873
24,1099716.942
25,1084474.248
26,1060204.747
27,1018175.323
28,944469.5206
29,974053.0817
30,966405.1595
31,945904.1765
32,917691.2307
33,912711.2944
34,902289.1853
35,886692.0248
36,860003.5217
37,837124.1052
38,811909.3985
39,768338.0254
40,726786.162
41,682692.2781
42,625712.7603
43,579038.1549
44,530553.5983
45,503282.1693
46,486761.9486
47,447343.7602
48,451465.7989
49,459635.6852
50,473844.163
