Time,LarimichthysPolyactis.landings.csv
1,17185.85287
2,17185.85287
3,17185.85287
4,17185.85287
5,17185.85287
6,17185.85287
7,17185.85287
8,17185.85287
9,17185.85287
10,17185.85287
11,17185.85287
12,17185.85287
13,17185.85287
14,17185.85287
15,17185.85287
16,17185.85287
17,17185.85287
18,17185.85287
19,17185.85287
20,17185.85287
21,17185.85287
22,31815.48174
23,42482.26808
24,50733.25084
25,68827.17226
26,100469.2738
27,154575.1629
28,85686.91664
29,109865.5165
30,126190.0122
31,142873.7764
32,131192.7808
33,138578.4403
34,147728.0336
35,164532.7804
36,169847.3685
37,179348.3564
38,204900.8598
39,213582.7146
40,224284.7283
41,243645.7382
42,238378.1721
43,241516.7567
44,219015.7769
45,206345.4847
46,227662.5782
47,179075.2082
48,175639.2845
49,170755.4549
50,171698.1923
