Time,MiichthysMiiuy.biomass.csv
1,53843.0615
2,53843.0615
3,54843.0615
4,55843.0615
5,56843.0615
6,57843.0615
7,58843.0615
8,59843.0615
9,60843.0615
10,61843.0615
11,62843.0615
12,63843.0615
13,64843.0615
14,65843.0615
15,66843.0615
16,67843.0615
17,68843.0615
18,69843.0615
19,70843.0615
20,71843.0615
21,72843.0615
22,72759.8155
23,72690.57041
24,72656.58623
25,72711.92979
26,72736.20813
27,72680.8257
28,72717.26919
29,72738.23264
30,72720.46018
31,72698.37484
32,72733.95805
33,72658.64663
34,72443.28235
35,67178.85899
36,66017.46384
37,67037.91691
38,65968.16422
39,64243.62658
40,63776.35378
41,63413.77648
42,62407.68522
43,62543.99312
44,54880.39848
45,47719.5731
46,42494.33393
47,39134.32188
48,35178.42963
49,33500.90656
50,31348.76903
