Time,MiichthysMiiuy.landings.csv
1,83.2459952
2,83.2459952
3,83.2459952
4,83.2459952
5,83.2459952
6,83.2459952
7,83.2459952
8,83.2459952
9,83.2459952
10,83.2459952
11,83.2459952
12,83.2459952
13,83.2459952
14,83.2459952
15,83.2459952
16,83.2459952
17,83.2459952
18,83.2459952
19,83.2459952
20,83.2459952
21,83.2459952
22,118.9539864
23,124.9549099
24,55.84891543
25,53.97313216
26,119.1673483
27,60.32761127
28,54.1073108
29,80.35061694
30,95.25497248
31,50.74094321
32,140.4374911
33,325.3312819
34,5502.105966
35,4284.240992
36,2677.647105
37,4263.589363
38,5446.566719
39,5001.24772
40,5108.148047
41,5913.37909
42,5208.416774
43,12950.02722
44,15251.17201
45,15064.34521
46,13944.03235
47,14782.1778
48,12551.52301
49,12968.81436
50,13257.14855
