Time,MuraenesoxCinereus.biomass.csv
1,1369865.924
2,1369865.924
3,1369865.924
4,1369865.924
5,1369865.924
6,1369865.924
7,1369865.924
8,1369865.924
9,1369865.924
10,1369865.924
11,1369865.924
12,1369865.924
13,1369865.924
14,1369865.924
15,1369865.924
16,1369865.924
17,1369865.924
18,1369865.924
19,1369865.924
20,1369865.924
21,1369865.924
22,1358147.272
23,1347538.815
24,1343738.241
25,1331123.636
26,1291177.247
27,1258184.855
28,1247849.145
29,1222939.812
30,1185011.656
31,1151220.94
32,1130357.99
33,1110929.125
34,1091741.817
35,1073046.766
36,1037967.176
37,1016198.044
38,959635.8606
39,924063.1677
40,884843.2103
41,852734.1778
42,823655.0217
43,776651.5573
44,728325.1217
45,688970.7923
46,634466.7603
47,588874.6947
48,546316.9541
49,514435.4099
50,484711.3314
