Time,MuraenesoxCinereus.landings.csv
1,11718.65232
2,11718.65232
3,11718.65232
4,11718.65232
5,11718.65232
6,11718.65232
7,11718.65232
8,11718.65232
9,11718.65232
10,11718.65232
11,11718.65232
12,11718.65232
13,11718.65232
14,11718.65232
15,11718.65232
16,11718.65232
17,11718.65232
18,11718.65232
19,11718.65232
20,11718.65232
21,11718.65232
22,13818.9201
23,9869.571163
24,19696.65068
25,50349.1062
26,53487.07737
27,38680.10352
28,55622.51333
29,74173.08178
30,77977.79121
31,71636.94615
32,74039.73108
33,77213.39361
34,79944.43593
35,99326.71897
36,91260.74427
37,129058.697
38,114983.0414
39,122317.381
40,118679.8561
41,118031.6276
42,137753.9305
43,141261.8045
44,133606.7956
45,149133.0187
46,139710.5999
47,135328.7321
48,122637.9433
49,118492.5501
50,111465.5883
