Time,PampusArgenteus.biomass.csv
1,71509.66379
2,71509.66379
3,71509.66379
4,71509.66379
5,71509.66379
6,71509.66379
7,71509.66379
8,71509.66379
9,71509.66379
10,71509.66379
11,71509.66379
12,71509.66379
13,71509.66379
14,71509.66379
15,71509.66379
16,71509.66379
17,71509.66379
18,71509.66379
19,71509.66379
20,71509.66379
21,71509.66379
22,62449.61777
23,53138.03327
24,42529.62995
25,40272.87582
26,35944.51909
27,26037.0925
28,16465.6968
29,14796.80327
30,15249.88319
31,13186.82134
32,12571.87806
33,8989.67288
34,4379.584168
35,3384.052865
36,2292.809293
37,1880.850376
38,1683.927653
39,1895.04673
40,2051.922474
41,2100.507886
42,2490.539734
43,3026.003825
44,3640.333495
45,4529.657575
46,5725.404845
47,7373.182767
48,9403.76916
49,12057.54138
50,15384.03372
