Time,PampusArgenteus.landings.csv
1,9060.046014
2,9060.046014
3,9060.046014
4,9060.046014
5,9060.046014
6,9060.046014
7,9060.046014
8,9060.046014
9,9060.046014
10,9060.046014
11,9060.046014
12,9060.046014
13,9060.046014
14,9060.046014
15,9060.046014
16,9060.046014
17,9060.046014
18,9060.046014
19,9060.046014
20,9060.046014
21,9060.046014
22,12169.75016
23,15539.91864
24,8482.877183
25,10683.22013
26,16365.22473
27,15552.3324
28,6247.328468
29,3786.049353
30,6397.090309
31,4500.077362
32,7325.216864
33,7449.249593
34,2480.704993
35,2255.83813
36,1213.649902
37,858.4845686
38,382.8531782
39,509.5435624
40,671.3753234
41,346.4605821
42,332.8765457
43,432.5183654
44,358.7545378
45,336.8842875
46,254.8567005
47,358.2551054
48,296.4993164
49,294.7144974
50,287.7814798
