Time,PennahiaArgentata.biomass.csv
1,490144.656
2,490144.656
3,490144.656
4,490144.656
5,490144.656
6,490144.656
7,490144.656
8,490144.656
9,490144.656
10,490144.656
11,490144.656
12,490144.656
13,490144.656
14,490144.656
15,490144.656
16,490144.656
17,490144.656
18,490144.656
19,490144.656
20,490144.656
21,490144.656
22,465015.373
23,464889.255
24,455491.928
25,447501.585
26,425320.456
27,425428.281
28,400889.269
29,415839.567
30,433440.526
31,441207.08
32,454176.542
33,460357.155
34,465304.119
35,404259.016
36,375211.286
37,363035.829
38,335100.146
39,321886.427
40,297843.764
41,277960.346
42,258520.994
43,245464.756
44,231691.68
45,218297.542
46,213673.558
47,209879.718
48,211026.417
49,219225.771
50,227178.254
