Time,PennahiaArgentata.landings.csv
1,25129.28299
2,25129.28299
3,25129.28299
4,25129.28299
5,25129.28299
6,25129.28299
7,25129.28299
8,25129.28299
9,25129.28299
10,25129.28299
11,25129.28299
12,25129.28299
13,25129.28299
14,25129.28299
15,25129.28299
16,25129.28299
17,25129.28299
18,25129.28299
19,25129.28299
20,25129.28299
21,25129.28299
22,18184.11707
23,27541.03298
24,32381.94527
25,51670.48377
26,42498.65539
27,67085.40614
28,40344.09348
29,30148.29532
30,30214.44876
31,20396.7689
32,19063.75992
33,16244.0227
34,78906.69229
35,82701.77807
36,78816.87791
37,99245.18786
38,93502.19792
39,107737.9873
40,108393.3542
41,110581.3043
42,105590.1574
43,106586.2572
44,105930.878
45,96329.56965
46,95083.74176
47,89752.7931
48,82822.83225
49,83828.58449
50,78917.44473
