Time,PortunusTrituberculatus.biomass.csv
1,2172788.389
2,2172788.389
3,2172788.389
4,2172788.389
5,2172788.389
6,2172788.389
7,2172788.389
8,2172788.389
9,2172788.389
10,2172788.389
11,2172788.389
12,2172788.389
13,2172788.389
14,2172788.389
15,2172788.389
16,2172788.389
17,2172788.389
18,2172788.389
19,2172788.389
20,2172788.389
21,2172788.389
22,2142808.78
23,2110587.297
24,2074117.964
25,2047303.089
26,1982536.569
27,1927310.156
28,1889294.972
29,1856623.137
30,1819399.308
31,1784609.607
32,1740333.576
33,1696236.816
34,1651044.479
35,1616655.033
36,1574934.452
37,1528416.107
38,1477215.958
39,1425738.673
40,1375048.517
41,1332968.012
42,1288327.956
43,1236024.902
44,1175355.651
45,1106959.693
46,1009465.63
47,926330.0075
48,849215.3742
49,773644.6785
50,700859.0948
