Time,PortunusTrituberculatus.landings.csv
1,29979.60837
2,29979.60837
3,29979.60837
4,29979.60837
5,29979.60837
6,29979.60837
7,29979.60837
8,29979.60837
9,29979.60837
10,29979.60837
11,29979.60837
12,29979.60837
13,29979.60837
14,29979.60837
15,29979.60837
16,29979.60837
17,29979.60837
18,29979.60837
19,29979.60837
20,29979.60837
21,29979.60837
22,33399.77154
23,38877.26102
24,30568.60144
25,69478.64865
26,62144.59714
27,46692.92675
28,42495.75665
29,47990.46453
30,46582.6741
31,56982.27456
32,57901.09131
33,60018.83327
34,50189.49014
35,58211.25583
36,63788.63861
37,69264.42683
38,70323.689
39,70225.97317
40,62200.20314
41,65172.86024
42,73203.08753
43,81906.55178
44,89898.76055
45,119134.2674
46,104675.0372
47,98292.66805
48,96186.86136
49,92639.49184
50,88670.88189
