Time,ScomberJaponicus.biomass.csv
1,1930505.65
2,1930505.65
3,1930505.65
4,1930505.65
5,1930505.65
6,1930505.65
7,1930505.65
8,1930505.65
9,1930505.65
10,1930505.65
11,1930505.65
12,1930505.65
13,1930505.65
14,1930505.65
15,1930505.65
16,1930505.65
17,1930505.65
18,1930505.65
19,1930505.65
20,1930505.65
21,1930505.65
22,1799430.19
23,1708841.461
24,1647729.918
25,1595772.613
26,1516007.578
27,1440755.826
28,1421840.236
29,1383800.699
30,1387767.024
31,1393774.66
32,1430443.817
33,1439334.051
34,1426226.604
35,1403901.674
36,1372819.03
37,1330693.37
38,1311096.512
39,1333285.014
40,1227238.752
41,1225437.007
42,1191065.641
43,1110923.865
44,1069242.496
45,1037919.301
46,1021105.209
47,1004407.564
48,999866.0754
49,988426.3507
50,968290.4778
