Time,ScomberJaponicus.landings.csv
1,131075.4596
2,131075.4596
3,131075.4596
4,131075.4596
5,131075.4596
6,131075.4596
7,131075.4596
8,131075.4596
9,131075.4596
10,131075.4596
11,131075.4596
12,131075.4596
13,131075.4596
14,131075.4596
15,131075.4596
16,131075.4596
17,131075.4596
18,131075.4596
19,131075.4596
20,131075.4596
21,131075.4596
22,151266.9418
23,158559.7153
24,171825.6614
25,217183.7786
26,236910.8962
27,200442.5196
28,224102.2702
29,190660.6095
30,187761.0894
31,155784.259
32,175132.2553
33,194981.705
34,207352.2444
35,221276.8193
36,239086.508
37,224935.0503
38,186735.655
39,310895.4239
40,223838.885
41,256650.5428
42,306718.3629
43,275917.0131
44,268235.9632
45,255150.4051
46,255589.8829
47,243841.8477
48,250826.2706
49,259692.4858
50,384670.0813
