Time,ScomberomorusNiphonius.biomass.csv
1,242995.436
2,242995.436
3,242995.436
4,242995.436
5,242995.436
6,242995.436
7,242995.436
8,242995.436
9,242995.436
10,242995.436
11,242995.436
12,242995.436
13,242995.436
14,242995.436
15,242995.436
16,242995.436
17,242995.436
18,242995.436
19,242995.436
20,242995.436
21,242995.436
22,210300.262
23,177997.863
24,169729.425
25,166525.089
26,151607.94
27,141110.63
28,135746.826
29,117086.449
30,99905.5485
31,102486.389
32,102232.851
33,86736.3259
34,68064.112
35,67211.3858
36,61838.7676
37,60867.6474
38,56163.9233
39,48030.1116
40,52222.5618
41,52481.6966
42,52527.9394
43,56151.8393
44,53553.0211
45,54416.1801
46,53624.4929
47,59163.291
48,61313.2716
49,65353.9619
50,70165.1577
