Time,ScomberomorusNiphonius.landings.csv
1,32695.17428
2,32695.17428
3,32695.17428
4,32695.17428
5,32695.17428
6,32695.17428
7,32695.17428
8,32695.17428
9,32695.17428
10,32695.17428
11,32695.17428
12,32695.17428
13,32695.17428
14,32695.17428
15,32695.17428
16,32695.17428
17,32695.17428
18,32695.17428
19,32695.17428
20,32695.17428
21,32695.17428
22,47128.48216
23,33215.23999
24,30018.3992
25,42375.57752
26,40372.56849
27,36364.54752
28,50052.76062
29,48969.12834
30,28244.0466
31,31304.38344
32,46526.44497
33,47896.86361
34,26526.44102
35,30848.26762
36,25126.73507
37,28607.4543
38,30759.95403
39,15999.29779
40,21223.01505
41,21513.17931
42,17949.281
43,25221.55538
44,21012.65111
45,22918.80843
46,16357.94317
47,21301.84876
48,19979.12877
49,20222.16946
50,32376.95589
