Time,TodarodesPacificus.biomass.csv
1,2399869.463
2,2399869.463
3,2399869.463
4,2399869.463
5,2399869.463
6,2399869.463
7,2399869.463
8,2399869.463
9,2399869.463
10,2399869.463
11,2399869.463
12,2399869.463
13,2399869.463
14,2399869.463
15,2399869.463
16,2399869.463
17,2399869.463
18,2399869.463
19,2399869.463
20,2399869.463
21,2399869.463
22,2263443.716
23,2059491.59
24,1880250.719
25,1686494.428
26,1511789.688
27,1295356.151
28,1126162.684
29,1026345.193
30,895711.1853
31,805592.8206
32,753696.6715
33,701666.2139
34,651491.4042
35,652800.5049
36,658430.712
37,673101.0384
38,691261.0649
39,721517.3804
40,749570.3464
41,762423.1192
42,780864.3956
43,790220.5031
44,794470.5791
45,808571.7803
46,817937.1381
47,843520.6088
48,850071.326
49,861601.8694
50,872476.0589
