Time,TodarodesPacificus.landings.csv
1,136425.747
2,136425.747
3,136425.747
4,136425.747
5,136425.747
6,136425.747
7,136425.747
8,136425.747
9,136425.747
10,136425.747
11,136425.747
12,136425.747
13,136425.747
14,136425.747
15,136425.747
16,136425.747
17,136425.747
18,136425.747
19,136425.747
20,136425.747
21,136425.747
22,224970.5361
23,226955.8963
24,260258.2431
25,256595.8262
26,307819.0131
27,266578.8922
28,197452.2388
29,226588.1234
30,181823.8584
31,139316.6092
32,136481.6593
33,131281.009
34,76222.34011
35,71998.85632
36,63375.93453
37,60953.03242
38,50136.72422
39,54372.93185
40,71346.60486
41,66534.85442
42,76695.23424
43,82329.06744
44,72713.76346
45,78214.41782
46,62489.29722
47,82807.90531
48,78142.99748
49,79339.47855
50,74081.89312
