Time,TrachurusJaponicus.biomass.csv
1,21670.62037
2,21670.62037
3,21670.62037
4,21670.62037
5,21670.62037
6,21670.62037
7,21670.62037
8,21670.62037
9,21670.62037
10,21670.62037
11,21670.62037
12,21670.62037
13,21670.62037
14,21670.62037
15,21670.62037
16,21670.62037
17,21670.62037
18,21670.62037
19,21670.62037
20,21670.62037
21,21670.62037
22,21318.54192
23,21169.94933
24,21116.03108
25,21067.88412
26,20958.1094
27,19520.03139
28,18789.96893
29,18227.97915
30,17610.78706
31,18318.66844
32,17922.80222
33,18105.28968
34,17175.7597
35,15805.40203
36,15296.66447
37,12973.38718
38,11773.21922
39,9495.648686
40,9323.636216
41,10136.47266
42,10950.07589
43,11017.68637
44,10728.79815
45,10791.35364
46,10313.99166
47,10719.3346
48,10371.02629
49,9503.805889
50,9828.027481
