Time,TrachurusJaponicus.landings.csv
1,352.0784476
2,352.0784476
3,352.0784476
4,352.0784476
5,352.0784476
6,352.0784476
7,352.0784476
8,352.0784476
9,352.0784476
10,352.0784476
11,352.0784476
12,352.0784476
13,352.0784476
14,352.0784476
15,352.0784476
16,352.0784476
17,352.0784476
18,352.0784476
19,352.0784476
20,352.0784476
21,352.0784476
22,297.3223068
23,263.9442678
24,280.1985697
25,361.3969619
26,1733.977674
27,1561.900422
28,1634.539871
29,1860.650027
30,708.8508701
31,1612.591396
32,1148.534539
33,2208.634714
34,2900.151834
35,2345.658822
36,4255.274992
37,3435.980082
38,4586.534812
39,2462.845358
40,1468.277723
41,1503.114771
42,2258.523814
43,2614.624414
44,2263.614992
45,2803.71897
46,1915.667076
47,2674.437067
48,3189.344305
49,1967.043056
50,4363.893721
