Time,TrachysalambriaCurvirostris.biomass.csv
1,379512.8374
2,379512.8374
3,379512.8374
4,379512.8374
5,379512.8374
6,379512.8374
7,379512.8374
8,379512.8374
9,379512.8374
10,379512.8374
11,379512.8374
12,379512.8374
13,379512.8374
14,379512.8374
15,379512.8374
16,379512.8374
17,379512.8374
18,379512.8374
19,379512.8374
20,379512.8374
21,379512.8374
22,351207.2812
23,350928.0765
24,348531.6265
25,341566.5242
26,327397.153
27,327264.1139
28,338811.2351
29,330634.065
30,329753.1584
31,259837.5577
32,255769.5725
33,272726.6267
34,285998.0356
35,248567.04
36,251772.0237
37,217301.0229
38,202036.3192
39,183251.645
40,176175.5407
41,189005.504
42,200291.6687
43,200084.4081
44,189507.8596
45,184457.6589
46,169755.6648
47,151324.4879
48,146691.0532
49,150033.3046
50,165753.4847
