Time,TrachysalambriaCurvirostris.landings.csv
1,28305.55621
2,28305.55621
3,28305.55621
4,28305.55621
5,28305.55621
6,28305.55621
7,28305.55621
8,28305.55621
9,28305.55621
10,28305.55621
11,28305.55621
12,28305.55621
13,28305.55621
14,28305.55621
15,28305.55621
16,28305.55621
17,28305.55621
18,28305.55621
19,28305.55621
20,28305.55621
21,28305.55621
22,26928.86463
23,29287.58586
24,35911.66818
25,48915.09436
26,45873.42365
27,34291.39353
28,45145.15489
29,44204.48829
30,113902.4648
31,87428.97142
32,67888.075
33,64801.28838
34,109127.8126
35,84050.26737
36,120688.1416
37,109757.9393
38,114907.5631
39,103489.8115
40,83202.73376
41,85239.45901
42,96436.85541
43,106817.7352
44,101577.1704
45,111153.8624
46,113885.9311
47,97201.06521
48,88213.09435
49,76576.92917
50,74844.23737
