Time,TrichiurusJaponicus.biomass.csv
1,2831405.517
2,2831405.517
3,2831405.517
4,2831405.517
5,2831405.517
6,2831405.517
7,2831405.517
8,2831405.517
9,2831405.517
10,2831405.517
11,2831405.517
12,2831405.517
13,2831405.517
14,2831405.517
15,2831405.517
16,2831405.517
17,2831405.517
18,2831405.517
19,2831405.517
20,2831405.517
21,2831405.517
22,2669427.683
23,2566675.955
24,2493739.067
25,2436871.973
26,2317909.139
27,2140566.36
28,2019604.445
29,1992922.654
30,1897271.15
31,1819191.101
32,1739232.749
33,1673650.983
34,1618661.826
35,1595124.09
36,1512547.041
37,1473795.494
38,1393081.356
39,1340247.193
40,1275794.184
41,1257307.769
42,1235057.343
43,1195212.249
44,1158839.443
45,1149049.325
46,1076295.524
47,1051598.817
48,1046033.079
49,1047979.758
50,1069992.369
