Time,TrichiurusJaponicus.landings.csv
1,161977.8337
2,161977.8337
3,161977.8337
4,161977.8337
5,161977.8337
6,161977.8337
7,161977.8337
8,161977.8337
9,161977.8337
10,161977.8337
11,161977.8337
12,161977.8337
13,161977.8337
14,161977.8337
15,161977.8337
16,161977.8337
17,161977.8337
18,161977.8337
19,161977.8337
20,161977.8337
21,161977.8337
22,183056.3234
23,199131.3036
24,213255.8676
25,297522.4733
26,398397.832
27,395607.2929
28,331178.4927
29,406001.1744
30,407238.8003
31,421951.5709
32,418371.3068
33,414861.1437
34,388116.864
35,448827.757
36,409239.2001
37,452316.883
38,424968.6407
39,435625.1039
40,387080.5067
41,389820.3348
42,406013.9439
43,399573.1829
44,369765.8348
45,431777.6323
46,375531.3951
47,353173.591
48,344902.6823
49,325103.3485
50,323578.1737
