mortality.additional.larva.rate.sp0,3.7,1.1,,
mortality.additional.larva.rate.sp1,4.6,2.94,,
mortality.additional.larva.rate.sp2,5.83,6.51,,
mortality.additional.larva.rate.sp3,12.7,0.445,,
mortality.additional.larva.rate.sp4,6.14,2.2,,
mortality.additional.larva.rate.sp5,2.88,4.21,,
mortality.additional.larva.rate.sp6,1.21,2.01,,
mortality.additional.larva.rate.sp7,3.41,0.32,,
mortality.additional.larva.rate.sp8,1.74,3.78,,
mortality.additional.larva.rate.sp9,10.3,0.233,,
mortality.additional.larva.rate.sp10,4.53,0.365,,
mortality.additional.larva.rate.sp11,4.92,1.79,,
mortality.additional.larva.rate.sp12,6.22,1.62,,
mortality.additional.larva.rate.sp13,2.23,4.87,,
mortality.additional.larva.rate.sp14,4.09,3.05,,
mortality.additional.larva.rate.sp15,3.84,4.19,,
species.accessibility2fish.sp16,0.87096359,0.408,,
species.accessibility2fish.sp17,0.223872114,0.674,,
species.accessibility2fish.sp18,0.177827941,0.648,,
species.accessibility2fish.sp19,0.141253754,0.864,,
species.accessibility2fish.sp20,0.112201845,0.221,,
predation.ingestion.rate.max.bioen.sp0,40.935,51.1,,
predation.ingestion.rate.max.bioen.sp1,60.45,47.9,,
predation.ingestion.rate.max.bioen.sp2,60,48.9,,
predation.ingestion.rate.max.bioen.sp3,54.6,28.7,,
predation.ingestion.rate.max.bioen.sp4,61.05,55.2,,
predation.ingestion.rate.max.bioen.sp5,39.855,62.1,,
predation.ingestion.rate.max.bioen.sp6,46.8,48.3,,
predation.ingestion.rate.max.bioen.sp7,54.75,9.18,,
predation.ingestion.rate.max.bioen.sp8,58.8,65.2,,
predation.ingestion.rate.max.bioen.sp9,49.8,54.3,,
predation.ingestion.rate.max.bioen.sp10,54.75,12.1,,
predation.ingestion.rate.max.bioen.sp11,58.05,37.7,,
predation.ingestion.rate.max.bioen.sp12,53.25,32.5,,
predation.ingestion.rate.max.bioen.sp13,41.685,64.2,,
predation.ingestion.rate.max.bioen.sp14,54.45,59.4,,
predation.ingestion.rate.max.bioen.sp15,51.15,48.5,,
mortality.additional.rate.sp0,5.5,5.54,,
mortality.additional.rate.sp1,3.5,4.96,,
mortality.additional.rate.sp2,3.5,1.14,,
mortality.additional.rate.sp3,0.86,10.1,,
mortality.additional.rate.sp4,5.7862,6.99,,
mortality.additional.rate.sp5,0.419,2.12,,
mortality.additional.rate.sp6,5.65,2.71,,
mortality.additional.rate.sp7,8.977,5.21,,
mortality.additional.rate.sp8,0.875,1.88,,
mortality.additional.rate.sp9,1.463,17.6,,
mortality.additional.rate.sp10,4.934,6.47,,
mortality.additional.rate.sp11,5.669,7.66,,
mortality.additional.rate.sp12,0.693,0.622,,
mortality.additional.rate.sp13,2.657,0.176,,
mortality.additional.rate.sp14,0.472,0.0906,,
mortality.additional.rate.sp15,0.438,0.21,,
F.factor.sp0,1.26580601,,,
F.factor.sp1,2.56100969,,,
F.factor.sp2,1.61952302,,,
F.factor.sp3,1.33095774,,,
F.factor.sp4,1.38839713,,,
F.factor.sp5,1.1467551,,,
F.factor.sp6,0.9611562,,,
F.factor.sp7,0.96836176,,,
F.factor.sp8,1.12545641,,,
F.factor.sp9,1.36592394,,,
F.factor.sp10,1.26545735,,,
F.factor.sp11,1.86283049,,,
F.factor.sp12,1.63107971,,,
F.factor.sp13,1.62020777,,,
F.factor.sp14,1.22196472,,,
F.factor.sp15,0.42513513,,,
