,fishery0,fishery1,fishery2,fishery3,fishery4,fishery5,fishery6,fishery7,fishery8,fishery9,fishery10,fishery11,fishery12,fishery13
EngraulisJaponicus,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ScomberJaponicus,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ScomberomorusNiphonius,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DecapterusMaruadsi,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TrichiurusJaponicus,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PennahiaArgentata,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PampusArgenteus,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LarimichthysPolyactis,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MuraenesoxCinereus,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MiichthysMiiuy,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TrachurusJaponicus,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TodarodesPacificus,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TrachysalambriaCurvirostris,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PortunusTrituberculatus,0,0,0,0,0,0,0,0,0,0,0,0,0,0
