Year,F
1,0.424070613
2,0.424070613
3,0.424070613
4,0.424070613
5,0.424070613
6,0.424070613
7,0.424070613
8,0.424070613
9,0.424070613
10,0.424070613
11,0.424070613
12,0.424070613
13,0.424070613
14,0.424070613
15,0.424070613
16,0.424070613
17,0.424070613
18,0.424070613
19,0.424070613
20,0.424070613
21,0.424070613
22,0.398800795
23,0.404945613
24,0.440193037
25,0.443690129
26,0.493797597
27,0.492532571
28,0.501823119
29,0.518998014
30,0.524345589
31,0.541435185
32,0.68782355
33,0.548643713
34,0.508313439
35,0.507269882
36,0.502
37,0.513349227
38,0.517732564
39,0.515709124
40,0.509358605
41,0.503623696
42,0.512919334
43,0.523860535
44,0.519820427
45,0.484081
46,0.523901784
47,0.525473594
48,0.513255351
49,0.511636095
50,0.519884526
