v Prey\Predator >,EngraulisJaponicus,ScomberJaponicus,ScomberomorusNiphonius,DecapterusMaruadsi,TrichiurusJaponicus,PennahiaArgentata,PampusArgenteus,LarimichthysPolyactis,MuraenesoxCinereus,MiichthysMiiuy,TrachurusJaponicus,TodarodesPacificus,TrachysalambriaCurvirostris,PortunusTrituberculatus
EngraulisJaponicus,0.2,0.5,0.8,0.6,0.3,0.1,0.1,0.1,0.8,0.1,0.4,0.4,0,0
ScomberJaponicus,0.2,0.2,0.8,0.2,0.3,0.4,0.2,0.4,0.8,0.5,0.2,0,0,0
ScomberomorusNiphonius,0,0,0.2,0,0.1,0,0,0,0,0,0,0,0,0
DecapterusMaruadsi,0,0.2,0.5,0.2,0.3,0.2,0.2,0.4,0.4,0.4,0.5,0.4,0,0
TrichiurusJaponicus,0,0,0.2,0.4,0.8,0.2,0.3,0.2,0.6,0.2,0.2,0,0,0
PennahiaArgentata,0,0.2,0.5,0,0.5,0.5,0,0.5,0.5,0.5,0.2,0.2,0,0
PampusArgenteus,0,0.2,0.5,0.2,0.5,0.5,0.5,0.5,0.5,0.8,0.4,0.2,0,0
LarimichthysPolyactis,0,0,0.2,0.2,0.5,0.5,0.2,0.5,0.6,0.5,0.3,0,0,0.2
MuraenesoxCinereus,0,0,0.1,0,0.5,0.2,0,0.4,0.5,0.3,0.3,0,0,0
MiichthysMiiuy,0,0,0.5,0,0.5,0.2,0.4,0.4,0.6,0.5,0.4,0,0,0
TrachurusJaponicus,0,0,0.5,0.2,0.5,0.5,0.2,0.4,0.4,0.4,0.5,0.2,0,0
TodarodesPacificus,0,0.1,0.4,0,0.5,0.6,0.5,0.5,0.2,0.3,0.5,0.4,0,0
TrachysalambriaCurvirostris,0,0.2,0.2,0.4,0.4,0.8,0.6,0.6,0.5,0.3,0.4,0.2,0.5,0.2
PortunusTrituberculatus,0,0,0.2,0,0.2,0.6,0.2,0.2,0.6,0.3,0.3,0.2,0,0
SmallPhytoplankton,1,1,0.1,1,0.2,1,1,0.5,0.2,0.5,1,0.5,1,1
LargePhytoplankton,1,1,0.1,1,0.2,1,1,0.5,0.2,0.5,1,0.5,1,1
SmallZooplankton,1,1,0.1,1,0.2,1,1,0.5,0.2,0.5,1,0.8,1,1
LargeZooplankton,1,1,0.1,1,0.2,1,1,0.5,0.2,0.5,1,0.8,1,1
PredatoryZooplankton,1,1,0.1,1,0.2,1,1,0.5,0.2,0.5,1,1,1,1
