species,scenario,metric,estimate,lo,hi,latin,group,species_order,pct,pct_lo,pct_hi
DecapterusMaruadsi,SSP1-2.6,ingestion,-0.0524390259337893,-0.0558605188177183,-0.0489960200846651,Decapterus maruadsi,Mid-trophic species,10,-5.10878216741237,-5.43289699948765,-4.78150806936744
DecapterusMaruadsi,SSP1-2.6,maintenance,0.0849097265238825,0.0809492708321316,0.088705538314801,Decapterus maruadsi,Mid-trophic species,10,8.86187888602872,8.43158887287796,9.2758833338805
DecapterusMaruadsi,SSP1-2.6,enet,0.00621369906708961,0.00282586553554287,0.00975941627617548,Decapterus maruadsi,Mid-trophic species,10,0.623304414254067,0.282986205721292,0.98071946824958
DecapterusMaruadsi,SSP1-2.6,mbi,0.137117352391936,0.130908083922553,0.143451422340182,Decapterus maruadsi,Mid-trophic species,10,14.6962739443896,13.9863004760515,15.4250738645465
DecapterusMaruadsi,SSP1-2.6,age_mature,-0.0116938226662472,-0.0132982830720518,-0.0101148125977987,Decapterus maruadsi,Mid-trophic species,10,-1.1625715657568,-1.32102515604303,-1.00638299190595
DecapterusMaruadsi,SSP1-2.6,ingestion_age_standardized,-0.00321958077261755,-0.00494369132111507,-0.00145780273558572,Decapterus maruadsi,Mid-trophic species,10,-0.321440348016933,-0.493149139168392,-0.145674065734069
DecapterusMaruadsi,SSP1-2.6,maintenance_age_standardized,0.0830332360148285,0.0797090192631603,0.0866043134968076,Decapterus maruadsi,Mid-trophic species,10,8.65779214680202,8.29718978621936,9.04651120141244
DecapterusMaruadsi,SSP1-2.6,enet_age_standardized,0.0696574863647957,0.0670877013070365,0.0722296812648526,Decapterus maruadsi,Mid-trophic species,10,7.21408954820519,6.9389260898018,7.49022006105955
DecapterusMaruadsi,SSP1-2.6,mbi_age_standardized,0.0862252214904372,0.0821581300524376,0.0900874258344063,Decapterus maruadsi,Mid-trophic species,10,9.00518037528128,8.56274665853642,9.42699469866093
DecapterusMaruadsi,SSP1-2.6,length_age1,0.0448846285276819,0.0409982923072732,0.0487602558519817,Decapterus maruadsi,Mid-trophic species,10,4.59071850957828,4.18503263837355,4.99685967362888
DecapterusMaruadsi,SSP1-2.6,age_standardized_size,0.0416748883265435,0.0392641545866194,0.0441485605830078,Decapterus maruadsi,Mid-trophic species,10,4.25554766912875,4.00451800720081,4.51376096083993
DecapterusMaruadsi,SSP1-2.6,max_realized_size,0.0149257816681321,0.0130508981099731,0.0168532317896359,Decapterus maruadsi,Mid-trophic species,10,1.50377274131412,1.31364327770802,1.69960486811835
DecapterusMaruadsi,SSP1-2.6,reproductive_allocation,-0.0212531376101117,-0.029089106356409,-0.0128176761686923,Decapterus maruadsi,Mid-trophic species,10,-2.10288812081402,-2.86700910587185,-1.273587961108
DecapterusMaruadsi,SSP1-2.6,egg_production,-0.117600081285201,-0.143985677456011,-0.0919812798216726,Decapterus maruadsi,Mid-trophic species,10,-11.0948470125908,-13.4099850136622,-8.78777755240344
DecapterusMaruadsi,SSP1-2.6,eggs_per_biomass,0.0194778961123345,0.0107158602700809,0.0273670939973085,Decapterus maruadsi,Mid-trophic species,10,1.96688279663313,1.0773480734436,2.77450125483998
DecapterusMaruadsi,SSP1-2.6,mean_size,0.0261054061599257,0.0228193303779475,0.0296025753790036,Decapterus maruadsi,Mid-trophic species,10,2.64491368333548,2.30816830677365,3.00450873183824
DecapterusMaruadsi,SSP1-2.6,biomass,-0.13576575524875,-0.163293468507293,-0.109936393464682,Decapterus maruadsi,Mid-trophic species,10,-12.6952884757382,-15.0658103261866,-10.4108881985688
DecapterusMaruadsi,SSP1-2.6,abundance,-0.203201081838386,-0.237375255035098,-0.167325378405559,Decapterus maruadsi,Mid-trophic species,10,-18.3885880802258,-21.1304729391382,-15.4075678953946
DecapterusMaruadsi,SSP1-2.6,yield,-0.131558097847578,-0.157874203532096,-0.106640460277912,Decapterus maruadsi,Mid-trophic species,10,-12.3271662371195,-14.6042799988563,-10.1151213256305
DecapterusMaruadsi,SSP1-2.6,mean_tl,0.00311871935537427,0.0023922212172164,0.00384406779676376,Decapterus maruadsi,Mid-trophic species,10,0.312358762018472,0.239508486142737,0.385146570168882
DecapterusMaruadsi,SSP5-8.5,ingestion,-0.0881197053707664,-0.0915560501980953,-0.0847051109878073,Decapterus maruadsi,Mid-trophic species,10,-8.43487382110768,-8.74898316570974,-8.12168164776848
DecapterusMaruadsi,SSP5-8.5,maintenance,0.194895960157681,0.190946662045973,0.198710037142191,Decapterus maruadsi,Mid-trophic species,10,21.5184552303538,21.0394890372503,21.9828209740545
DecapterusMaruadsi,SSP5-8.5,enet,0.0051480610171167,0.0016581174331062,0.00874240472503074,Decapterus maruadsi,Mid-trophic species,10,0.516133505197303,0.165949286992406,0.878073115218192
DecapterusMaruadsi,SSP5-8.5,mbi,0.282805781804348,0.276629102702751,0.289264129839106,Decapterus maruadsi,Mid-trophic species,10,32.6847438875242,31.8677186517536,33.5444412667109
DecapterusMaruadsi,SSP5-8.5,age_mature,-0.0156527249840691,-0.0172158692425938,-0.01408621477506,Decapterus maruadsi,Mid-trophic species,10,-1.55308577642483,-1.70685229422848,-1.3987468250384
DecapterusMaruadsi,SSP5-8.5,ingestion_age_standardized,-0.00756309752566621,-0.0093184094601588,-0.00584936678652481,Decapterus maruadsi,Mid-trophic species,10,-0.753456926954166,-0.92751276263402,-0.583229254800577
DecapterusMaruadsi,SSP5-8.5,maintenance_age_standardized,0.190954813456563,0.187366295626816,0.194501692603784,Decapterus maruadsi,Mid-trophic species,10,21.0404756838444,20.606898194289,21.4705538898496
DecapterusMaruadsi,SSP5-8.5,enet_age_standardized,0.103161624512513,0.100617038471161,0.105653973050585,Decapterus maruadsi,Mid-trophic species,10,10.8670582938678,10.5853061482027,11.1437222728435
DecapterusMaruadsi,SSP5-8.5,mbi_age_standardized,0.198487454282384,0.19446704135183,0.202655430112225,Decapterus maruadsi,Mid-trophic species,10,21.955672710396,21.4663448560062,22.4650417881698
