species,run,latin,group,species_order,scenario,ingestion,maintenance,ingestion_base,maintenance_base,ingestion_log2,maintenance_log2,burden_log2
DecapterusMaruadsi,1,Decapterus maruadsi,Mid-trophic species,10,SSP1-2.6,39.1351018559671,0.452212927119342,38.8400906333333,0.416642804888889,0.0109166324590734,0.118191168028361,0.107274535569287
DecapterusMaruadsi,1,Decapterus maruadsi,Mid-trophic species,10,SSP5-8.5,38.1408577119342,0.498204381358025,38.8400906333333,0.416642804888889,-0.0262092799353577,0.257926643081931,0.284135923017288
DecapterusMaruadsi,2,Decapterus maruadsi,Mid-trophic species,10,SSP1-2.6,38.8423957654321,0.446229914444444,39.1802626666667,0.414729363666667,-0.0124948818600897,0.105617035935598,0.118111917795687
DecapterusMaruadsi,2,Decapterus maruadsi,Mid-trophic species,10,SSP5-8.5,38.6767160987654,0.49626144436214,39.1802626666667,0.414729363666667,-0.0186617635923595,0.258930176304991,0.277591939897351
DecapterusMaruadsi,3,Decapterus maruadsi,Mid-trophic species,10,SSP1-2.6,38.8570263744856,0.443821167572016,38.5312561333333,0.426780791555556,0.0121462803486917,0.0564832317986566,0.0443369514499649
DecapterusMaruadsi,3,Decapterus maruadsi,Mid-trophic species,10,SSP5-8.5,38.7233373292181,0.489209300041152,38.5312561333333,0.426780791555556,0.00717407593162336,0.196956585105514,0.189782509173891
DecapterusMaruadsi,4,Decapterus maruadsi,Mid-trophic species,10,SSP1-2.6,38.5686303539095,0.447058479465021,38.4669964222222,0.415703927888889,0.00380672840449329,0.104907182155489,0.101100453750996
DecapterusMaruadsi,4,Decapterus maruadsi,Mid-trophic species,10,SSP5-8.5,38.7957124444445,0.489858055967078,38.4669964222222,0.415703927888889,0.0122760344153518,0.236807386618461,0.224531352203109
DecapterusMaruadsi,5,Decapterus maruadsi,Mid-trophic species,10,SSP1-2.6,38.8419865720165,0.450277135308642,38.6710777333333,0.397988226666667,0.00636201744304755,0.178087467277972,0.171725449834924
DecapterusMaruadsi,5,Decapterus maruadsi,Mid-trophic species,10,SSP5-8.5,38.160607962963,0.499132612345679,38.6710777333333,0.397988226666667,-0.0191708156912159,0.326697416352546,0.345868232043761
DecapterusMaruadsi,6,Decapterus maruadsi,Mid-trophic species,10,SSP1-2.6,38.8120057037037,0.447099091769547,38.8895300333333,0.409534795888889,-0.00287881061694512,0.126608580384159,0.129487391001104
DecapterusMaruadsi,6,Decapterus maruadsi,Mid-trophic species,10,SSP5-8.5,38.4261740164609,0.506423171769547,38.8895300333333,0.409534795888889,-0.0172924618425283,0.306357383032917,0.323649844875445
DecapterusMaruadsi,7,Decapterus maruadsi,Mid-trophic species,10,SSP1-2.6,39.2524392427984,0.444153193621399,38.7911874222222,0.408954134444444,0.0170533710643577,0.119118315540179,0.102064944475821
DecapterusMaruadsi,7,Decapterus maruadsi,Mid-trophic species,10,SSP5-8.5,38.6695563703704,0.495617413580247,38.7911874222222,0.408954134444444,-0.00453072487953516,0.277287828410396,0.281818553289931
DecapterusMaruadsi,8,Decapterus maruadsi,Mid-trophic species,10,SSP1-2.6,38.6519767983539,0.450256016872428,38.4414653555556,0.406029855555556,0.0078788690948903,0.149159742001016,0.141280872906126
DecapterusMaruadsi,8,Decapterus maruadsi,Mid-trophic species,10,SSP5-8.5,38.3257129753086,0.492511611934156,38.4414653555556,0.406029855555556,-0.00435070078497733,0.278571926037796,0.282922626822773
DecapterusMaruadsi,9,Decapterus maruadsi,Mid-trophic species,10,SSP1-2.6,38.657251691358,0.451273516008231,38.8423272444445,0.407482815111111,-0.00689056879721604,0.147262895824271,0.154153464621487
DecapterusMaruadsi,9,Decapterus maruadsi,Mid-trophic species,10,SSP5-8.5,38.7012553292181,0.500714674279835,38.8423272444445,0.407482815111111,-0.00524927970274085,0.297249519191479,0.302498798894219
DecapterusMaruadsi,10,Decapterus maruadsi,Mid-trophic species,10,SSP1-2.6,38.8582024032922,0.44714794218107,39.3646070888889,0.404808289333333,-0.0186799154916084,0.143513403975899,0.162193319467507
DecapterusMaruadsi,10,Decapterus maruadsi,Mid-trophic species,10,SSP5-8.5,38.7781330864198,0.50152543781893,39.3646070888889,0.404808289333333,-0.0216557294994939,0.30908404481179,0.330739774311284
