scenario,species,latin,group,species_order,ingestion_response,maintenance_response,burden_response,ingestion_lo,ingestion_hi,maintenance_lo,maintenance_hi,n_runs,balance_projection,projection_x,projection_y,short_label,label_side,label_hjust,label_x,label_y,label_line_x
SSP1-2.6,DecapterusMaruadsi,Decapterus maruadsi,Mid-trophic species,10,-0.00462440571521026,0.11990583802193,0.124530243737141,-0.0274111995637876,0.0189552066293336,0.0704586500862679,0.176173291323805,100,0.0576407161533601,0.0576407161533601,0.0576407161533601,D. maruadsi,right,0,0.18,0.11990583802193,0.17
SSP5-8.5,DecapterusMaruadsi,Decapterus maruadsi,Mid-trophic species,10,-0.0108892632706694,0.275585161424656,0.286474424695325,-0.032301832802273,0.0150682185568746,0.225881727813697,0.329399466122831,100,0.132347949076993,0.132347949076993,0.132347949076993,D. maruadsi,right,0,0.18,0.275585161424656,0.17
SSP1-2.6,EngraulisJaponicus,Engraulis japonicus,Prey,1,0.0763427295328572,0.351145375732678,0.27480264619982,0.00111115182244364,0.157663843776168,0.255452341685049,0.440236922930632,100,0.213744052632767,0.213744052632767,0.213744052632767,E. japonicus,right,0,0.18,0.53590583802193,0.17
SSP5-8.5,EngraulisJaponicus,Engraulis japonicus,Prey,1,0.125300020130552,0.648275136511073,0.522975116380521,0.0533374634024404,0.202565077682811,0.561944783182794,0.764380783130869,100,0.386787578320813,0.386787578320813,0.386787578320813,E. japonicus,right,0,0.18,0.759488348998783,0.17
SSP1-2.6,LarimichthysPolyactis,Larimichthys polyactis,Mid-trophic species,13,-0.0290235651416407,0.300744860293624,0.329768425435265,-0.0557163371255931,-0.000802517039330001,0.175536788343698,0.438336232917466,100,0.135860647575992,0.135860647575992,0.135860647575992,L. polyactis,right,0,0.18,0.37990583802193,0.17
SSP5-8.5,LarimichthysPolyactis,Larimichthys polyactis,Mid-trophic species,13,-0.038108643057288,0.526705509252024,0.564814152309312,-0.0619522472187156,-0.0133789381719552,0.421453702083022,0.651095325443064,100,0.244298433097368,0.244298433097368,0.244298433097368,L. polyactis,right,0,0.18,0.603488348998783,0.17
SSP1-2.6,MiichthysMiiuy,Miichthys miiuy,Predator,5,0.000139982287034119,0.68809826664757,0.687958284360536,-0.0620033621095235,0.057922210103471,0.513705785277777,0.836146841456217,100,0.344119124467302,0.344119124467302,0.344119124467302,M. miiuy,right,0,0.18,0.691905838021931,0.17
SSP5-8.5,MiichthysMiiuy,Miichthys miiuy,Predator,5,-0.031283633207232,1.00343801310969,1.03472164631692,-0.082439741461925,0.0279921388476192,0.816693991329835,1.19452400093496,100,0.486077189951228,0.486077189951228,0.486077189951228,M. miiuy,right,0,0.18,1.00343801310969,0.17
SSP1-2.6,MuraenesoxCinereus,Muraenesox cinereus,Predator,4,-0.0260874418282909,0.491282892910262,0.517370334738553,-0.0370837423811649,-0.0169351514575199,0.399363105829369,0.559824859151926,100,0.232597725540986,0.232597725540986,0.232597725540986,M. cinereus,right,0,0.18,0.58790583802193,0.17
SSP5-8.5,MuraenesoxCinereus,Muraenesox cinereus,Predator,4,-0.0318029724175607,0.815932876304485,0.847735848722046,-0.0417437167218783,-0.0197861733931953,0.736813338251732,0.891099607908373,100,0.392064951943462,0.392064951943462,0.392064951943462,M. cinereus,right,0,0.18,0.863488348998783,0.17
SSP1-2.6,PampusArgenteus,Pampus argenteus,Mid-trophic species,12,-0.0149533721801477,0.285722483849101,0.300675856029248,-0.0495694052793406,0.0260905768285193,0.182697386089814,0.379691488516457,100,0.135384555834476,0.135384555834476,0.135384555834476,P. argenteus,right,0,0.18,0.32790583802193,0.17
SSP5-8.5,PampusArgenteus,Pampus argenteus,Mid-trophic species,12,-0.0148592248531841,0.492949569988857,0.507808794842041,-0.0508525682881709,0.0288767989492968,0.404057577673456,0.602135463471116,100,0.239045172567836,0.239045172567836,0.239045172567836,P. argenteus,right,0,0.18,0.551488348998783,0.17
SSP1-2.6,PennahiaArgentata,Pennahia argentata,Mid-trophic species,11,-0.0267624298187473,0.338724495022507,0.365486924841254,-0.048066597948288,-0.000596533243136948,0.258666944141155,0.41355592220443,100,0.15598103260188,0.15598103260188,0.15598103260188,P. argentata,right,0,0.18,0.43190583802193,0.17
