scenario,run,group,ingestion_log2,maintenance_log2,burden_log2
SSP1-2.6,1,Mid-trophic species,0.00239844077538515,0.24154741982081,0.239148979045425
SSP5-8.5,1,Mid-trophic species,0.00762376802009149,0.486920801604288,0.479297033584197
SSP1-2.6,2,Mid-trophic species,0.0126407870205017,0.209462923991429,0.196822136970927
SSP5-8.5,2,Mid-trophic species,0.0066941801217934,0.428378019602771,0.421683839480977
SSP1-2.6,3,Mid-trophic species,0.0107274595886146,0.251080591735672,0.240353132147057
SSP5-8.5,3,Mid-trophic species,0.0155990477766946,0.465301574412931,0.449702526636236
SSP1-2.6,4,Mid-trophic species,0.0135412615773669,0.199873532808506,0.186332271231139
SSP5-8.5,4,Mid-trophic species,0.0149637767122047,0.400959968171282,0.385996191459077
SSP1-2.6,5,Mid-trophic species,-0.00123104651421769,0.240473780941221,0.241704827455438
SSP5-8.5,5,Mid-trophic species,-0.010526194208032,0.449965637534487,0.460491831742519
SSP1-2.6,6,Mid-trophic species,0.00373930356335563,0.24228447745105,0.238545173887695
SSP5-8.5,6,Mid-trophic species,0.00535447529436516,0.495714113692689,0.490359638398324
SSP1-2.6,7,Mid-trophic species,0.0206843093502002,0.211141205572585,0.190456896222385
SSP5-8.5,7,Mid-trophic species,0.00989178426663118,0.448491555330155,0.438599771063524
SSP1-2.6,8,Mid-trophic species,0.0014728023364701,0.258127903405813,0.256655101069343
SSP5-8.5,8,Mid-trophic species,0.0240597496717799,0.456590744523019,0.432530994851239
SSP1-2.6,9,Mid-trophic species,-0.00587608255950145,0.23682286603652,0.242698948596021
SSP5-8.5,9,Mid-trophic species,-0.00202807577470084,0.488891799038024,0.490919874812725
SSP1-2.6,10,Mid-trophic species,-0.00165131457694725,0.22552471793188,0.227176032508828
SSP5-8.5,10,Mid-trophic species,-0.00507105534481132,0.471702632272616,0.476773687617428
SSP1-2.6,11,Mid-trophic species,0.0129128494188589,0.224665918374508,0.211753068955649
SSP5-8.5,11,Mid-trophic species,0.00304147368613248,0.428216324989004,0.425174851302872
SSP1-2.6,12,Mid-trophic species,-0.00129008174778954,0.24197970299425,0.24326978474204
SSP5-8.5,12,Mid-trophic species,0.00788651934574789,0.480318710912258,0.472432191566511
SSP1-2.6,13,Mid-trophic species,0.0106649339718355,0.236084410484351,0.225419476512516
SSP5-8.5,13,Mid-trophic species,0.0108541296741913,0.433460248342984,0.422606118668792
SSP1-2.6,14,Mid-trophic species,0.00153387566261565,0.227053418909996,0.22551954324738
SSP5-8.5,14,Mid-trophic species,0.00928045717386589,0.444329998095194,0.435049540921328
SSP1-2.6,15,Mid-trophic species,0.00449925622228971,0.216414280963894,0.211915024741604
SSP5-8.5,15,Mid-trophic species,-0.000977288265140254,0.451035048222546,0.452012336487686
SSP1-2.6,16,Mid-trophic species,0.00160604043191412,0.246816715418133,0.245210674986218
SSP5-8.5,16,Mid-trophic species,0.00885326964876592,0.469835311096443,0.460982041447677
SSP1-2.6,17,Mid-trophic species,0.00769050989431178,0.207146478594361,0.199455968700049
SSP5-8.5,17,Mid-trophic species,0.0115517907629333,0.424869585401953,0.41331779463902
SSP1-2.6,18,Mid-trophic species,-0.00285706413133446,0.217110908591692,0.219967972723027
SSP5-8.5,18,Mid-trophic species,0.00352999204316698,0.434737047342217,0.43120705529905
SSP1-2.6,19,Mid-trophic species,-0.00393204347476111,0.239153793338373,0.243085836813135
SSP5-8.5,19,Mid-trophic species,0.00487290455416362,0.464235821901414,0.45936291734725
SSP1-2.6,20,Mid-trophic species,-0.00220629352975147,0.245609332776238,0.247815626305989
SSP5-8.5,20,Mid-trophic species,-0.00756250743259476,0.492204986625513,0.499767494058108
SSP1-2.6,21,Mid-trophic species,0.00362535404597188,0.254870337666541,0.251244983620569
SSP5-8.5,21,Mid-trophic species,-0.00290216918060367,0.467924210688299,0.470826379868903
SSP1-2.6,22,Mid-trophic species,0.0143567413944487,0.24073053832942,0.226373796934971
SSP5-8.5,22,Mid-trophic species,0.0125783940903774,0.476156520895304,0.463578126804926
SSP1-2.6,23,Mid-trophic species,0.010055800944169,0.248748520183613,0.238692719239444
SSP5-8.5,23,Mid-trophic species,0.00522525397043694,0.461289976519266,0.456064722548829
SSP1-2.6,24,Mid-trophic species,-0.00916373720085875,0.247748117285792,0.256911854486651
SSP5-8.5,24,Mid-trophic species,-0.0106104716682075,0.476736569192573,0.48734704086078
SSP1-2.6,25,Mid-trophic species,0.00984541999340956,0.238912807270945,0.229067387277535
SSP5-8.5,25,Mid-trophic species,0.00951677362533456,0.468899911558421,0.459383137933086
SSP1-2.6,26,Mid-trophic species,0.00699883181593785,0.215730158688819,0.208731326872882
SSP5-8.5,26,Mid-trophic species,0.00395425881101893,0.45789969434176,0.453945435530741
SSP1-2.6,27,Mid-trophic species,0.0186501128360134,0.259946332996336,0.241296220160322
SSP5-8.5,27,Mid-trophic species,0.0100363618144813,0.493158544008043,0.483122182193562
SSP1-2.6,28,Mid-trophic species,-0.00351435633502936,0.258440282540309,0.261954638875338
SSP5-8.5,28,Mid-trophic species,0.000926167925214313,0.479457986048273,0.478531818123058
SSP1-2.6,29,Mid-trophic species,-0.0138859177811462,0.25320216144948,0.267088079230626
SSP5-8.5,29,Mid-trophic species,-0.00921840196207851,0.470285344913702,0.479503746875781
SSP1-2.6,30,Mid-trophic species,-0.00313160848165596,0.212958957423109,0.216090565904765
SSP5-8.5,30,Mid-trophic species,0.0125383930919562,0.442243629148995,0.429705236057039
SSP1-2.6,31,Mid-trophic species,0.00408017597626055,0.249728955653209,0.245648779676948
SSP5-8.5,31,Mid-trophic species,0.0142461217703026,0.474216810302849,0.459970688532546
