species,scenario_chr,scenario,latin,group,species_order,mean,lo,hi,n_runs,metric,metric_label,base_mean,scenario_index,pct_change,pct_lo,pct_hi,significant,label,species_factor
DecapterusMaruadsi,SSP1-2.6,SSP1-2.6,Decapterus maruadsi,Mid-trophic species,10,38.7924874005144,38.3481019778807,39.1967039840535,100,ingestion_age_standardized,ingestion,38.9175842186667,99.6785596519831,-0.32144034801691,-0.493149139168392,-0.145674065734069,TRUE,-0.3%,Decapterus maruadsi
DecapterusMaruadsi,SSP5-8.5,SSP5-8.5,Decapterus maruadsi,Mid-trophic species,10,38.6243569845679,38.2461949717078,38.9706906696502,100,ingestion_age_standardized,ingestion,38.9175842186667,99.2465430730458,-0.753456926954166,-0.92751276263402,-0.583229254800577,TRUE,-0.8%,Decapterus maruadsi
EngraulisJaponicus,SSP1-2.6,SSP1-2.6,Engraulis japonicus,Prey,1,28.1433367296461,27.4075302414095,28.9870175566872,100,ingestion_age_standardized,ingestion,26.6968819439333,105.418066382248,5.41806638224824,4.84709488768758,5.98092730058066,TRUE,+5.4%,Engraulis japonicus
EngraulisJaponicus,SSP5-8.5,SSP5-8.5,Engraulis japonicus,Prey,1,29.1159265170206,28.2308347811729,30.0562966115123,100,ingestion_age_standardized,ingestion,26.6968819439333,109.061150205359,9.06115020535927,8.41860523241946,9.68715946316852,TRUE,+9.1%,Engraulis japonicus
LarimichthysPolyactis,SSP1-2.6,SSP1-2.6,Larimichthys polyactis,Mid-trophic species,13,38.5570525487,38.2533044930247,38.8600476158951,100,ingestion_age_standardized,ingestion,39.3414342276,98.006219919787,-1.99378008021303,-2.15942214402858,-1.81997065404838,TRUE,-2.0%,Larimichthys polyactis
LarimichthysPolyactis,SSP5-8.5,SSP5-8.5,Larimichthys polyactis,Mid-trophic species,13,38.3149743353685,38.0308507139043,38.5870729243055,100,ingestion_age_standardized,ingestion,39.3414342276,97.3908935645479,-2.60910643545215,-2.76992267342073,-2.43890411172862,TRUE,-2.6%,Larimichthys polyactis
MiichthysMiiuy,SSP1-2.6,SSP1-2.6,Miichthys miiuy,Predator,5,103.505976722037,101.050630888271,105.52717239213,100,ingestion_age_standardized,ingestion,103.506092044833,99.9998885835664,-0.000111416433612455,-0.467370432936731,0.43795053134148,FALSE,-0.0%,Miichthys miiuy
MiichthysMiiuy,SSP5-8.5,SSP5-8.5,Miichthys miiuy,Predator,5,101.275444182839,99.061907892284,103.419105673457,100,ingestion_age_standardized,ingestion,103.506092044833,97.8449115236351,-2.15508847636491,-2.59935951048733,-1.73011279318138,TRUE,-2.2%,Miichthys miiuy
MuraenesoxCinereus,SSP1-2.6,SSP1-2.6,Muraenesox cinereus,Predator,4,56.5890948110124,56.3955348980864,56.7714589638272,100,ingestion_age_standardized,ingestion,57.6218989242,98.2076187483056,-1.79238125169436,-1.86430481784589,-1.71955772832043,TRUE,-1.8%,Muraenesox cinereus
MuraenesoxCinereus,SSP5-8.5,SSP5-8.5,Muraenesox cinereus,Predator,4,56.3653458586173,56.1866151603087,56.5532829017901,100,ingestion_age_standardized,ingestion,57.6218989242,97.8193133356545,-2.18068666434557,-2.25365925855469,-2.10859870269907,TRUE,-2.2%,Muraenesox cinereus
PampusArgenteus,SSP1-2.6,SSP1-2.6,Pampus argenteus,Mid-trophic species,12,103.636616769012,102.34476647001,105.414770570731,100,ingestion_age_standardized,ingestion,104.721224402944,98.9642905341149,-1.03570946588513,-1.32090844415534,-0.758753238762455,TRUE,-1.0%,Pampus argenteus
PampusArgenteus,SSP5-8.5,SSP5-8.5,Pampus argenteus,Mid-trophic species,12,103.643612085967,101.990795585494,105.135673625823,100,ingestion_age_standardized,ingestion,104.721224402944,98.9709704760222,-1.02902952397783,-1.31980300206869,-0.754951941944237,TRUE,-1.0%,Pampus argenteus
PennahiaArgentata,SSP1-2.6,SSP1-2.6,Pennahia argentata,Mid-trophic species,11,34.5506304017019,34.2289780584435,34.8733812509921,100,ingestion_age_standardized,ingestion,35.1979711314127,98.1608578309986,-1.83914216900142,-2.00753750754931,-1.6701522804763,TRUE,-1.8%,Pennahia argentata
PennahiaArgentata,SSP5-8.5,SSP5-8.5,Pennahia argentata,Mid-trophic species,11,34.1047488972693,33.8009533800779,34.4011173132863,100,ingestion_age_standardized,ingestion,35.1979711314127,96.8940759964207,-3.10592400357926,-3.26660354547954,-2.94833707115784,TRUE,-3.1%,Pennahia argentata
PortunusTrituberculatus,SSP1-2.6,SSP1-2.6,Portunus trituberculatus,Invertebrate,8,6.21737476046914,5.56926391320988,6.77888210753086,100,ingestion_age_standardized,ingestion,8.0392051234,77.338177904828,-22.661822095172,-24.3627083729518,-20.9301121434323,TRUE,-22.7%,Portunus trituberculatus
PortunusTrituberculatus,SSP5-8.5,SSP5-8.5,Portunus trituberculatus,Invertebrate,8,6.37573500661729,5.63457684089506,7.08909800817902,100,ingestion_age_standardized,ingestion,8.0392051234,79.3080274573317,-20.6919725426683,-22.3768790481185,-18.9142353131014,TRUE,-20.7%,Portunus trituberculatus
ScomberJaponicus,SSP1-2.6,SSP1-2.6,Scomber japonicus,Mid-trophic species,9,7.38982825432058,7.32972492959259,7.46876442716049,100,ingestion_age_standardized,ingestion,7.16168190131167,103.185653260683,3.18565326068343,3.01273112977478,3.36495272541641,TRUE,+3.2%,Scomber japonicus
ScomberJaponicus,SSP5-8.5,SSP5-8.5,Scomber japonicus,Mid-trophic species,9,7.55103387204589,7.47707262622686,7.64187702707356,100,ingestion_age_standardized,ingestion,7.16168190131167,105.436599615838,5.43659961583758,5.25310573884787,5.63166255726864,TRUE,+5.4%,Scomber japonicus
ScomberomorusNiphonius,SSP1-2.6,SSP1-2.6,Scomberomorus niphonius,Predator,2,102.192103045309,102.016350596605,102.376965291204,100,ingestion_age_standardized,ingestion,103.036784039,99.1802141326814,-0.819785867318634,-0.8509606642918,-0.786618265049588,TRUE,-0.8%,Scomberomorus niphonius
ScomberomorusNiphonius,SSP5-8.5,SSP5-8.5,Scomberomorus niphonius,Predator,2,101.671001138457,101.524137209722,101.815159131636,100,ingestion_age_standardized,ingestion,103.036784039,98.6744705657484,-1.32552943425163,-1.35482591425872,-1.29541971204104,TRUE,-1.3%,Scomberomorus niphonius
TodarodesPacificus,SSP1-2.6,SSP1-2.6,Todarodes pacificus,Invertebrate,6,13.2933754993333,12.208257329784,15.2729569348457,100,ingestion_age_standardized,ingestion,15.9320780007333,83.4378007609645,-16.5621992390355,-19.1719394489621,-13.6959985636409,TRUE,-16.6%,Todarodes pacificus
TodarodesPacificus,SSP5-8.5,SSP5-8.5,Todarodes pacificus,Invertebrate,6,13.2151423171235,11.7962346361111,15.2683959177469,100,ingestion_age_standardized,ingestion,15.9320780007333,82.9467588378314,-17.0532411621687,-19.7142327953695,-14.1676931786623,TRUE,-17.1%,Todarodes pacificus
TrachurusJaponicus,SSP1-2.6,SSP1-2.6,Trachurus japonicus,Mid-trophic species,14,120.738871590679,116.93714798966,125.388751544908,100,ingestion_age_standardized,ingestion,116.581921099333,103.565690505137,3.56569050513744,3.00031463564483,4.1520007576215,TRUE,+3.6%,Trachurus japonicus
TrachurusJaponicus,SSP5-8.5,SSP5-8.5,Trachurus japonicus,Mid-trophic species,14,122.266425060802,117.761086662037,129.323806910494,100,ingestion_age_standardized,ingestion,116.581921099333,104.875973828417,4.87597382841689,4.22273640892392,5.55604229602726,TRUE,+4.9%,Trachurus japonicus
TrachysalambriaCurvirostris,SSP1-2.6,SSP1-2.6,Trachysalambria curvirostris,Invertebrate,7,26.8069651089525,24.2764563816049,29.0296182060186,100,ingestion_age_standardized,ingestion,27.7193333770333,96.7085490272403,-3.29145097275967,-5.21602931277768,-1.27647580681719,TRUE,-3.3%,Trachysalambria curvirostris
TrachysalambriaCurvirostris,SSP5-8.5,SSP5-8.5,Trachysalambria curvirostris,Invertebrate,7,26.8315812009286,24.2574127045216,29.9643796203025,100,ingestion_age_standardized,ingestion,27.7193333770333,96.797353803464,-3.20264619653599,-5.12490812749598,-1.1941641963073,TRUE,-3.2%,Trachysalambria curvirostris
