species,foreground_change,foreground_scenario,foreground_lo,foreground_hi,background_change,background_scenario,background_lo,background_hi,latin,species_order,species_index,species_colour,foreground_label,background_label,foreground_inside,background_inside,foreground_label_x,background_label_x,foreground_hjust,background_hjust
EngraulisJaponicus,8.05043796422298,SSP1-2.6,7.42693628907321,8.66698071922532,12.731563512657,SSP5-8.5,12.0357799237547,13.4843252228678,Engraulis japonicus,1,14,#7E4A8F,SSP1-2.6  +8.1%,SSP5-8.5  +12.7%,TRUE,TRUE,7.50043796422298,12.181563512657,1,1
ScomberomorusNiphonius,7.5409924792865,SSP1-2.6,7.32797648619787,7.76623425857081,11.9724546129109,SSP5-8.5,11.7473691538772,12.2030076750571,Scomberomorus niphonius,2,13,#299A9B,SSP1-2.6  +7.5%,SSP5-8.5  +12.0%,TRUE,TRUE,6.9909924792865,11.4224546129109,1,1
TrichiurusJaponicus,3.15484913331872,SSP5-8.5,2.34766018067203,3.93735143073031,3.49991072639506,SSP1-2.6,2.71689554145129,4.28329178142222,Trichiurus japonicus,3,12,#E9977B,SSP5-8.5  +3.2%,SSP1-2.6  +3.5%,FALSE,FALSE,3.70484913331872,4.04991072639506,0,0
MuraenesoxCinereus,12.1565631468385,SSP1-2.6,11.8632600278172,12.4546430542895,16.4031722560537,SSP5-8.5,16.0829647583783,16.697587844609,Muraenesox cinereus,4,11,#3E78B2,SSP1-2.6  +12.2%,SSP5-8.5  +16.4%,TRUE,TRUE,11.6065631468385,15.8531722560537,1,1
MiichthysMiiuy,-0.275486279754178,SSP1-2.6,-1.03893881343894,0.468213419031849,1.73868213187227,SSP5-8.5,0.998548762816931,2.50917639271102,Miichthys miiuy,5,10,#D1495B,SSP1-2.6  -0.3%,SSP5-8.5  +1.7%,FALSE,FALSE,0.38,2.28868213187227,0,0
TodarodesPacificus,0.671933008069536,SSP5-8.5,-1.03461539368881,2.55565630899057,3.36962693660623,SSP1-2.6,1.58226114993092,5.0744141311843,Todarodes pacificus,6,9,#5EAD58,SSP5-8.5  +0.7%,SSP1-2.6  +3.4%,FALSE,FALSE,1.22193300806954,3.91962693660623,0,0
TrachysalambriaCurvirostris,10.4814973995648,SSP1-2.6,7.85451458586528,12.9891504539595,13.9431706652712,SSP5-8.5,11.4630359524227,16.6499184142054,Trachysalambria curvirostris,7,8,#2FA6B8,SSP1-2.6  +10.5%,SSP5-8.5  +13.9%,TRUE,TRUE,9.9314973995648,13.3931706652712,1,1
PortunusTrituberculatus,25.2873874941129,SSP1-2.6,22.9511927533701,27.6955004070439,29.5342271474292,SSP5-8.5,27.0957505078742,32.0480398722665,Portunus trituberculatus,8,7,#9470A4,SSP1-2.6  +25.3%,SSP5-8.5  +29.5%,TRUE,TRUE,24.7373874941129,28.9842271474292,1,1
ScomberJaponicus,2.10018201588895,SSP5-8.5,1.76910313788823,2.44514123341821,4.77872221126501,SSP1-2.6,4.43141816288541,5.12296870515581,Scomber japonicus,9,6,#B93D64,SSP5-8.5  +2.1%,SSP1-2.6  +4.8%,FALSE,FALSE,2.65018201588895,5.32872221126501,0,0
DecapterusMaruadsi,7.21408954820519,SSP1-2.6,6.9389260898018,7.49022006105955,10.8670582938678,SSP5-8.5,10.5853061482027,11.1437222728435,Decapterus maruadsi,10,5,#879397,SSP1-2.6  +7.2%,SSP5-8.5  +10.9%,TRUE,TRUE,6.66408954820519,10.3170582938678,1,1
PennahiaArgentata,9.05455813203579,SSP1-2.6,8.52757874348076,9.59369414115294,16.0610361893661,SSP5-8.5,15.5434180271023,16.621980241236,Pennahia argentata,11,4,#C0A22A,SSP1-2.6  +9.1%,SSP5-8.5  +16.1%,TRUE,TRUE,8.50455813203579,15.5110361893661,1,1
PampusArgenteus,10.2797435060709,SSP1-2.6,9.52897129958683,11.0473913014604,13.8913350938153,SSP5-8.5,13.1262253382135,14.7280525140999,Pampus argenteus,12,3,#D47B43,SSP1-2.6  +10.3%,SSP5-8.5  +13.9%,TRUE,TRUE,9.7297435060709,13.3413350938153,1,1
LarimichthysPolyactis,10.7385457079872,SSP1-2.6,10.0079351374116,11.5090322553957,16.544858625337,SSP5-8.5,15.745170427976,17.4135396493999,Larimichthys polyactis,13,2,#5C9167,SSP1-2.6  +10.7%,SSP5-8.5  +16.5%,TRUE,TRUE,10.1885457079872,15.994858625337,1,1
TrachurusJaponicus,7.52150318730975,SSP1-2.6,6.86467335626946,8.17817656273949,9.40960043332366,SSP5-8.5,8.70131816544597,10.148734534804,Trachurus japonicus,14,1,#667EAE,SSP1-2.6  +7.5%,SSP5-8.5  +9.4%,TRUE,TRUE,6.97150318730975,8.85960043332366,1,1
