species,latin,group,species_order,scenario,metric,estimate,lo,hi,pct,pct_lo,pct_hi
EngraulisJaponicus,Engraulis japonicus,Prey,1,SSP1-2.6,enet_age_standardized,0.0774279503043258,0.0716407680771847,0.0831177967605511,8.05043796422298,7.42693628907321,8.66698071922532
EngraulisJaponicus,Engraulis japonicus,Prey,1,SSP5-8.5,enet_age_standardized,0.119839262506959,0.113648097894324,0.126494537632883,12.731563512657,12.0357799237547,13.4843252228678
ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,SSP1-2.6,enet_age_standardized,0.0727019142822892,0.0707191611290515,0.0747941976196031,7.5409924792865,7.32797648619787,7.76623425857081
ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,SSP5-8.5,enet_age_standardized,0.113082714102414,0.11107050498128,0.115139613114278,11.9724546129109,11.7473691538772,12.2030076750571
TrichiurusJaponicus,Trichiurus japonicus,Predator,3,SSP1-2.6,enet_age_standardized,0.0344005641700528,0.0268064309642493,0.0419409693360117,3.49991072639506,2.71689554145129,4.28329178142222
TrichiurusJaponicus,Trichiurus japonicus,Predator,3,SSP5-8.5,enet_age_standardized,0.0310610629265732,0.0232052648971883,0.0386181415543431,3.15484913331872,2.34766018067203,3.93735143073031
MuraenesoxCinereus,Muraenesox cinereus,Predator,4,SSP1-2.6,enet_age_standardized,0.114725594414635,0.112107046801679,0.117379781509598,12.1565631468385,11.8632600278172,12.4546430542895
MuraenesoxCinereus,Muraenesox cinereus,Predator,4,SSP5-8.5,enet_age_standardized,0.151889601996769,0.149134962909327,0.154415683378793,16.4031722560537,16.0829647583783,16.697587844609
MiichthysMiiuy,Miichthys miiuy,Predator,5,SSP1-2.6,enet_age_standardized,-0.00275866441562112,-0.0104437345724993,0.00467120709484023,-0.275486279754178,-1.03893881343894,0.468213419031849
MiichthysMiiuy,Miichthys miiuy,Predator,5,SSP5-8.5,enet_age_standardized,0.0172374000286706,0.00993596206495674,0.0247821343657244,1.73868213187227,0.998548762816931,2.50917639271102
TodarodesPacificus,Todarodes pacificus,Invertebrate,6,SSP1-2.6,enet_age_standardized,0.0331409895754986,0.0156987389318172,0.0494986191671953,3.36962693660623,1.58226114993092,5.0744141311843
TodarodesPacificus,Todarodes pacificus,Invertebrate,6,SSP5-8.5,enet_age_standardized,0.0066968560000024,-0.0104000474367707,0.0252354536059192,0.671933008069536,-1.03461539368881,2.55565630899057
TrachysalambriaCurvirostris,Trachysalambria curvirostris,Invertebrate,7,SSP1-2.6,enet_age_standardized,0.0996778766015164,0.0756130458306433,0.122121614432867,10.4814973995648,7.85451458586528,12.9891504539595
TrachysalambriaCurvirostris,Trachysalambria curvirostris,Invertebrate,7,SSP5-8.5,enet_age_standardized,0.130529635176289,0.108522833826695,0.154007113072377,13.9431706652712,11.4630359524227,16.6499184142054
PortunusTrituberculatus,Portunus trituberculatus,Invertebrate,8,SSP1-2.6,enet_age_standardized,0.225440012380751,0.206617283752472,0.244478340776079,25.2873874941129,22.9511927533701,27.6955004070439
PortunusTrituberculatus,Portunus trituberculatus,Invertebrate,8,SSP5-8.5,enet_age_standardized,0.258774962526553,0.239770557406635,0.277995608815015,29.5342271474292,27.0957505078742,32.0480398722665
ScomberJaponicus,Scomber japonicus,Mid-trophic species,9,SSP1-2.6,enet_age_standardized,0.046680532949738,0.0433603844445335,0.049960609456322,4.77872221126501,4.43141816288541,5.12296870515581
ScomberJaponicus,Scomber japonicus,Mid-trophic species,9,SSP5-8.5,enet_age_standardized,0.0207843219026726,0.0175363665394822,0.0241572618368787,2.10018201588895,1.76910313788823,2.44514123341821
DecapterusMaruadsi,Decapterus maruadsi,Mid-trophic species,10,SSP1-2.6,enet_age_standardized,0.0696574863647957,0.0670877013070365,0.0722296812648526,7.21408954820519,6.9389260898018,7.49022006105955
DecapterusMaruadsi,Decapterus maruadsi,Mid-trophic species,10,SSP5-8.5,enet_age_standardized,0.103161624512513,0.100617038471161,0.105653973050585,10.8670582938678,10.5853061482027,11.1437222728435
PennahiaArgentata,Pennahia argentata,Mid-trophic species,11,SSP1-2.6,enet_age_standardized,0.0866781043374632,0.0818341366612242,0.0916096516621517,9.05455813203579,8.52757874348076,9.59369414115294
PennahiaArgentata,Pennahia argentata,Mid-trophic species,11,SSP5-8.5,enet_age_standardized,0.148946040783509,0.144476186990487,0.153767579950179,16.0610361893661,15.5434180271023,16.621980241236
PampusArgenteus,Pampus argenteus,Mid-trophic species,12,SSP1-2.6,enet_age_standardized,0.0978500743221345,0.0910189063522754,0.104786872869402,10.2797435060709,9.52897129958683,11.0473913014604
PampusArgenteus,Pampus argenteus,Mid-trophic species,12,SSP5-8.5,enet_age_standardized,0.130074606890055,0.12333404769235,0.137394381165686,13.8913350938153,13.1262253382135,14.7280525140999
LarimichthysPolyactis,Larimichthys polyactis,Mid-trophic species,13,SSP1-2.6,enet_age_standardized,0.102001792829864,0.0953823148153648,0.108935408406059,10.7385457079872,10.0079351374116,11.5090322553957
LarimichthysPolyactis,Larimichthys polyactis,Mid-trophic species,13,SSP5-8.5,enet_age_standardized,0.153106065481944,0.146220781943421,0.160532043967245,16.544858625337,15.745170427976,17.4135396493999
TrachurusJaponicus,Trachurus japonicus,Mid-trophic species,14,SSP1-2.6,enet_age_standardized,0.0725206712257563,0.0663931130334059,0.0786094647274373,7.52150318730975,6.86467335626946,8.17817656273949
TrachurusJaponicus,Trachurus japonicus,Mid-trophic species,14,SSP5-8.5,enet_age_standardized,0.0899284554815417,0.0834337347025827,0.096661398631434,9.40960043332366,8.70131816544597,10.148734534804
EngraulisJaponicus,Engraulis japonicus,Prey,1,SSP1-2.6,ingestion_age_standardized,0.0527638432317488,0.0473328636577909,0.0580889608078311,5.41806638224827,4.84709488768758,5.98092730058066
EngraulisJaponicus,Engraulis japonicus,Prey,1,SSP5-8.5,ingestion_age_standardized,0.0867385499915222,0.080829523275275,0.0924621230579845,9.06115020535929,8.41860523241946,9.68715946316852
