scenario,species,latin,group,species_order,mean,lo,hi,n_runs,metric,metric_label
Base,EngraulisJaponicus,Engraulis japonicus,Prey,1,26.6968819439333,25.4770702908334,28.0240434140278,100,ingestion_age_standardized,ingestion
SSP1-2.6,EngraulisJaponicus,Engraulis japonicus,Prey,1,28.1433367296461,27.4075302414095,28.9870175566872,100,ingestion_age_standardized,ingestion
SSP5-8.5,EngraulisJaponicus,Engraulis japonicus,Prey,1,29.1159265170206,28.2308347811729,30.0562966115123,100,ingestion_age_standardized,ingestion
Base,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,103.036784039,102.726555353333,103.26088441875,100,ingestion_age_standardized,ingestion
SSP1-2.6,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,102.192103045309,102.016350596605,102.376965291204,100,ingestion_age_standardized,ingestion
SSP5-8.5,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,101.671001138457,101.524137209722,101.815159131636,100,ingestion_age_standardized,ingestion
Base,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,5.03946614546667,4.94734202295238,5.12339855054762,100,ingestion_age_standardized,ingestion
SSP1-2.6,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,5.07943306491599,5.01197690493342,5.1270599149515,100,ingestion_age_standardized,ingestion
SSP5-8.5,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,5.0951866161042,5.04722979918871,5.14191308491622,100,ingestion_age_standardized,ingestion
Base,MuraenesoxCinereus,Muraenesox cinereus,Predator,4,57.6218989242,57.261347994,57.9577462281667,100,ingestion_age_standardized,ingestion
SSP1-2.6,MuraenesoxCinereus,Muraenesox cinereus,Predator,4,56.5890948110124,56.3955348980864,56.7714589638272,100,ingestion_age_standardized,ingestion
SSP5-8.5,MuraenesoxCinereus,Muraenesox cinereus,Predator,4,56.3653458586173,56.1866151603087,56.5532829017901,100,ingestion_age_standardized,ingestion
Base,MiichthysMiiuy,Miichthys miiuy,Predator,5,103.506092044833,100.118882664583,107.077189667917,100,ingestion_age_standardized,ingestion
SSP1-2.6,MiichthysMiiuy,Miichthys miiuy,Predator,5,103.505976722037,101.050630888271,105.52717239213,100,ingestion_age_standardized,ingestion
SSP5-8.5,MiichthysMiiuy,Miichthys miiuy,Predator,5,101.275444182839,99.061907892284,103.419105673457,100,ingestion_age_standardized,ingestion
Base,TodarodesPacificus,Todarodes pacificus,Invertebrate,6,15.9320780007333,12.6466327458333,22.4305817098333,100,ingestion_age_standardized,ingestion
SSP1-2.6,TodarodesPacificus,Todarodes pacificus,Invertebrate,6,13.2933754993333,12.208257329784,15.2729569348457,100,ingestion_age_standardized,ingestion
SSP5-8.5,TodarodesPacificus,Todarodes pacificus,Invertebrate,6,13.2151423171235,11.7962346361111,15.2683959177469,100,ingestion_age_standardized,ingestion
Base,TrachysalambriaCurvirostris,Trachysalambria curvirostris,Invertebrate,7,27.7193333770333,22.3743416175417,32.961315602,100,ingestion_age_standardized,ingestion
SSP1-2.6,TrachysalambriaCurvirostris,Trachysalambria curvirostris,Invertebrate,7,26.8069651089525,24.2764563816049,29.0296182060186,100,ingestion_age_standardized,ingestion
SSP5-8.5,TrachysalambriaCurvirostris,Trachysalambria curvirostris,Invertebrate,7,26.8315812009286,24.2574127045216,29.9643796203025,100,ingestion_age_standardized,ingestion
Base,PortunusTrituberculatus,Portunus trituberculatus,Invertebrate,8,8.0392051234,6.88746084625,9.53872519725,100,ingestion_age_standardized,ingestion
SSP1-2.6,PortunusTrituberculatus,Portunus trituberculatus,Invertebrate,8,6.21737476046914,5.56926391320988,6.77888210753086,100,ingestion_age_standardized,ingestion
SSP5-8.5,PortunusTrituberculatus,Portunus trituberculatus,Invertebrate,8,6.37573500661729,5.63457684089506,7.08909800817902,100,ingestion_age_standardized,ingestion
Base,ScomberJaponicus,Scomber japonicus,Mid-trophic species,9,7.16168190131167,7.05456636016667,7.26216909678333,100,ingestion_age_standardized,ingestion
SSP1-2.6,ScomberJaponicus,Scomber japonicus,Mid-trophic species,9,7.38982825432058,7.32972492959259,7.46876442716049,100,ingestion_age_standardized,ingestion
SSP5-8.5,ScomberJaponicus,Scomber japonicus,Mid-trophic species,9,7.55103387204589,7.47707262622686,7.64187702707356,100,ingestion_age_standardized,ingestion
Base,DecapterusMaruadsi,Decapterus maruadsi,Mid-trophic species,10,38.9175842186667,38.4316520702778,39.4405179438889,100,ingestion_age_standardized,ingestion
SSP1-2.6,DecapterusMaruadsi,Decapterus maruadsi,Mid-trophic species,10,38.7924874005144,38.3481019778807,39.1967039840535,100,ingestion_age_standardized,ingestion
SSP5-8.5,DecapterusMaruadsi,Decapterus maruadsi,Mid-trophic species,10,38.6243569845679,38.2461949717078,38.9706906696502,100,ingestion_age_standardized,ingestion
Base,PennahiaArgentata,Pennahia argentata,Mid-trophic species,11,35.1979711314127,34.704056534881,35.5953344971429,100,ingestion_age_standardized,ingestion
SSP1-2.6,PennahiaArgentata,Pennahia argentata,Mid-trophic species,11,34.5506304017019,34.2289780584435,34.8733812509921,100,ingestion_age_standardized,ingestion
SSP5-8.5,PennahiaArgentata,Pennahia argentata,Mid-trophic species,11,34.1047488972693,33.8009533800779,34.4011173132863,100,ingestion_age_standardized,ingestion
Base,PampusArgenteus,Pampus argenteus,Mid-trophic species,12,104.721224402944,101.876938015139,106.937303495555,100,ingestion_age_standardized,ingestion
SSP1-2.6,PampusArgenteus,Pampus argenteus,Mid-trophic species,12,103.636616769012,102.34476647001,105.414770570731,100,ingestion_age_standardized,ingestion
SSP5-8.5,PampusArgenteus,Pampus argenteus,Mid-trophic species,12,103.643612085967,101.990795585494,105.135673625823,100,ingestion_age_standardized,ingestion
Base,LarimichthysPolyactis,Larimichthys polyactis,Mid-trophic species,13,39.3414342276,38.6744258748333,39.977251603625,100,ingestion_age_standardized,ingestion
SSP1-2.6,LarimichthysPolyactis,Larimichthys polyactis,Mid-trophic species,13,38.5570525487,38.2533044930247,38.8600476158951,100,ingestion_age_standardized,ingestion
SSP5-8.5,LarimichthysPolyactis,Larimichthys polyactis,Mid-trophic species,13,38.3149743353685,38.0308507139043,38.5870729243055,100,ingestion_age_standardized,ingestion
Base,TrachurusJaponicus,Trachurus japonicus,Mid-trophic species,14,116.581921099333,113.577840747917,122.471143162083,100,ingestion_age_standardized,ingestion
SSP1-2.6,TrachurusJaponicus,Trachurus japonicus,Mid-trophic species,14,120.738871590679,116.93714798966,125.388751544908,100,ingestion_age_standardized,ingestion
SSP5-8.5,TrachurusJaponicus,Trachurus japonicus,Mid-trophic species,14,122.266425060802,117.761086662037,129.323806910494,100,ingestion_age_standardized,ingestion
Base,EngraulisJaponicus,Engraulis japonicus,Prey,1,1.17127525635444,1.11442103763611,1.23675779103333,100,maintenance_age_standardized,maintenance
SSP1-2.6,EngraulisJaponicus,Engraulis japonicus,Prey,1,1.49383391733934,1.44250582013581,1.5548102890072,100,maintenance_age_standardized,maintenance
SSP5-8.5,EngraulisJaponicus,Engraulis japonicus,Prey,1,1.83553684413045,1.74427996698765,1.9093527240679,100,maintenance_age_standardized,maintenance
