scenario,species,latin,short_label,group,species_order,n_paired_runs,gonad_log2,gonad_ci_low_log2,gonad_ci_high_log2,somatic_log2,somatic_ci_low_log2,somatic_ci_high_log2,joint_log2,joint_ci_low_log2,joint_ci_high_log2,bias_log2,bias_ci_low_log2,bias_ci_high_log2,joint_t,joint_p,joint_dz,bias_t,bias_p,bias_dz,joint_p_fdr,bias_p_fdr,gonad_change_pct,somatic_change_pct,joint_change_pct,joint_ci_low_pct,joint_ci_high_pct,allocation_bias_pct,bias_ci_low_pct,bias_ci_high_pct,strategy
SSP1-2.6,EngraulisJaponicus,Engraulis japonicus,E. japonicus,Prey,1,100,0.0435894102988072,0.0338616077185264,0.0531365127115794,0.325216431068836,0.288647145016081,0.362329735279183,0.184402920683822,0.165639323713152,0.202703902863853,-0.281627020770029,-0.321132991421254,-0.242010698225868,19.3284123701307,2.23876786126778e-35,1.93284123701307,-14.1816258992697,1.39895374530533e-25,-1.41816258992697,7.83568751443725e-35,3.91707048685494e-25,3.06749478941026,25.2852375667549,13.6346583138328,12.1663027753769,15.0853267234425,-17.7337276193506,-19.9558979502104,-15.4433982894108,Somatic prioritization
SSP1-2.6,ScomberomorusNiphonius,Scomberomorus niphonius,S. niphonius,Predator,2,100,0.012065773292267,0.008230849174808,0.0157016609631009,0.0549029997214832,0.0519843061976915,0.0578695771850474,0.0334843865068751,0.030848204363283,0.0361196287332128,-0.0428372264292162,-0.0471887429105813,-0.0385931383584856,25.1672688364593,8.18546001560647e-45,2.51672688364593,-19.5962563509199,7.58052589528406e-36,-1.95962563509199,3.81988134061635e-44,2.65318406334942e-35,0.839842730782947,3.87892574661246,2.34810469828486,2.16125863361876,2.53522569000169,-2.92560112071493,-3.21795980574306,-2.63960936493282,Balanced allocation
SSP1-2.6,TrichiurusJaponicus,Trichiurus japonicus,Trich. japonicus,Predator,3,100,0.165082374685252,0.129746722467219,0.201184172773253,0.171545356547696,0.149978617999733,0.193689448375501,0.168313865616474,0.142486566142335,0.193202011994312,-0.00646298186244356,-0.038371863952601,0.0265897358943471,13.1674107297956,1.74343043581626e-23,1.31674107297956,-0.392315796927595,0.695668234712036,-0.0392315796927595,2.71200290015862e-23,0.695668234712036,12.1230095951132,12.626424747785,12.3744352718143,10.3805949018942,14.3298413474078,-0.446977832954565,-2.62467549867363,1.86014922487008,Balanced allocation
SSP1-2.6,MuraenesoxCinereus,Muraenesox cinereus,M. cinereus,Predator,4,100,0.017142170729586,0.0107605909061547,0.0234340635295715,0.334869789538388,0.32416492764794,0.345504820376922,0.176005980133987,0.16994667325502,0.181939577156889,-0.317727618808802,-0.330679042475994,-0.30517738392956,57.5936414957176,6.08020641047272e-78,5.75936414957176,-48.4545286454536,9.11523133676621e-71,-4.84545286454536,8.5122889746618e-77,1.27613238714727e-69,1.19529192571415,26.1263568332535,12.9751897509709,12.5016899602291,13.4407972753255,-19.7667367340989,-20.4837868369334,-19.0657300821462,Somatic prioritization
SSP1-2.6,MiichthysMiiuy,Miichthys miiuy,M. miiuy,Predator,5,100,0.0715294863556631,0.0390963323735702,0.104575066351052,0.121279362368467,0.10306361205469,0.139131243428323,0.096404424362065,0.0736797563236751,0.118968516770004,-0.0497498760128039,-0.0784236837444756,-0.0216395774289183,8.38083846543989,3.64217190257817e-13,0.838083846543989,-3.39710110298601,0.000981956269371056,-0.339710110298601,4.63549151237222e-13,0.00105749136701498,5.08301404919647,8.76989916679167,6.9105646897146,5.2397521786244,8.5958157728669,-3.3896189532562,-5.29081076399706,-1.48874812330688,Balanced allocation
SSP1-2.6,TodarodesPacificus,Todarodes pacificus,T. pacificus,Invertebrate,6,100,0.268713561358316,0.19914612554334,0.337685753811893,0.141542615654418,0.0955723750219955,0.18739073513935,0.205128088506367,0.148789188690797,0.261741151840196,0.127170945703898,0.0906557281659181,0.161466812685714,7.07093956694927,2.20537555882583e-10,0.707093956694927,6.8873892910628,5.29162379975315e-10,0.68873892910628,2.37501983258166e-10,8.23141479961602e-10,20.4733098554829,10.3083968738534,15.2788691662324,10.8638633870214,19.8924783560973,9.21499475081116,6.48540658270274,11.8423680659207,Gonadal prioritization
SSP1-2.6,TrachysalambriaCurvirostris,Trachysalambria curvirostris,T. curvirostris,Invertebrate,7,100,0.130484818652691,0.0837245641120951,0.176000084066048,0.33677490720348,0.254724237040212,0.421860573495876,0.233629862928085,0.184132327419555,0.283538063939362,-0.206290088550789,-0.298064010808486,-0.113410755771097,9.20141775896715,6.03670902727027e-15,0.920141775896715,-4.25233660895932,4.79993946370515e-05,-0.425233660895932,8.45139263817838e-15,5.59992937432268e-05,9.46615012018199,26.2930201025175,17.5789551649161,13.6133468870925,21.7176228998134,-13.3236737617617,-18.6656889816876,-7.55999491820302,Somatic prioritization
SSP1-2.6,PortunusTrituberculatus,Portunus trituberculatus,P. trituberculatus,Invertebrate,8,100,0.807484229891697,0.707322989190985,0.903859913215922,0.564687960748821,0.489719474967361,0.638094151724435,0.686086095320259,0.604624835220626,0.770111997856913,0.242796269142876,0.189219533464759,0.296776738542245,16.1553485695781,1.65383154307537e-29,1.61553485695781,8.84911765051225,3.52561268319474e-14,0.884911765051225,3.85894026717587e-29,7.05122536638948e-14,75.015685841055,47.9067568416812,60.8912753668544,52.0583282642105,70.5402170470943,18.3283911960771,14.0146754487769,22.8396867573925,Gonadal prioritization
SSP1-2.6,ScomberJaponicus,Scomber japonicus,S. japonicus,Mid-trophic species,9,100,-0.0103257933621323,-0.030984399400027,0.00986747067260481,0.0793847958942707,0.0629136358794113,0.0971354132341325,0.0345295012660692,0.0218865861088076,0.0469293091842896,-0.0897105892564031,-0.119112649404873,-0.0621248605076034,5.44442894320244,3.78390315314893e-07,0.544442894320244,-6.22358735941721,1.17402548172515e-08,-0.622358735941721,3.78390315314893e-07,1.49421424946837e-08,-0.713174212176837,5.65673956289459,2.4222744049873,1.52862835199805,3.30637672082164,-6.02887596325985,-7.92462004685324,-4.21476843301693,Somatic prioritization
SSP1-2.6,DecapterusMaruadsi,Decapterus maruadsi,D. maruadsi,Mid-trophic species,10,100,0.00713512983445989,0.00102600332235458,0.013222280200182,0.164279945068315,0.157302933157496,0.17126843454139,0.0857075374513874,0.0811172558543843,0.0903264855447042,-0.157144815233855,-0.166451392120714,-0.148273297654922,36.65509238809,2.11071134722573e-59,3.665509238809,-33.336903224483,1.26193857678561e-55,-3.3336903224483,1.47749794305801e-58,8.83357003749929e-55,0.495794526465465,12.0606639123735,6.12080594792519,5.78369364191844,6.46110793803847,-10.3201863902496,-10.8968334756282,-9.76702220207295,Somatic prioritization
SSP1-2.6,PennahiaArgentata,Pennahia argentata,P. argentata,Mid-trophic species,11,100,-0.0183602015562316,-0.0327422647062945,-0.00383374940494517,0.264762297913201,0.240747555849432,0.288909423807659,0.123201048178485,0.107301579337515,0.138438696093903,-0.283122499469432,-0.307564658619092,-0.25932388139401,15.0834232095056,2.11695079620747e-27,1.50834232095056,-23.0085448731822,1.62531674420283e-41,-2.30085448731821,3.70466389336307e-27,7.58481147294655e-41,-1.26456847422413,20.1438081238982,8.91487841549978,7.7211531737766,10.0713264429247,-17.8189595722194,-19.1995439231665,-16.4520625143582,Somatic prioritization
