species,latin,short_label,group,species_order,bias_ssp126_log2,bias_ssp126_pct,bias_ssp126_ci_low_pct,bias_ssp126_ci_high_pct,strategy_ssp126,bias_ssp585_log2,bias_ssp585_pct,bias_ssp585_ci_low_pct,bias_ssp585_ci_high_pct,strategy_ssp585
DecapterusMaruadsi,Decapterus maruadsi,D. maruadsi,Mid-trophic species,10,-0.157144815233855,-10.3201863902496,-10.8968334756282,-9.76702220207295,Somatic prioritization,-0.250032491584181,-15.9122522739572,-16.4448221004335,-15.3884758477721,Somatic prioritization
EngraulisJaponicus,Engraulis japonicus,E. japonicus,Prey,1,-0.281627020770029,-17.7337276193506,-19.9558979502104,-15.4433982894108,Somatic prioritization,-0.408737586701324,-24.6717763855336,-26.7056619569074,-22.6008005991706,Somatic prioritization
LarimichthysPolyactis,Larimichthys polyactis,L. polyactis,Mid-trophic species,13,-0.119165149229823,-7.92797061869273,-9.74814348429729,-6.17066137730178,Somatic prioritization,-0.341357194791758,-21.0701558760178,-22.6177015454228,-19.5464819560612,Somatic prioritization
MiichthysMiiuy,Miichthys miiuy,M. miiuy,Predator,5,-0.0497498760128039,-3.3896189532562,-5.29081076399706,-1.48874812330688,Balanced allocation,-0.298167275770393,-18.671510505785,-20.3889092993163,-16.9640817769694,Somatic prioritization
MuraenesoxCinereus,Muraenesox cinereus,M. cinereus,Predator,4,-0.317727618808802,-19.7667367340989,-20.4837868369334,-19.0657300821462,Somatic prioritization,-0.47759300309247,-28.1825169853651,-28.800998448448,-27.5277627146722,Somatic prioritization
PampusArgenteus,Pampus argenteus,P. argenteus,Mid-trophic species,12,-0.718578300747324,-39.2304000678743,-47.8682511570371,-29.5197396359901,Somatic prioritization,-0.832190659584713,-43.8324281730039,-51.6226821412213,-35.3631223193263,Somatic prioritization
PennahiaArgentata,Pennahia argentata,P. argentata,Mid-trophic species,11,-0.283122499469432,-17.8189595722194,-19.1995439231665,-16.4520625143582,Somatic prioritization,-0.595580476399304,-33.822186850076,-34.9933905548486,-32.5929607480798,Somatic prioritization
PortunusTrituberculatus,Portunus trituberculatus,P. trituberculatus,Invertebrate,8,0.242796269142876,18.3283911960771,14.0146754487769,22.8396867573925,Gonadal prioritization,0.296655627287175,22.8293750534124,18.3611417730249,27.5743409421125,Gonadal prioritization
ScomberJaponicus,Scomber japonicus,S. japonicus,Mid-trophic species,9,-0.0897105892564031,-6.02887596325985,-7.92462004685324,-4.21476843301693,Somatic prioritization,-0.205605927692159,-13.2825600050765,-15.0831796274382,-11.3952183666798,Somatic prioritization
ScomberomorusNiphonius,Scomberomorus niphonius,S. niphonius,Predator,2,-0.0428372264292162,-2.92560112071493,-3.21795980574306,-2.63960936493282,Balanced allocation,-0.0735679346023905,-4.97150637362902,-5.24368056725997,-4.70663442788364,Somatic prioritization
TodarodesPacificus,Todarodes pacificus,T. pacificus,Invertebrate,6,0.127170945703898,9.21499475081116,6.48540658270274,11.8423680659207,Gonadal prioritization,0.139626615091415,10.1619967947188,7.48294250707884,12.8222274210225,Gonadal prioritization
TrachurusJaponicus,Trachurus japonicus,Trach. japonicus,Mid-trophic species,14,-0.069846819058755,-4.72608484008542,-5.63772316418473,-3.83308768870222,Balanced allocation,-0.0797158125821512,-5.37559769757627,-6.37793995016532,-4.37435970694495,Somatic prioritization
TrachysalambriaCurvirostris,Trachysalambria curvirostris,T. curvirostris,Invertebrate,7,-0.206290088550789,-13.3236737617617,-18.6656889816876,-7.55999491820302,Somatic prioritization,-0.405818984560716,-24.5192315703044,-29.4683513218247,-18.8196643448067,Somatic prioritization
TrichiurusJaponicus,Trichiurus japonicus,Trich. japonicus,Predator,3,-0.00646298186244356,-0.446977832954565,-2.62467549867363,1.86014922487008,Balanced allocation,-0.0363965258088283,-2.49125788117417,-4.35506054474353,-0.603778566604885,Balanced allocation
