record_type,scenario,functional_group,point_index,somatic_log2,gonad_log2,confidence_level,bootstrap_replicates
centroid,SSP1-2.6,Prey,0,0.32521643,0.04358941,0.95,5000
centroid,SSP1-2.6,Predator,0,0.17064938,0.06645495,0.95,5000
centroid,SSP1-2.6,Invertebrate,0,0.34766849,0.40222754,0.95,5000
centroid,SSP1-2.6,Mid-trophic species,0,0.24161949,0.0020248,0.95,5000
centroid,SSP5-8.5,Prey,0,0.48012426,0.07138667,0.95,5000
centroid,SSP5-8.5,Predator,0,0.29008204,0.06865086,0.95,5000
centroid,SSP5-8.5,Invertebrate,0,0.44706196,0.45721638,0.95,5000
centroid,SSP5-8.5,Mid-trophic species,0,0.35818071,-0.02589971,0.95,5000
ellipse,SSP1-2.6,Prey,1,0.27913506,0.04449817,0.95,5000
ellipse,SSP1-2.6,Prey,2,0.27915491,0.0440806,0.95,5000
ellipse,SSP1-2.6,Prey,3,0.27923087,0.04366242,0.95,5000
ellipse,SSP1-2.6,Prey,4,0.27936287,0.04324416,0.95,5000
ellipse,SSP1-2.6,Prey,5,0.27955072,0.04282631,0.95,5000
ellipse,SSP1-2.6,Prey,6,0.27979422,0.0424094,0.95,5000
ellipse,SSP1-2.6,Prey,7,0.28009305,0.04199393,0.95,5000
ellipse,SSP1-2.6,Prey,8,0.28044686,0.04158039,0.95,5000
ellipse,SSP1-2.6,Prey,9,0.28085522,0.04116931,0.95,5000
ellipse,SSP1-2.6,Prey,10,0.28131762,0.04076118,0.95,5000
ellipse,SSP1-2.6,Prey,11,0.28183351,0.04035649,0.95,5000
ellipse,SSP1-2.6,Prey,12,0.28240225,0.03995574,0.95,5000
ellipse,SSP1-2.6,Prey,13,0.28302316,0.03955941,0.95,5000
ellipse,SSP1-2.6,Prey,14,0.28369547,0.039168,0.95,5000
ellipse,SSP1-2.6,Prey,15,0.28441836,0.03878197,0.95,5000
ellipse,SSP1-2.6,Prey,16,0.28519097,0.0384018,0.95,5000
ellipse,SSP1-2.6,Prey,17,0.28601234,0.03802795,0.95,5000
ellipse,SSP1-2.6,Prey,18,0.28688147,0.03766088,0.95,5000
ellipse,SSP1-2.6,Prey,19,0.28779731,0.03730103,0.95,5000
ellipse,SSP1-2.6,Prey,20,0.28875874,0.03694884,0.95,5000
ellipse,SSP1-2.6,Prey,21,0.28976458,0.03660474,0.95,5000
ellipse,SSP1-2.6,Prey,22,0.29081362,0.03626915,0.95,5000
ellipse,SSP1-2.6,Prey,23,0.29190457,0.03594248,0.95,5000
ellipse,SSP1-2.6,Prey,24,0.29303611,0.03562513,0.95,5000
ellipse,SSP1-2.6,Prey,25,0.29420685,0.03531747,0.95,5000
ellipse,SSP1-2.6,Prey,26,0.29541538,0.0350199,0.95,5000
ellipse,SSP1-2.6,Prey,27,0.29666021,0.03473277,0.95,5000
ellipse,SSP1-2.6,Prey,28,0.29793984,0.03445643,0.95,5000
ellipse,SSP1-2.6,Prey,29,0.29925269,0.03419121,0.95,5000
ellipse,SSP1-2.6,Prey,30,0.30059718,0.03393745,0.95,5000
ellipse,SSP1-2.6,Prey,31,0.30197167,0.03369545,0.95,5000
ellipse,SSP1-2.6,Prey,32,0.30337447,0.0334655,0.95,5000
ellipse,SSP1-2.6,Prey,33,0.30480389,0.03324788,0.95,5000
ellipse,SSP1-2.6,Prey,34,0.30625817,0.03304286,0.95,5000
ellipse,SSP1-2.6,Prey,35,0.30773556,0.0328507,0.95,5000
ellipse,SSP1-2.6,Prey,36,0.30923424,0.03267161,0.95,5000
ellipse,SSP1-2.6,Prey,37,0.31075239,0.03250583,0.95,5000
ellipse,SSP1-2.6,Prey,38,0.31228816,0.03235355,0.95,5000
