indicator,scenario,year,species,latin,group,species_order,mean,sd,n_runs,se,ci_low,ci_high
biomass,Base,2020,EngraulisJaponicus,Engraulis japonicus,Prey,1,1003997.82573667,36641.6034117185,100,3664.16034117185,996727.336674383,1011268.31479895
biomass,Base,2021,EngraulisJaponicus,Engraulis japonicus,Prey,1,1003997.82573667,36641.6034117185,100,3664.16034117185,996727.336674383,1011268.31479895
biomass,Base,2022,EngraulisJaponicus,Engraulis japonicus,Prey,1,1003997.82573667,36641.6034117185,100,3664.16034117185,996727.336674383,1011268.31479895
biomass,Base,2023,EngraulisJaponicus,Engraulis japonicus,Prey,1,1003997.82573667,36641.6034117185,100,3664.16034117185,996727.336674383,1011268.31479895
biomass,Base,2024,EngraulisJaponicus,Engraulis japonicus,Prey,1,1003997.82573667,36641.6034117185,100,3664.16034117185,996727.336674383,1011268.31479895
biomass,Base,2025,EngraulisJaponicus,Engraulis japonicus,Prey,1,1003997.82573667,36641.6034117185,100,3664.16034117185,996727.336674383,1011268.31479895
biomass,Base,2026,EngraulisJaponicus,Engraulis japonicus,Prey,1,1003997.82573667,36641.6034117185,100,3664.16034117185,996727.336674383,1011268.31479895
biomass,Base,2027,EngraulisJaponicus,Engraulis japonicus,Prey,1,1003997.82573667,36641.6034117185,100,3664.16034117185,996727.336674383,1011268.31479895
biomass,Base,2028,EngraulisJaponicus,Engraulis japonicus,Prey,1,1003997.82573667,36641.6034117185,100,3664.16034117185,996727.336674383,1011268.31479895
biomass,Base,2029,EngraulisJaponicus,Engraulis japonicus,Prey,1,1003997.82573667,36641.6034117185,100,3664.16034117185,996727.336674383,1011268.31479895
biomass,Base,2030,EngraulisJaponicus,Engraulis japonicus,Prey,1,1003997.82573667,36641.6034117185,100,3664.16034117185,996727.336674383,1011268.31479895
biomass,Base,2031,EngraulisJaponicus,Engraulis japonicus,Prey,1,1003997.82573667,36641.6034117185,100,3664.16034117185,996727.336674383,1011268.31479895
biomass,Base,2032,EngraulisJaponicus,Engraulis japonicus,Prey,1,1003997.82573667,36641.6034117185,100,3664.16034117185,996727.336674383,1011268.31479895
biomass,Base,2033,EngraulisJaponicus,Engraulis japonicus,Prey,1,1003997.82573667,36641.6034117185,100,3664.16034117185,996727.336674383,1011268.31479895
biomass,Base,2034,EngraulisJaponicus,Engraulis japonicus,Prey,1,1003997.82573667,36641.6034117185,100,3664.16034117185,996727.336674383,1011268.31479895
biomass,Base,2035,EngraulisJaponicus,Engraulis japonicus,Prey,1,1003997.82573667,36641.6034117185,100,3664.16034117185,996727.336674383,1011268.31479895
biomass,Base,2036,EngraulisJaponicus,Engraulis japonicus,Prey,1,1003997.82573667,36641.6034117185,100,3664.16034117185,996727.336674383,1011268.31479895
biomass,Base,2037,EngraulisJaponicus,Engraulis japonicus,Prey,1,1003997.82573667,36641.6034117185,100,3664.16034117185,996727.336674383,1011268.31479895
biomass,Base,2038,EngraulisJaponicus,Engraulis japonicus,Prey,1,1003997.82573667,36641.6034117185,100,3664.16034117185,996727.336674383,1011268.31479895
biomass,Base,2039,EngraulisJaponicus,Engraulis japonicus,Prey,1,1003997.82573667,36641.6034117185,100,3664.16034117185,996727.336674383,1011268.31479895
biomass,Base,2040,EngraulisJaponicus,Engraulis japonicus,Prey,1,1003997.82573667,36641.6034117185,100,3664.16034117185,996727.336674383,1011268.31479895
biomass,Base,2041,EngraulisJaponicus,Engraulis japonicus,Prey,1,1003997.82573667,36641.6034117185,100,3664.16034117185,996727.336674383,1011268.31479895
biomass,Base,2042,EngraulisJaponicus,Engraulis japonicus,Prey,1,1003997.82573667,36641.6034117185,100,3664.16034117185,996727.336674383,1011268.31479895
biomass,Base,2043,EngraulisJaponicus,Engraulis japonicus,Prey,1,1003997.82573667,36641.6034117185,100,3664.16034117185,996727.336674383,1011268.31479895
biomass,Base,2044,EngraulisJaponicus,Engraulis japonicus,Prey,1,1003997.82573667,36641.6034117185,100,3664.16034117185,996727.336674383,1011268.31479895
biomass,Base,2045,EngraulisJaponicus,Engraulis japonicus,Prey,1,1003997.82573667,36641.6034117185,100,3664.16034117185,996727.336674383,1011268.31479895
biomass,Base,2046,EngraulisJaponicus,Engraulis japonicus,Prey,1,1003997.82573667,36641.6034117185,100,3664.16034117185,996727.336674383,1011268.31479895
biomass,Base,2047,EngraulisJaponicus,Engraulis japonicus,Prey,1,1003997.82573667,36641.6034117185,100,3664.16034117185,996727.336674383,1011268.31479895
biomass,Base,2048,EngraulisJaponicus,Engraulis japonicus,Prey,1,1003997.82573667,36641.6034117185,100,3664.16034117185,996727.336674383,1011268.31479895
biomass,Base,2049,EngraulisJaponicus,Engraulis japonicus,Prey,1,1003997.82573667,36641.6034117185,100,3664.16034117185,996727.336674383,1011268.31479895
biomass,Base,2050,EngraulisJaponicus,Engraulis japonicus,Prey,1,1003997.82573667,36641.6034117185,100,3664.16034117185,996727.336674383,1011268.31479895
biomass,Base,2051,EngraulisJaponicus,Engraulis japonicus,Prey,1,1003997.82573667,36641.6034117185,100,3664.16034117185,996727.336674383,1011268.31479895
biomass,Base,2052,EngraulisJaponicus,Engraulis japonicus,Prey,1,1003997.82573667,36641.6034117185,100,3664.16034117185,996727.336674383,1011268.31479895
biomass,Base,2053,EngraulisJaponicus,Engraulis japonicus,Prey,1,1003997.82573667,36641.6034117185,100,3664.16034117185,996727.336674383,1011268.31479895
biomass,Base,2054,EngraulisJaponicus,Engraulis japonicus,Prey,1,1003997.82573667,36641.6034117185,100,3664.16034117185,996727.336674383,1011268.31479895
biomass,Base,2055,EngraulisJaponicus,Engraulis japonicus,Prey,1,1003997.82573667,36641.6034117185,100,3664.16034117185,996727.336674383,1011268.31479895
biomass,Base,2056,EngraulisJaponicus,Engraulis japonicus,Prey,1,1003997.82573667,36641.6034117185,100,3664.16034117185,996727.336674383,1011268.31479895
biomass,Base,2057,EngraulisJaponicus,Engraulis japonicus,Prey,1,1003997.82573667,36641.6034117185,100,3664.16034117185,996727.336674383,1011268.31479895
