scenario,run,group,indicator,value
Base,1,Prey,biomass,1050694.053
Base,2,Prey,biomass,998781.577
Base,3,Prey,biomass,969413.693
Base,4,Prey,biomass,1051658.41966667
Base,5,Prey,biomass,955890.595
Base,6,Prey,biomass,1013115.408
Base,7,Prey,biomass,996139.289333333
Base,8,Prey,biomass,909989.566333333
Base,9,Prey,biomass,954328.183
Base,10,Prey,biomass,1011411.699
Base,11,Prey,biomass,1050841.376
Base,12,Prey,biomass,1010516.88766667
Base,13,Prey,biomass,980676.749666667
Base,14,Prey,biomass,1040875.22133333
Base,15,Prey,biomass,1045730.39366667
Base,16,Prey,biomass,950637.453
Base,17,Prey,biomass,999587.484333333
Base,18,Prey,biomass,990830.857333333
Base,19,Prey,biomass,1016449.02666667
Base,20,Prey,biomass,1042183.62766667
Base,21,Prey,biomass,1056477.477
Base,22,Prey,biomass,945395.070333333
Base,23,Prey,biomass,1011769.06733333
Base,24,Prey,biomass,1014416.39433333
Base,25,Prey,biomass,1062452.68966667
Base,26,Prey,biomass,967979.169
Base,27,Prey,biomass,1005619.50833333
Base,28,Prey,biomass,1023521.66733333
Base,29,Prey,biomass,972102.333666667
Base,30,Prey,biomass,965463.504
Base,31,Prey,biomass,1011837.841
Base,32,Prey,biomass,988716.907666667
Base,33,Prey,biomass,1034986.97533333
Base,34,Prey,biomass,1029425.07766667
Base,35,Prey,biomass,1059539.66933333
Base,36,Prey,biomass,986673.851666667
Base,37,Prey,biomass,984024.364666667
Base,38,Prey,biomass,1005216.682
Base,39,Prey,biomass,1049746.06633333
Base,40,Prey,biomass,971584.995666666
Base,41,Prey,biomass,1059351.9
Base,42,Prey,biomass,1014235.07133333
Base,43,Prey,biomass,995627.38
Base,44,Prey,biomass,968004.075666667
Base,45,Prey,biomass,1016514.84433333
Base,46,Prey,biomass,1032645.658
Base,47,Prey,biomass,967949.56
Base,48,Prey,biomass,975791.603333333
Base,49,Prey,biomass,987024.409333334
Base,50,Prey,biomass,1034332.084
Base,51,Prey,biomass,1018354.87866667
Base,52,Prey,biomass,970012.736333334
Base,53,Prey,biomass,951545.585
Base,54,Prey,biomass,970235.780333333
Base,55,Prey,biomass,983397.892
Base,56,Prey,biomass,949525.812333333
Base,57,Prey,biomass,1074911.722
Base,58,Prey,biomass,1028524.365
Base,59,Prey,biomass,1007813.207
Base,60,Prey,biomass,1033658.67366667
Base,61,Prey,biomass,1029161.43566667
Base,62,Prey,biomass,1046566.84033333
Base,63,Prey,biomass,933301.722666667
Base,64,Prey,biomass,1027723.06133333
Base,65,Prey,biomass,977489.604666667
Base,66,Prey,biomass,1034400.097
Base,67,Prey,biomass,978582.678333333
Base,68,Prey,biomass,1043260.073
Base,69,Prey,biomass,1015501.28166667
Base,70,Prey,biomass,1022041.44166667
Base,71,Prey,biomass,1075591.33
Base,72,Prey,biomass,959731.2
Base,73,Prey,biomass,969938.927333333
Base,74,Prey,biomass,1003103.48666667
Base,75,Prey,biomass,1014102.48666667
Base,76,Prey,biomass,961429.443
Base,77,Prey,biomass,929913.520333334
Base,78,Prey,biomass,1039563.28133333
Base,79,Prey,biomass,1023215.99433333
