scenario,run,indicator,value
Base,1,biomass,544015.380065476
Base,2,biomass,549136.622141667
Base,3,biomass,545315.183557381
Base,4,biomass,543623.599687381
Base,5,biomass,542843.286483333
Base,6,biomass,546094.110128333
Base,7,biomass,545544.880489762
Base,8,biomass,533740.979735715
Base,9,biomass,529390.894970952
Base,10,biomass,543772.49341
Base,11,biomass,547757.194731191
Base,12,biomass,539385.516256667
Base,13,biomass,543879.426911429
Base,14,biomass,540370.602823333
Base,15,biomass,553111.38269381
Base,16,biomass,544809.619360952
Base,17,biomass,547108.029878571
Base,18,biomass,538618.318144524
Base,19,biomass,547643.439873095
Base,20,biomass,531274.126985476
Base,21,biomass,547429.124759286
Base,22,biomass,544685.726430714
Base,23,biomass,540034.135360238
Base,24,biomass,532833.64206381
Base,25,biomass,550315.227762857
Base,26,biomass,543058.267257143
Base,27,biomass,541409.875397857
Base,28,biomass,541212.251334524
Base,29,biomass,542808.624482857
Base,30,biomass,542198.370163572
Base,31,biomass,543486.880920857
Base,32,biomass,552573.229796429
Base,33,biomass,544159.53969119
Base,34,biomass,551391.681811905
Base,35,biomass,563985.308315
Base,36,biomass,544458.211087143
Base,37,biomass,543740.718424286
Base,38,biomass,543932.649986667
Base,39,biomass,557173.119809286
Base,40,biomass,535519.792179286
Base,41,biomass,546740.476289524
Base,42,biomass,532590.893297619
Base,43,biomass,535247.496434524
Base,44,biomass,542609.219720476
Base,45,biomass,541376.507880476
Base,46,biomass,550345.577159524
Base,47,biomass,534765.816349762
Base,48,biomass,543724.709453095
Base,49,biomass,543705.669337381
Base,50,biomass,553409.155096429
Base,51,biomass,560373.885412691
Base,52,biomass,548874.521304762
Base,53,biomass,537066.197843333
Base,54,biomass,543251.516867381
Base,55,biomass,547552.198599286
Base,56,biomass,542847.646837143
Base,57,biomass,551431.455072143
Base,58,biomass,557287.245262381
Base,59,biomass,545479.162913333
Base,60,biomass,541891.680010476
Base,61,biomass,549643.032650334
Base,62,biomass,548642.243285952
Base,63,biomass,532204.932474762
Base,64,biomass,560258.478525
Base,65,biomass,550649.772400238
Base,66,biomass,539307.219705714
Base,67,biomass,555066.030719524
Base,68,biomass,545596.626496429
Base,69,biomass,546178.451985476
Base,70,biomass,548735.612164048
Base,71,biomass,557292.336004048
Base,72,biomass,538401.236118572
Base,73,biomass,534693.827252381
Base,74,biomass,548493.402422286
Base,75,biomass,552821.877100238
Base,76,biomass,541372.780595476
Base,77,biomass,544728.340304048
Base,78,biomass,546641.332194762
Base,79,biomass,547800.82933881
Base,80,biomass,544228.006698095
Base,81,biomass,545747.21287119
Base,82,biomass,544717.386047857
Base,83,biomass,540526.688564762
Base,84,biomass,539610.871812619
Base,85,biomass,547745.741372381
Base,86,biomass,561123.133562143
Base,87,biomass,545791.097791905
Base,88,biomass,538226.30862881
Base,89,biomass,550481.333589286
Base,90,biomass,550797.243234286
Base,91,biomass,543243.174814048
Base,92,biomass,537582.291660714
Base,93,biomass,556307.892300476
Base,94,biomass,541957.681337381
Base,95,biomass,539214.362396905
Base,96,biomass,537110.852131429
Base,97,biomass,546593.996594048
Base,98,biomass,539424.648639524
Base,99,biomass,555317.243413643
Base,100,biomass,546117.602429762
SSP1-2.6,1,biomass,532544.523409347
SSP1-2.6,2,biomass,525957.682847619
SSP1-2.6,3,biomass,523663.22553739
SSP1-2.6,4,biomass,529749.739396208
SSP1-2.6,5,biomass,527613.534241182
SSP1-2.6,6,biomass,530032.812604056
SSP1-2.6,7,biomass,523302.293455203
SSP1-2.6,8,biomass,526398.151893915
SSP1-2.6,9,biomass,535539.615680688
SSP1-2.6,10,biomass,530644.316562346
SSP1-2.6,11,biomass,528485.471807319
SSP1-2.6,12,biomass,531118.03116605
SSP1-2.6,13,biomass,525557.483841005
SSP1-2.6,14,biomass,529680.244218166
SSP1-2.6,15,biomass,526887.194471958
SSP1-2.6,16,biomass,529859.417996737
SSP1-2.6,17,biomass,538669.948622222
SSP1-2.6,18,biomass,527291.699117901
SSP1-2.6,19,biomass,529530.298755732
SSP1-2.6,20,biomass,525186.53959903
SSP1-2.6,21,biomass,537056.021508545
SSP1-2.6,22,biomass,527842.319871605
SSP1-2.6,23,biomass,526771.647931305
SSP1-2.6,24,biomass,524849.209758818
SSP1-2.6,25,biomass,528049.273068871
SSP1-2.6,26,biomass,532873.693090212
SSP1-2.6,27,biomass,530259.033521455
SSP1-2.6,28,biomass,530260.141488889
SSP1-2.6,29,biomass,534395.016840829
SSP1-2.6,30,biomass,532339.636491182
SSP1-2.6,31,biomass,526384.688450229
SSP1-2.6,32,biomass,533425.593341358
SSP1-2.6,33,biomass,533109.513992064
SSP1-2.6,34,biomass,523194.545350441
SSP1-2.6,35,biomass,530192.195003087
SSP1-2.6,36,biomass,526555.587206085
SSP1-2.6,37,biomass,524779.263488448
SSP1-2.6,38,biomass,528558.938521905
SSP1-2.6,39,biomass,530460.382332981
SSP1-2.6,40,biomass,529666.848157143
SSP1-2.6,41,biomass,538581.152361993
SSP1-2.6,42,biomass,528790.283044974
SSP1-2.6,43,biomass,522040.196939154
SSP1-2.6,44,biomass,528582.456837831
SSP1-2.6,45,biomass,536776.793732504
SSP1-2.6,46,biomass,526817.658768783
SSP1-2.6,47,biomass,526984.274445591
SSP1-2.6,48,biomass,531659.818971605
SSP1-2.6,49,biomass,537142.199539771
SSP1-2.6,50,biomass,532719.957345855
SSP1-2.6,51,biomass,526499.205466226
SSP1-2.6,52,biomass,531961.772505291
SSP1-2.6,53,biomass,532511.425716578
SSP1-2.6,54,biomass,526640.022741534
SSP1-2.6,55,biomass,529294.921893616
SSP1-2.6,56,biomass,528537.917735097
SSP1-2.6,57,biomass,520327.667838272
SSP1-2.6,58,biomass,525241.512546473
SSP1-2.6,59,biomass,535316.372149497
SSP1-2.6,60,biomass,530714.659634039
SSP1-2.6,61,biomass,530792.482412346
SSP1-2.6,62,biomass,526832.671506085
SSP1-2.6,63,biomass,529886.686835714
SSP1-2.6,64,biomass,529687.764709171
SSP1-2.6,65,biomass,526299.267018519
SSP1-2.6,66,biomass,530531.801148854
SSP1-2.6,67,biomass,528287.231376279
SSP1-2.6,68,biomass,535706.852474339
SSP1-2.6,69,biomass,531239.206032981
SSP1-2.6,70,biomass,531336.307692152
SSP1-2.6,71,biomass,533553.366570106
SSP1-2.6,72,biomass,537257.473559877
SSP1-2.6,73,biomass,533045.718362258
SSP1-2.6,74,biomass,536065.535350353
SSP1-2.6,75,biomass,522282.192076543
SSP1-2.6,76,biomass,530335.189424833
SSP1-2.6,77,biomass,535693.275763404
SSP1-2.6,78,biomass,532294.549926367
SSP1-2.6,79,biomass,529847.545093474
SSP1-2.6,80,biomass,534456.274053704
SSP1-2.6,81,biomass,524977.600923369
SSP1-2.6,82,biomass,525018.264783951
SSP1-2.6,83,biomass,527185.725851587
SSP1-2.6,84,biomass,530052.394685979
SSP1-2.6,85,biomass,531041.722635803
SSP1-2.6,86,biomass,528558.16739903
SSP1-2.6,87,biomass,530603.755102116
SSP1-2.6,88,biomass,530384.079379365
SSP1-2.6,89,biomass,529436.083189771
SSP1-2.6,90,biomass,523893.192722928
SSP1-2.6,91,biomass,521961.540391799
SSP1-2.6,92,biomass,531768.887785185
SSP1-2.6,93,biomass,529885.416011728
SSP1-2.6,94,biomass,527925.532126455
SSP1-2.6,95,biomass,527459.778246032
SSP1-2.6,96,biomass,539471.655671279
SSP1-2.6,97,biomass,530989.206084303
SSP1-2.6,98,biomass,527722.444697619
SSP1-2.6,99,biomass,531493.139803087
SSP1-2.6,100,biomass,530865.015100353
SSP5-8.5,1,biomass,531001.065205203
SSP5-8.5,2,biomass,532748.990706967
SSP5-8.5,3,biomass,525897.795075221
SSP5-8.5,4,biomass,541792.07906425
SSP5-8.5,5,biomass,537246.896176014
SSP5-8.5,6,biomass,535672.720794489
SSP5-8.5,7,biomass,533622.823726631
SSP5-8.5,8,biomass,533940.620994444
SSP5-8.5,9,biomass,536055.176724868
SSP5-8.5,10,biomass,537894.357492945
SSP5-8.5,11,biomass,538767.735794709
SSP5-8.5,12,biomass,534133.361665344
SSP5-8.5,13,biomass,542516.574880856
SSP5-8.5,14,biomass,530557.27027284
SSP5-8.5,15,biomass,533539.866350529
SSP5-8.5,16,biomass,536742.024600079
SSP5-8.5,17,biomass,535653.657514198
SSP5-8.5,18,biomass,528010.780991623
SSP5-8.5,19,biomass,535763.058821076
SSP5-8.5,20,biomass,532609.568671103
SSP5-8.5,21,biomass,532358.913265168
SSP5-8.5,22,biomass,536565.933870194
SSP5-8.5,23,biomass,539907.37555067
SSP5-8.5,24,biomass,523989.997345591
SSP5-8.5,25,biomass,536512.125004621
SSP5-8.5,26,biomass,532173.96576358
SSP5-8.5,27,biomass,533141.021714991
SSP5-8.5,28,biomass,529704.336964727
SSP5-8.5,29,biomass,535398.343213228
SSP5-8.5,30,biomass,540667.906987037
SSP5-8.5,31,biomass,530981.680741446
SSP5-8.5,32,biomass,538771.378057672
SSP5-8.5,33,biomass,531985.692588889
SSP5-8.5,34,biomass,527154.136014462
SSP5-8.5,35,biomass,531002.999528836
SSP5-8.5,36,biomass,531951.238965256
SSP5-8.5,37,biomass,535951.215901588
SSP5-8.5,38,biomass,533820.542027601
SSP5-8.5,39,biomass,531934.092174779
SSP5-8.5,40,biomass,528774.605485185
SSP5-8.5,41,biomass,529675.568493915
SSP5-8.5,42,biomass,533536.221402293
SSP5-8.5,43,biomass,541436.790892416
SSP5-8.5,44,biomass,535607.672348413
SSP5-8.5,45,biomass,532504.121554145
SSP5-8.5,46,biomass,531777.826244797
SSP5-8.5,47,biomass,535288.310574339
SSP5-8.5,48,biomass,534338.725810582
SSP5-8.5,49,biomass,536621.945217196
SSP5-8.5,50,biomass,533221.113918298
SSP5-8.5,51,biomass,539174.181548677
SSP5-8.5,52,biomass,530797.817990212
SSP5-8.5,53,biomass,539181.261264639
SSP5-8.5,54,biomass,529708.157402372
SSP5-8.5,55,biomass,533835.235174515
SSP5-8.5,56,biomass,528171.974189154
SSP5-8.5,57,biomass,539287.267433334
SSP5-8.5,58,biomass,532097.653373016
SSP5-8.5,59,biomass,535116.08184418
SSP5-8.5,60,biomass,528530.154367813
SSP5-8.5,61,biomass,534866.063396825
SSP5-8.5,62,biomass,531815.009523545
SSP5-8.5,63,biomass,536159.53946455
SSP5-8.5,64,biomass,530881.674289506
SSP5-8.5,65,biomass,534041.469488713
SSP5-8.5,66,biomass,531479.563441182
SSP5-8.5,67,biomass,526672.929828395
SSP5-8.5,68,biomass,533275.792429101
SSP5-8.5,69,biomass,535632.312371429
SSP5-8.5,70,biomass,532902.645334744
SSP5-8.5,71,biomass,535320.35381993
SSP5-8.5,72,biomass,542781.903039947
SSP5-8.5,73,biomass,530130.401656667
SSP5-8.5,74,biomass,533732.028041005
SSP5-8.5,75,biomass,531512.194780159
SSP5-8.5,76,biomass,539573.272829462
SSP5-8.5,77,biomass,540082.18367187
SSP5-8.5,78,biomass,538893.493229365
SSP5-8.5,79,biomass,537775.014080644
SSP5-8.5,80,biomass,530231.859597707
SSP5-8.5,81,biomass,533626.397477249
SSP5-8.5,82,biomass,539793.253198439
SSP5-8.5,83,biomass,534479.192014198
SSP5-8.5,84,biomass,529764.681144533
SSP5-8.5,85,biomass,529077.509713845
SSP5-8.5,86,biomass,533589.837954762
SSP5-8.5,87,biomass,530506.254397531
SSP5-8.5,88,biomass,541200.621201058
SSP5-8.5,89,biomass,531166.395777866
SSP5-8.5,90,biomass,537820.002751411
SSP5-8.5,91,biomass,540159.462457496
SSP5-8.5,92,biomass,540220.743201058
SSP5-8.5,93,biomass,530950.197479277
SSP5-8.5,94,biomass,535890.596388536
SSP5-8.5,95,biomass,541064.761269048
SSP5-8.5,96,biomass,526754.379653527
SSP5-8.5,97,biomass,531357.233040124
SSP5-8.5,98,biomass,534194.428946208
SSP5-8.5,99,biomass,533717.694931746
SSP5-8.5,100,biomass,535621.732413051
Base,1,yield,103465.87919881
Base,2,yield,105440.096914286
Base,3,yield,104078.631959452
Base,4,yield,103595.160308238
Base,5,yield,103163.141257548
Base,6,yield,103588.958808905
Base,7,yield,103659.880028976
Base,8,yield,101631.559215857
Base,9,yield,101099.640763952
Base,10,yield,103860.797915714
Base,11,yield,104779.835619119
Base,12,yield,103271.913015786
Base,13,yield,102772.571248881
Base,14,yield,102624.180779619
Base,15,yield,105162.398955405
Base,16,yield,103373.426608333
Base,17,yield,104424.175430595
Base,18,yield,102570.596107619
Base,19,yield,103784.60115
Base,20,yield,102036.95759119
Base,21,yield,104792.398569619
Base,22,yield,103213.358919952
Base,23,yield,103465.168962143
Base,24,yield,101393.310445143
Base,25,yield,104705.900256143
Base,26,yield,103416.229761429
Base,27,yield,102733.963064286
Base,28,yield,103120.131640714
Base,29,yield,103394.415705143
Base,30,yield,103538.184405952
Base,31,yield,103002.472302429
Base,32,yield,104948.239272571
Base,33,yield,103872.813048095
Base,34,yield,105351.416945619
Base,35,yield,106410.655444286
Base,36,yield,103919.478099524
Base,37,yield,103504.48242619
Base,38,yield,103940.890785476
Base,39,yield,104792.261780143
Base,40,yield,101901.194727286
Base,41,yield,104644.727066667
Base,42,yield,101874.23407881
Base,43,yield,102474.904399048
Base,44,yield,103258.61602
Base,45,yield,103446.950939048
Base,46,yield,105149.205162643
Base,47,yield,101403.14032519
Base,48,yield,103518.817726048
Base,49,yield,103125.048542857
Base,50,yield,105641.44180619
Base,51,yield,105793.228087405
Base,52,yield,104965.347399048
Base,53,yield,103080.145018429
Base,54,yield,103668.514844524
Base,55,yield,104471.914016976
Base,56,yield,103119.725466976
Base,57,yield,104680.650604048
Base,58,yield,106317.20713631
Base,59,yield,103583.18480381
Base,60,yield,103573.216928333
Base,61,yield,104746.596816595
Base,62,yield,104627.114552381
Base,63,yield,102247.928303333
Base,64,yield,105658.386893095
Base,65,yield,103797.559961905
Base,66,yield,103056.11127469
Base,67,yield,105129.080569833
Base,68,yield,104326.161152048
Base,69,yield,104033.691054762
Base,70,yield,104802.629813286
Base,71,yield,105736.152377619
Base,72,yield,103164.290555405
Base,73,yield,102660.824962619
Base,74,yield,104399.696829048
Base,75,yield,105281.09371881
Base,76,yield,102928.335402619
Base,77,yield,103470.290187429
Base,78,yield,103762.95774119
Base,79,yield,104096.681867643
Base,80,yield,103455.818184286
Base,81,yield,103850.419227857
Base,82,yield,103962.579587143
Base,83,yield,103786.03766031
Base,84,yield,102926.341883452
Base,85,yield,105046.482313333
Base,86,yield,106695.642755833
Base,87,yield,104105.433917952
Base,88,yield,103251.970866976
Base,89,yield,104728.912710524
Base,90,yield,104926.8697175
Base,91,yield,104296.698772143
Base,92,yield,102704.62208619
Base,93,yield,105955.800626333
Base,94,yield,103915.378547214
Base,95,yield,103763.708644667
Base,96,yield,102927.787452452
Base,97,yield,105163.182362952
Base,98,yield,103744.977557143
Base,99,yield,105269.77434119
Base,100,yield,104469.547545381
SSP1-2.6,1,yield,103778.759598854
SSP1-2.6,2,yield,102136.966502584
SSP1-2.6,3,yield,102041.983728527
SSP1-2.6,4,yield,103294.20932269
SSP1-2.6,5,yield,102522.906127116
SSP1-2.6,6,yield,103213.868559224
SSP1-2.6,7,yield,102046.607466393
SSP1-2.6,8,yield,102751.268421138
SSP1-2.6,9,yield,104167.051883377
SSP1-2.6,10,yield,103078.553203201
SSP1-2.6,11,yield,102902.843799982
SSP1-2.6,12,yield,103508.914252998
SSP1-2.6,13,yield,102023.189121931
SSP1-2.6,14,yield,102591.381878369
SSP1-2.6,15,yield,102732.974916138
SSP1-2.6,16,yield,103151.376307205
SSP1-2.6,17,yield,104290.257326614
SSP1-2.6,18,yield,103129.607631155
SSP1-2.6,19,yield,103072.392509365
SSP1-2.6,20,yield,102198.38867052
SSP1-2.6,21,yield,104057.906200388
SSP1-2.6,22,yield,102848.530034365
SSP1-2.6,23,yield,102823.904727293
SSP1-2.6,24,yield,102054.393119815
SSP1-2.6,25,yield,102880.132034559
SSP1-2.6,26,yield,103245.745692187
SSP1-2.6,27,yield,103039.069625414
SSP1-2.6,28,yield,102886.391976702
SSP1-2.6,29,yield,103313.832913968
SSP1-2.6,30,yield,103635.654398466
SSP1-2.6,31,yield,102672.287263422
SSP1-2.6,32,yield,103691.238095229
SSP1-2.6,33,yield,103794.122803924
SSP1-2.6,34,yield,101463.773376852
SSP1-2.6,35,yield,103258.877378325
SSP1-2.6,36,yield,102538.269042937
SSP1-2.6,37,yield,102287.162780026
SSP1-2.6,38,yield,103080.417599392
SSP1-2.6,39,yield,103587.072999947
SSP1-2.6,40,yield,102577.420123519
SSP1-2.6,41,yield,104279.678797152
SSP1-2.6,42,yield,102876.603430247
SSP1-2.6,43,yield,102067.69913739
SSP1-2.6,44,yield,103170.562861455
SSP1-2.6,45,yield,104625.356241693
SSP1-2.6,46,yield,102661.578776111
SSP1-2.6,47,yield,102400.800005679
SSP1-2.6,48,yield,103339.571515353
SSP1-2.6,49,yield,104148.82952776
SSP1-2.6,50,yield,103640.410200891
SSP1-2.6,51,yield,102366.435300185
SSP1-2.6,52,yield,103345.366874277
SSP1-2.6,53,yield,103890.208652063
SSP1-2.6,54,yield,102194.997795476
SSP1-2.6,55,yield,103032.261775847
SSP1-2.6,56,yield,102827.705921825
SSP1-2.6,57,yield,101414.46804209
SSP1-2.6,58,yield,102631.591117028
SSP1-2.6,59,yield,104037.324551808
SSP1-2.6,60,yield,103078.087780203
SSP1-2.6,61,yield,103041.281253413
SSP1-2.6,62,yield,102247.122752231
SSP1-2.6,63,yield,103102.589403845
SSP1-2.6,64,yield,102892.564410485
SSP1-2.6,65,yield,102428.054977601
SSP1-2.6,66,yield,103304.547688492
SSP1-2.6,67,yield,102961.97002806
SSP1-2.6,68,yield,104209.083984004
SSP1-2.6,69,yield,103309.899789233
SSP1-2.6,70,yield,103598.969007716
SSP1-2.6,71,yield,104041.836636252
SSP1-2.6,72,yield,104333.125096332
SSP1-2.6,73,yield,103502.002969259
SSP1-2.6,74,yield,103884.947332496
SSP1-2.6,75,yield,101812.761396305
SSP1-2.6,76,yield,102899.875027266
SSP1-2.6,77,yield,103684.336893192
SSP1-2.6,78,yield,103538.1322403
SSP1-2.6,79,yield,103308.25936858
SSP1-2.6,80,yield,103690.487268642
SSP1-2.6,81,yield,101905.822740123
