scenario,run,species,latin,group,species_order,biomass,yield
Base,1,EngraulisJaponicus,Engraulis japonicus,Prey,1,1050694.053,165368.8017
Base,2,EngraulisJaponicus,Engraulis japonicus,Prey,1,998781.577,156524.6556
Base,3,EngraulisJaponicus,Engraulis japonicus,Prey,1,969413.693,150749.414666667
Base,4,EngraulisJaponicus,Engraulis japonicus,Prey,1,1051658.41966667,166508.174333333
Base,5,EngraulisJaponicus,Engraulis japonicus,Prey,1,955890.595,149797.513333333
Base,6,EngraulisJaponicus,Engraulis japonicus,Prey,1,1013115.408,159023.597666667
Base,7,EngraulisJaponicus,Engraulis japonicus,Prey,1,996139.289333333,156238.2222
Base,8,EngraulisJaponicus,Engraulis japonicus,Prey,1,909989.566333333,141853.8152
Base,9,EngraulisJaponicus,Engraulis japonicus,Prey,1,954328.183,149451.877933333
Base,10,EngraulisJaponicus,Engraulis japonicus,Prey,1,1011411.699,158973.109333333
Base,11,EngraulisJaponicus,Engraulis japonicus,Prey,1,1050841.376,165299.011333333
Base,12,EngraulisJaponicus,Engraulis japonicus,Prey,1,1010516.88766667,159589.458
Base,13,EngraulisJaponicus,Engraulis japonicus,Prey,1,980676.749666667,154171.042666667
Base,14,EngraulisJaponicus,Engraulis japonicus,Prey,1,1040875.22133333,163710.176166667
Base,15,EngraulisJaponicus,Engraulis japonicus,Prey,1,1045730.39366667,165053.719333333
Base,16,EngraulisJaponicus,Engraulis japonicus,Prey,1,950637.453,148816.299366667
Base,17,EngraulisJaponicus,Engraulis japonicus,Prey,1,999587.484333333,157591.849833333
Base,18,EngraulisJaponicus,Engraulis japonicus,Prey,1,990830.857333333,155021.555666667
Base,19,EngraulisJaponicus,Engraulis japonicus,Prey,1,1016449.02666667,159819.567
Base,20,EngraulisJaponicus,Engraulis japonicus,Prey,1,1042183.62766667,164510.936666667
Base,21,EngraulisJaponicus,Engraulis japonicus,Prey,1,1056477.477,165897.824666667
Base,22,EngraulisJaponicus,Engraulis japonicus,Prey,1,945395.070333333,147187.2568
Base,23,EngraulisJaponicus,Engraulis japonicus,Prey,1,1011769.06733333,158376.016366667
Base,24,EngraulisJaponicus,Engraulis japonicus,Prey,1,1014416.39433333,159507.57
Base,25,EngraulisJaponicus,Engraulis japonicus,Prey,1,1062452.68966667,168864.234666667
Base,26,EngraulisJaponicus,Engraulis japonicus,Prey,1,967979.169,151662.187233333
Base,27,EngraulisJaponicus,Engraulis japonicus,Prey,1,1005619.50833333,157484.55
Base,28,EngraulisJaponicus,Engraulis japonicus,Prey,1,1023521.66733333,160806.751333333
Base,29,EngraulisJaponicus,Engraulis japonicus,Prey,1,972102.333666667,152571.227166667
Base,30,EngraulisJaponicus,Engraulis japonicus,Prey,1,965463.504,153224.540333333
Base,31,EngraulisJaponicus,Engraulis japonicus,Prey,1,1011837.841,157825.934566667
Base,32,EngraulisJaponicus,Engraulis japonicus,Prey,1,988716.907666667,155034.355
Base,33,EngraulisJaponicus,Engraulis japonicus,Prey,1,1034986.97533333,163220.853666667
Base,34,EngraulisJaponicus,Engraulis japonicus,Prey,1,1029425.07766667,162706.576333333
Base,35,EngraulisJaponicus,Engraulis japonicus,Prey,1,1059539.66933333,165710.003666667
Base,36,EngraulisJaponicus,Engraulis japonicus,Prey,1,986673.851666667,154488.886533333
Base,37,EngraulisJaponicus,Engraulis japonicus,Prey,1,984024.364666667,154751.501166667
Base,38,EngraulisJaponicus,Engraulis japonicus,Prey,1,1005216.682,158789.257666667
Base,39,EngraulisJaponicus,Engraulis japonicus,Prey,1,1049746.06633333,163115.757
Base,40,EngraulisJaponicus,Engraulis japonicus,Prey,1,971584.995666666,152687.199666667
Base,41,EngraulisJaponicus,Engraulis japonicus,Prey,1,1059351.9,167644.348
Base,42,EngraulisJaponicus,Engraulis japonicus,Prey,1,1014235.07133333,159565.884333333
Base,43,EngraulisJaponicus,Engraulis japonicus,Prey,1,995627.38,156786.888133333
Base,44,EngraulisJaponicus,Engraulis japonicus,Prey,1,968004.075666667,152813.789333333
Base,45,EngraulisJaponicus,Engraulis japonicus,Prey,1,1016514.84433333,160514.685666667
Base,46,EngraulisJaponicus,Engraulis japonicus,Prey,1,1032645.658,161756.416666667
Base,47,EngraulisJaponicus,Engraulis japonicus,Prey,1,967949.56,150054.842
Base,48,EngraulisJaponicus,Engraulis japonicus,Prey,1,975791.603333333,153574.832
Base,49,EngraulisJaponicus,Engraulis japonicus,Prey,1,987024.409333334,156457.238
Base,50,EngraulisJaponicus,Engraulis japonicus,Prey,1,1034332.084,162207.977
Base,51,EngraulisJaponicus,Engraulis japonicus,Prey,1,1018354.87866667,158814.517166667
Base,52,EngraulisJaponicus,Engraulis japonicus,Prey,1,970012.736333334,152678.983333333
Base,53,EngraulisJaponicus,Engraulis japonicus,Prey,1,951545.585,149577.107133333
Base,54,EngraulisJaponicus,Engraulis japonicus,Prey,1,970235.780333333,151843.505466667
Base,55,EngraulisJaponicus,Engraulis japonicus,Prey,1,983397.892,154459.175666667
Base,56,EngraulisJaponicus,Engraulis japonicus,Prey,1,949525.812333333,148535.920866667
Base,57,EngraulisJaponicus,Engraulis japonicus,Prey,1,1074911.722,169684.655333333
Base,58,EngraulisJaponicus,Engraulis japonicus,Prey,1,1028524.365,162717.507866667
Base,59,EngraulisJaponicus,Engraulis japonicus,Prey,1,1007813.207,158735.4985
Base,60,EngraulisJaponicus,Engraulis japonicus,Prey,1,1033658.67366667,162993.372166667
Base,61,EngraulisJaponicus,Engraulis japonicus,Prey,1,1029161.43566667,161307.276666667
Base,62,EngraulisJaponicus,Engraulis japonicus,Prey,1,1046566.84033333,164917.654166667
Base,63,EngraulisJaponicus,Engraulis japonicus,Prey,1,933301.722666667,146690.209866667
Base,64,EngraulisJaponicus,Engraulis japonicus,Prey,1,1027723.06133333,161010.724866667
Base,65,EngraulisJaponicus,Engraulis japonicus,Prey,1,977489.604666667,152805.792833333
Base,66,EngraulisJaponicus,Engraulis japonicus,Prey,1,1034400.097,161309.183333333
Base,67,EngraulisJaponicus,Engraulis japonicus,Prey,1,978582.678333333,152433.7105
Base,68,EngraulisJaponicus,Engraulis japonicus,Prey,1,1043260.073,165685.517
Base,69,EngraulisJaponicus,Engraulis japonicus,Prey,1,1015501.28166667,160600.956
Base,70,EngraulisJaponicus,Engraulis japonicus,Prey,1,1022041.44166667,161568.1705
Base,71,EngraulisJaponicus,Engraulis japonicus,Prey,1,1075591.33,169898.142
Base,72,EngraulisJaponicus,Engraulis japonicus,Prey,1,959731.2,150203.911533333
Base,73,EngraulisJaponicus,Engraulis japonicus,Prey,1,969938.927333333,152890.350166667
Base,74,EngraulisJaponicus,Engraulis japonicus,Prey,1,1003103.48666667,157477.555966667
Base,75,EngraulisJaponicus,Engraulis japonicus,Prey,1,1014102.48666667,159775.494666667
Base,76,EngraulisJaponicus,Engraulis japonicus,Prey,1,961429.443,149750.059966667
Base,77,EngraulisJaponicus,Engraulis japonicus,Prey,1,929913.520333334,145790.524333333
Base,78,EngraulisJaponicus,Engraulis japonicus,Prey,1,1039563.28133333,163307.182166667
Base,79,EngraulisJaponicus,Engraulis japonicus,Prey,1,1023215.99433333,160671.2995
Base,80,EngraulisJaponicus,Engraulis japonicus,Prey,1,1010478.13466667,158208.9643
Base,81,EngraulisJaponicus,Engraulis japonicus,Prey,1,965328.428333333,151713.289066667
Base,82,EngraulisJaponicus,Engraulis japonicus,Prey,1,981204.995333333,153807.008333333
Base,83,EngraulisJaponicus,Engraulis japonicus,Prey,1,956731.849,149942.044333333
Base,84,EngraulisJaponicus,Engraulis japonicus,Prey,1,1007200.96533333,158643.3297
Base,85,EngraulisJaponicus,Engraulis japonicus,Prey,1,985041.967333333,155017.017
Base,86,EngraulisJaponicus,Engraulis japonicus,Prey,1,1048549.16633333,166818.624333333
Base,87,EngraulisJaponicus,Engraulis japonicus,Prey,1,1003093.92333333,157932.841333333
Base,88,EngraulisJaponicus,Engraulis japonicus,Prey,1,982753.658,155105.914
Base,89,EngraulisJaponicus,Engraulis japonicus,Prey,1,1031425.72266667,162363.265966667
Base,90,EngraulisJaponicus,Engraulis japonicus,Prey,1,1045405.993,162988.0775
Base,91,EngraulisJaponicus,Engraulis japonicus,Prey,1,1040092.53366667,163708.948
Base,92,EngraulisJaponicus,Engraulis japonicus,Prey,1,965112.615333334,151609.346
Base,93,EngraulisJaponicus,Engraulis japonicus,Prey,1,1007669.94266667,158348.622433333
Base,94,EngraulisJaponicus,Engraulis japonicus,Prey,1,1019532.00666667,160137.292866667
Base,95,EngraulisJaponicus,Engraulis japonicus,Prey,1,1011892.959,159428.045533333
Base,96,EngraulisJaponicus,Engraulis japonicus,Prey,1,908633.791,142405.8636
Base,97,EngraulisJaponicus,Engraulis japonicus,Prey,1,1018248.76933333,160351.487333333
Base,98,EngraulisJaponicus,Engraulis japonicus,Prey,1,1064202.97466667,168065.605
Base,99,EngraulisJaponicus,Engraulis japonicus,Prey,1,1034527.025,162621.983
Base,100,EngraulisJaponicus,Engraulis japonicus,Prey,1,1001879.13566667,157508.417
Base,1,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,93431.1619666667,35802.4001333333
Base,2,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,93764.2349,35906.3281666667
Base,3,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,89121.6039333334,34178.3799333333
Base,4,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,95165.9445,36548.2158
Base,5,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,91452.1058,34885.3819666667
Base,6,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,91748.5234666666,34931.6092
Base,7,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,92747.563,35337.8338
Base,8,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,94010.8394333333,35984.7537333333
Base,9,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,94250.2592666667,36092.8680666667
Base,10,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,92541.5530333333,35197.0559333333
Base,11,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,90936.1849333334,34821.6902333333
Base,12,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,92013.7518,35008.6620666667
Base,13,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,91653.8572,35016.2896333333
Base,14,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,89925.3317,34344.8498666667
Base,15,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,93380.756,35769.4021
Base,16,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,90156.6785,34660.044
Base,17,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,91915.9712,35205.1765
Base,18,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,90551.1563333333,34711.6753
Base,19,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,89960.8223666667,34503.9023
Base,20,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,94980.8787,36425.2083333333
Base,21,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,93582.4391333333,35734.8679333333
Base,22,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,90760.7039666667,34771.6526333333
Base,23,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,91917.548,35014.2537
Base,24,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,89833.6652,34432.4145333333
Base,25,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,91417.3687333334,35036.2991666667
Base,26,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,90725.2468666667,34558.1253666667
Base,27,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,89472.2509666667,34581.9024666667
Base,28,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,91044.9875666667,34595.5308
Base,29,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,90773.9751,34572.5747333333
Base,30,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,90035.7964333333,34473.3605666667
Base,31,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,89450.8741666667,34274.5633666667
Base,32,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,89490.2989666667,34244.9479666667
Base,33,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,94079.7152333334,36014.1907333333
Base,34,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,89442.6969666667,34246.7284666667
Base,35,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,90037.6220666667,34534.6230333333
Base,36,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,91652.4132333333,35237.9972666667
Base,37,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,93007.3834,35434.3929666667
Base,38,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,94030.1106333333,35986.5553333333
Base,39,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,89897.1397666667,34446.597
Base,40,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,90214.5882,34655.7358
Base,41,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,93188.8527,35503.4606
Base,42,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,93702.6873,35821.7335
Base,43,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,92306.6387,35195.6625
Base,44,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,90322.8158333333,34349.5733
Base,45,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,90657.8264666667,34642.9663
Base,46,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,95033.8040333333,36595.9756666667
Base,47,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,94560.124,35933.8042
Base,48,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,92346.5888,35039.4131333333
Base,49,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,94162.1833333333,35892.0353333333
Base,50,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,89664.1141666667,34486.8770666667
Base,51,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,88944.8458333333,33978.9410333333
Base,52,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,92066.2909666667,35522.4799333333
Base,53,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,90437.9272333333,34516.393
Base,54,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,91438.2354,35102.1893333333
Base,55,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,92277.8282,35394.0432666667
Base,56,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,89866.2254333333,34597.5386333333
Base,57,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,91231.9145666667,34847.8122
Base,58,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,92718.6351333333,35758.3954666667
Base,59,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,91385.2283333333,34979.2186
Base,60,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,91329.5619333334,35017.1051
Base,61,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,90917.4629666667,34638.4848
Base,62,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,90755.4939666667,34832.481
Base,63,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,93415.8566666667,35837.6966
Base,64,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,93040.8629666667,35558.7856666667
Base,65,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,90881.7298,34921.9146333333
Base,66,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,92316.5233666666,35371.7989333333
Base,67,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,89880.8081,34279.1122333333
Base,68,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,92646.0066333333,35530.3217
Base,69,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,94128.0671666667,36265.2399
Base,70,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,89162.5733,34136.9855333333
Base,71,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,92192.3265,35431.4460666667
Base,72,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,94521.8974333333,36090.2935333333
Base,73,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,91523.2264333333,34970.1697333333
Base,74,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,87667.3706333333,33769.2668666667
Base,75,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,92094.218,35310.3124666667
Base,76,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,94066.1128666667,36109.2538666667
Base,77,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,92215.5314,35183.5806
Base,78,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,90298.2639,34607.7532666667
Base,79,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,88311.7231,33859.6943666667
Base,80,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,91578.4344333333,34919.2389333333
Base,81,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,93397.1288,35866.6330333333
Base,82,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,94491.2418666667,36307.8511
Base,83,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,93693.03,35931.2769
Base,84,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,91508.2832333334,35001.5445666667
Base,85,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,94690.06,36441.4028333333
Base,86,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,86980.3378333334,33327.7621666667
Base,87,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,91999.1502,34965.0156666667
Base,88,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,88467.5437333333,33588.2267
Base,89,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,91108.1465333333,34988.5142666667
Base,90,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,91216.6684333333,35190.5830666667
Base,91,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,89264.8186,34168.0857666667
Base,92,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,92685.2078666666,35484.4775666667
Base,93,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,92927.4601666667,35481.0976
Base,94,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,90671.0787333333,34933.2998666667
Base,95,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,92877.5301666667,35619.8359
Base,96,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,94299.7185333333,36315.0391
Base,97,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,96032.4726,36941.8014
Base,98,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,96483.4151333333,36951.6004333333
Base,99,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,92121.4706666667,35277.0536333333
Base,100,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,90252.5164333333,34159.9157666667
Base,1,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,1633100.31333333,238687.244666667
Base,2,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,1620807.32666667,237782.837666667
Base,3,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,1682547.72666667,245361.964333333
Base,4,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,1633054.99,239140.919666667
Base,5,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,1654925.58333333,241944.644333333
Base,6,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,1691199.45666667,246703.524666667
Base,7,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,1736872.13333333,252060.812666667
Base,8,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,1639501.6,239665.788
Base,9,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,1608913.63,236799.568
Base,10,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,1601805.16666667,235170.771333333
Base,11,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,1636773.83,239654.760333333
Base,12,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,1575035.69,230789.203666667
Base,13,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,1681387.41666667,246253.717333333
Base,14,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,1732249.51666667,253375.788666667
Base,15,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,1761922.27,256579.579
Base,16,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,1725483.56666667,252211.067666667
Base,17,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,1674914.89666667,245305.055666667
Base,18,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,1616137.6,236489.289333333
Base,19,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,1754015,254814.971333333
Base,20,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,1574879.92333333,230982.053666667
Base,21,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,1633454.55333333,238957.772
Base,22,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,1623982.49666667,237953.910333333
Base,23,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,1631938.29666667,238553.401666667
Base,24,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,1544203.60533333,227480.366
Base,25,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,1604209.495,235541.461
Base,26,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,1659824.22333333,242379.251333333
Base,27,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,1634780.65,238902.435666667
Base,28,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,1662258.23666667,243156.159
Base,29,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,1663589.06,243012.282333333
Base,30,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,1627212.54666667,238101.083
Base,31,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,1591750.02666667,233854.461333333
Base,32,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,1721931.21333333,251348.454
Base,33,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,1714604.47,250070.954666667
Base,34,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,1695870.55,247656.919
Base,35,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,1848855.76,268185.572666667
Base,36,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,1628408.9,238038.838666667
Base,37,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,1673517.39333333,244634.415333333
Base,38,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,1710010.28333333,249643.443333333
Base,39,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,1777964.11666667,258481.633666667
Base,40,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,1575345.17666667,231001.180666667
Base,41,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,1600338.15,233812.815666667
Base,42,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,1562869.18333333,229272.030333333
Base,43,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,1601056.03333333,234635.731666667
Base,44,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,1669960.01333333,243824.010333333
Base,45,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,1652633.77333333,241394.452333333
Base,46,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,1649848.77333333,240742.037333333
Base,47,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,1583489.16666667,232730.855333333
Base,48,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,1767462.19,257256.885333333
