group,indicator,scenario,comparison,n_paired_runs,base_mean,future_mean,mean_log2_response,pct_change,pct_ci_low,pct_ci_high,t_statistic,df,p_value,paired_effect_dz,p_fdr,significance
Prey,biomass,SSP1-2.6,SSP1-2.6 vs Base,100,1003997.82573667,816480.993924692,-0.297828522149958,-18.6524118368183,-19.378705758875,-17.9029288635673,-44.4594703983917,99,3.14987097173415e-67,-4.44594703983917,1.25994838869366e-66,***
Predator,biomass,SSP1-2.6,SSP1-2.6 vs Base,100,2541145.930782,2494073.40297827,-0.0266788662933375,-1.8322445988064,-2.37181589847409,-1.27716015629937,-6.48088681575933,99,3.57847682818134e-09,-0.648088681575933,7.15695365636267e-09,***
Invertebrate,biomass,SSP1-2.6,SSP1-2.6 vs Base,100,1579493.04008933,1567965.47780099,-0.0101224532062597,-0.69917927846449,-1.37554522418812,0.00770352589045675,-2.01545881976335,99,0.0465670590367691,-0.201545881976335,0.0465670590367691,*
Mid-trophic species,biomass,SSP1-2.6,SSP1-2.6 vs Base,100,2506035.99133091,2537560.27073271,0.0182057873461434,1.26992493999512,0.749231305256681,1.78623743333242,4.81935310630917,99,5.20232677379684e-06,0.481935310630917,6.93643569839579e-06,***
Prey,biomass,SSP5-8.5,SSP5-8.5 vs Base,100,1003997.82573667,738143.021364198,-0.443321627688239,-26.4560600770917,-27.0913438179948,-25.8169554050669,-69.2998295991138,99,1.0475427656194e-85,-6.92998295991138,4.1901710624776e-85,***
Predator,biomass,SSP5-8.5,SSP5-8.5 vs Base,100,2541145.930782,2526609.60260124,-0.0079826658380461,-0.551788257113439,-1.12665102251036,0.0226489436761179,-1.8694836765608,99,0.064510978664983,-0.18694836765608,0.0860146382199774,ns
Invertebrate,biomass,SSP5-8.5,SSP5-8.5 vs Base,100,1579493.04008933,1586290.14704519,0.00657423157946,0.456730858742183,-0.226196562568781,1.1504244962568,1.28722404917175,99,0.201017563884824,0.128722404917175,0.201017563884824,ns
Mid-trophic species,biomass,SSP5-8.5,SSP5-8.5 vs Base,100,2506035.99133091,2627132.42123363,0.0682172935471749,4.84203729379595,4.24465795543283,5.44095654920189,16.4986201827248,99,3.60515035756554e-30,1.64986201827248,7.21030071513107e-30,***
Prey,yield,SSP1-2.6,SSP1-2.6 vs Base,100,157782.221291333,128216.058161605,-0.298867439768737,-18.7109710038408,-19.4536685508139,-17.915015192054,-42.7095250169645,99,1.38063712725938e-65,-4.27095250169645,5.5225485090375e-65,***
Predator,yield,SSP1-2.6,SSP1-2.6 vs Base,100,431304.046129067,432694.880471272,0.00482331740068085,0.334886381396426,-0.105243111019837,0.780757756176742,1.47300832748735,99,0.143921133463479,0.147300832748735,0.191894844617972,ns
Invertebrate,yield,SSP1-2.6,SSP1-2.6 vs Base,100,333091.118111667,333137.367022963,0.000576877213839508,0.039994076929406,-0.571636368722406,0.662924230924156,0.123659771583996,99,0.901835380865664,0.0123659771583996,0.901835380865664,ns
Mid-trophic species,yield,SSP1-2.6,SSP1-2.6 vs Base,100,532207.736953043,548434.938559708,0.0435240140653475,3.06282292668247,2.5228752568816,3.59584759890961,11.2146807508074,99,2.5047712661541e-19,1.12146807508074,5.0095425323082e-19,***
Prey,yield,SSP5-8.5,SSP5-8.5 vs Base,100,157782.221291333,115697.511207654,-0.447049804441423,-26.6458651527147,-27.3084229789504,-25.9595436533618,-66.4826471320245,99,5.85275051929036e-84,-6.64826471320245,2.34110020771615e-83,***
Predator,yield,SSP5-8.5,SSP5-8.5 vs Base,100,431304.046129067,441680.513126827,0.0344868413525,2.41924586420017,1.94513923182942,2.88712030744216,10.1839523989227,99,4.34361391809711e-17,1.01839523989227,5.79148522412948e-17,***
Invertebrate,yield,SSP5-8.5,SSP5-8.5 vs Base,100,333091.118111667,337630.146387407,0.0198519525066907,1.38554339223653,0.716817468881059,2.04467342162669,4.17278551013003,99,6.46961301618844e-05,0.417278551013003,6.46961301618844e-05,***
Mid-trophic species,yield,SSP5-8.5,SSP5-8.5 vs Base,100,532207.736953043,566511.593540917,0.0902954463313138,6.45881747927466,5.87060647605762,7.02689826267939,22.4200605028042,99,1.40382763662456e-40,2.24200605028042,2.80765527324911e-40,***
