species,latin,group,species_order,indicator,scenario,comparison,n_paired_runs,base_mean,future_mean,mean_log2_response,pct_change,pct_ci_low,pct_ci_high,t_statistic,df,p_value,paired_effect_dz,p_fdr,significance
EngraulisJaponicus,Engraulis japonicus,Prey,1,biomass,SSP1-2.6,SSP1-2.6 vs Base,100,1003997.82573667,816480.993924692,-0.297828522149958,-18.6524118368183,-19.378705758875,-17.9029288635673,-44.4594703983917,99,3.14987097173415e-67,-4.44594703983917,2.2049096802139e-66,***
ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,biomass,SSP1-2.6,SSP1-2.6 vs Base,100,91790.0010016667,93081.3054718519,0.0203340581190068,1.41942907554153,0.932007474794494,1.90363621026322,5.80943537054213,99,7.62770034662826e-08,0.580943537054213,8.21444652713813e-08,***
TrichiurusJaponicus,Trichiurus japonicus,Predator,3,biomass,SSP1-2.6,SSP1-2.6 vs Base,100,1663672.68136667,1502642.27837284,-0.14601087130735,-9.62540833760475,-10.521243256939,-8.7247343347608,-20.1766590154428,99,7.47482008737061e-37,-2.01766590154428,1.74412468705314e-36,***
MuraenesoxCinereus,Muraenesox cinereus,Predator,4,biomass,SSP1-2.6,SSP1-2.6 vs Base,100,719566.238656667,828286.326483951,0.203458101555882,15.1455056884331,14.400642283582,15.9146743593543,41.2479690856388,99,3.61654544965469e-64,4.12479690856388,1.68772120983885e-63,***
MiichthysMiiuy,Miichthys miiuy,Predator,5,biomass,SSP1-2.6,SSP1-2.6 vs Base,100,66117.009757,70063.4926496296,0.085854314628352,6.13160303548863,4.49999484175208,7.81601118077402,7.45784342720158,99,3.41245216446457e-11,0.745784342720158,3.98119419187534e-11,***
TodarodesPacificus,Todarodes pacificus,Invertebrate,6,biomass,SSP1-2.6,SSP1-2.6 vs Base,100,849666.623216667,890703.414050617,0.0692518437176472,4.91724601319048,3.78596639338737,6.02771974405951,8.84293761093583,99,3.63628250902498e-14,0.884293761093583,4.62799592057725e-14,***
TrachysalambriaCurvirostris,Trachysalambria curvirostris,Invertebrate,7,biomass,SSP1-2.6,SSP1-2.6 vs Base,100,262208.412256,263108.517744938,0.00733883559141439,0.509985340640151,-0.947653825326777,2.00585761165359,0.676727142237716,99,0.500157222620288,0.0676727142237716,0.500157222620288,ns
PortunusTrituberculatus,Portunus trituberculatus,Invertebrate,8,biomass,SSP1-2.6,SSP1-2.6 vs Base,100,467618.004616667,414153.546005432,-0.174358439651776,-11.3838496254325,-12.2924073401373,-10.4477603859225,-23.0970400776104,99,1.17910064323233e-41,-2.30970400776104,3.30148180105052e-41,***
ScomberJaponicus,Scomber japonicus,Mid-trophic species,9,biomass,SSP1-2.6,SSP1-2.6 vs Base,100,1280579.16030333,1105664.73122099,-0.211650037509631,-13.6450990986094,-14.0636842936928,-13.1967624942892,-56.4636045004581,99,4.08303290542218e-77,-5.64636045004581,5.71624606759106e-76,***
DecapterusMaruadsi,Decapterus maruadsi,Mid-trophic species,10,biomass,SSP1-2.6,SSP1-2.6 vs Base,100,54642.4884235,47705.4668878148,-0.190362659951332,-12.3614609263199,-14.7424100641626,-9.91211563978766,-9.27018221725168,99,4.27536809406066e-15,-0.927018221725168,5.98551533168493e-15,***
PennahiaArgentata,Pennahia argentata,Mid-trophic species,11,biomass,SSP1-2.6,SSP1-2.6 vs Base,100,546056.966366667,704138.437019753,0.370610798404682,29.2900094020862,26.708235556147,31.8079580042759,25.5930247390821,99,1.93606758785572e-45,2.55930247390821,6.77623655749503e-45,***
PampusArgenteus,Pampus argenteus,Mid-trophic species,12,biomass,SSP1-2.6,SSP1-2.6 vs Base,100,9758.29592694,13796.233789484,0.543562797312521,45.7567602125824,37.3820502986821,54.9992964986325,12.028715985516,99,4.4545649124843e-21,1.2028715985516,7.79548859684753e-21,***
LarimichthysPolyactis,Larimichthys polyactis,Mid-trophic species,13,biomass,SSP1-2.6,SSP1-2.6 vs Base,100,600557.55376,654664.555085185,0.125903281713089,9.11907211682301,7.80312777996972,10.4138307694975,14.460863255469,99,3.78201638100416e-26,1.4460863255469,7.56403276200832e-26,***
TrachurusJaponicus,Trachurus japonicus,Mid-trophic species,14,biomass,SSP1-2.6,SSP1-2.6 vs Base,100,14441.5265504667,11590.8467294864,-0.306525040062814,-19.1412974299418,-22.2137666923626,-15.8716880782376,-10.3368648558529,99,2.01654462665185e-17,-1.03368648558529,3.13684719701398e-17,***
EngraulisJaponicus,Engraulis japonicus,Prey,1,biomass,SSP5-8.5,SSP5-8.5 vs Base,100,1003997.82573667,738143.021364198,-0.443321627688239,-26.4560600770917,-27.0913438179948,-25.8169554050669,-69.2998295991138,99,1.0475427656194e-85,-6.92998295991138,7.33279935933581e-85,***
ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,biomass,SSP5-8.5,SSP5-8.5 vs Base,100,91790.0010016667,93499.3009423457,0.02684478455479,1.87815829151441,1.44402670113473,2.313416822652,8.45517121166752,99,2.51675958677098e-13,0.845517121166752,2.71035647806106e-13,***
TrichiurusJaponicus,Trichiurus japonicus,Predator,3,biomass,SSP5-8.5,SSP5-8.5 vs Base,100,1663672.68136667,1508897.17960123,-0.139972346009975,-9.24634489301074,-10.1602140569267,-8.34558543793285,-18.62395828052,99,4.03032646899268e-34,-1.862395828052,7.05307132073719e-34,***
MuraenesoxCinereus,Muraenesox cinereus,Predator,4,biomass,SSP5-8.5,SSP5-8.5 vs Base,100,719566.238656667,842001.549893827,0.227186624287089,17.055005181011,16.2617455591901,17.8154815696683,44.7876084596993,99,1.5738166611699e-67,4.47876084596993,5.50835831409464e-67,***
MiichthysMiiuy,Miichthys miiuy,Predator,5,biomass,SSP5-8.5,SSP5-8.5 vs Base,100,66117.009757,82211.5721638272,0.316791551525407,24.5557437612842,22.7788915297369,26.3586318256315,29.5322239519526,99,6.90408686533912e-51,2.95322239519526,1.61095360191246e-50,***
TodarodesPacificus,Todarodes pacificus,Invertebrate,6,biomass,SSP5-8.5,SSP5-8.5 vs Base,100,849666.623216667,917753.986448148,0.112333668092767,8.0975382303436,6.96411947484841,9.28778312315859,14.2180810710257,99,1.17873018849303e-25,1.42180810710257,1.83358029321137e-25,***
TrachysalambriaCurvirostris,Trachysalambria curvirostris,Invertebrate,7,biomass,SSP5-8.5,SSP5-8.5 vs Base,100,262208.412256,266575.459809383,0.0258439870234467,1.80750992163525,0.179998977393869,3.448783693549,2.20166485346281,99,0.0300112088945428,0.220166485346281,0.0300112088945428,*
PortunusTrituberculatus,Portunus trituberculatus,Invertebrate,8,biomass,SSP5-8.5,SSP5-8.5 vs Base,100,467618.004616667,401960.700787654,-0.217578789093163,-13.9992461615452,-14.8383620526378,-13.1691424552797,-29.6104622790732,99,5.45514419650961e-51,-2.96104622790732,1.52744037502269e-50,***
ScomberJaponicus,Scomber japonicus,Mid-trophic species,9,biomass,SSP5-8.5,SSP5-8.5 vs Base,100,1280579.16030333,1023964.86706667,-0.322408699982739,-20.0266459668131,-20.4498384694346,-19.5975566483362,-82.9519128658959,99,2.6248436679722e-93,-8.29519128658959,3.67478113516108e-92,***
DecapterusMaruadsi,Decapterus maruadsi,Mid-trophic species,10,biomass,SSP5-8.5,SSP5-8.5 vs Base,100,54642.4884235,47404.446678642,-0.199138684229305,-12.892954665049,-15.0554279771156,-10.5865304631006,-10.4012152995469,99,1.4603151492909e-17,-1.04012152995469,1.85858291727932e-17,***
PennahiaArgentata,Pennahia argentata,Mid-trophic species,11,biomass,SSP5-8.5,SSP5-8.5 vs Base,100,546056.966366667,849498.610628395,0.641420268529196,55.986401982759,53.2757181241064,58.7953641671893,47.8825873792496,99,2.81579547300276e-70,4.78825873792496,1.31403788740129e-69,***
PampusArgenteus,Pampus argenteus,Mid-trophic species,12,biomass,SSP5-8.5,SSP5-8.5 vs Base,100,9758.29592694,13021.3386005975,0.459326852118111,37.4900153026505,29.4684949938102,46.6936697004704,9.9014784942438,99,1.7944844321277e-16,0.99014784942438,2.09356517081565e-16,***
LarimichthysPolyactis,Larimichthys polyactis,Mid-trophic species,13,biomass,SSP5-8.5,SSP5-8.5 vs Base,100,600557.55376,681862.237333333,0.184681227620141,13.6565814252996,12.3462176977561,15.0274071135656,20.6941355990105,99,9.80460976942718e-38,2.06941355990105,1.96092195388544e-37,***
TrachurusJaponicus,Trachurus japonicus,Mid-trophic species,14,biomass,SSP5-8.5,SSP5-8.5 vs Base,100,14441.5265504667,11380.9209259963,-0.331999241447215,-20.5565182199136,-23.5717368495545,-17.2814443987279,-11.3119093072228,99,1.5442401286188e-19,-1.13119093072228,2.16193618006632e-19,***
EngraulisJaponicus,Engraulis japonicus,Prey,1,yield,SSP1-2.6,SSP1-2.6 vs Base,100,157782.221291333,128216.058161605,-0.298867439768737,-18.7109710038408,-19.4536685508139,-17.915015192054,-42.7095250169645,99,1.38063712725938e-65,-4.27095250169645,8.96645103522789e-65,***
ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,yield,SSP1-2.6,SSP1-2.6 vs Base,100,35139.195071,35624.9109724691,0.0200024538001836,1.39612043790816,0.923324975622442,1.89419367330412,5.61305240505114,99,1.81637856316964e-07,0.561305240505114,1.95609999110577e-07,***
TrichiurusJaponicus,Trichiurus japonicus,Predator,3,yield,SSP1-2.6,SSP1-2.6 vs Base,100,243152.581886667,222257.761943704,-0.128892594840581,-8.54668282498069,-9.39219731938182,-7.72835353516385,-19.0841821770916,99,6.05616985748974e-35,-1.90841821770916,1.41310630008094e-34,***
MuraenesoxCinereus,Muraenesox cinereus,Predator,4,yield,SSP1-2.6,SSP1-2.6 vs Base,100,128402.670783333,148645.513169259,0.211667362295676,15.8025773013888,15.0111392692483,16.6066384947113,42.5595236745609,99,1.92138236469169e-65,4.25595236745609,8.96645103522789e-65,***
MiichthysMiiuy,Miichthys miiuy,Predator,5,yield,SSP1-2.6,SSP1-2.6 vs Base,100,24609.5983880667,26166.6943858395,0.0910379421243318,6.51362155499391,4.73962701005548,8.31150937755594,7.52633738345945,99,2.44588896876526e-11,0.752633738345945,2.85353713022614e-11,***
TodarodesPacificus,Todarodes pacificus,Invertebrate,6,yield,SSP1-2.6,SSP1-2.6 vs Base,100,144474.047185333,152892.049260988,0.0827531683836538,5.90371278440538,4.86090220749287,6.94800322395988,11.1880829061126,99,2.8593896591181e-19,1.11880829061126,4.00314552276534e-19,***
TrachysalambriaCurvirostris,Trachysalambria curvirostris,Invertebrate,7,yield,SSP1-2.6,SSP1-2.6 vs Base,100,87447.440218,88699.0959138272,0.0226538961056492,1.58264160490953,0.232351892415639,3.01500670177328,2.21444345514425,99,0.0290919450212859,0.221444345514425,0.0290919450212859,*
PortunusTrituberculatus,Portunus trituberculatus,Invertebrate,8,yield,SSP1-2.6,SSP1-2.6 vs Base,100,101169.630708333,91546.2218481481,-0.143532791330528,-9.47004084060069,-10.3174868925734,-8.58064536134192,-20.6284454720195,99,1.26662552142277e-37,-2.06284454720195,3.54655145998375e-37,***
ScomberJaponicus,Scomber japonicus,Mid-trophic species,9,yield,SSP1-2.6,SSP1-2.6 vs Base,100,231317.594326667,200681.923766667,-0.204754204314654,-13.2313495446435,-13.6448499670818,-12.8137677731591,-57.4053583853088,99,8.33017514927468e-78,-5.74053583853088,1.16622452089846e-76,***
DecapterusMaruadsi,Decapterus maruadsi,Mid-trophic species,10,yield,SSP1-2.6,SSP1-2.6 vs Base,100,12391.0683252,10863.6007341975,-0.18431625542948,-11.9933928239474,-14.3468055499146,-9.51360524763386,-9.19322058624291,99,6.29008541462949e-15,-0.919322058624291,8.00556325498298e-15,***
PennahiaArgentata,Pennahia argentata,Mid-trophic species,11,yield,SSP1-2.6,SSP1-2.6 vs Base,100,93054.3832443333,120122.335156914,0.372290035969611,29.4405852592099,26.8722506000815,32.016237026377,25.4202236963652,99,3.46826198066978e-45,2.54202236963652,1.21389169323442e-44,***
PampusArgenteus,Pampus argenteus,Mid-trophic species,12,yield,SSP1-2.6,SSP1-2.6 vs Base,100,5881.83694677667,8204.83856344938,0.522058945353643,43.6003181363795,35.4107287925253,52.894452672893,11.9247880431737,99,7.4307780758988e-21,1.19247880431737,1.30038616328229e-20,***
LarimichthysPolyactis,Larimichthys polyactis,Mid-trophic species,13,yield,SSP1-2.6,SSP1-2.6 vs Base,100,186438.481960667,206166.344644198,0.146578395634566,10.6941051537607,9.3749437269804,11.9930881767963,16.6121119356484,99,2.18586392922192e-30,1.66121119356484,4.37172785844383e-30,***
TrachurusJaponicus,Trachurus japonicus,Mid-trophic species,14,yield,SSP1-2.6,SSP1-2.6 vs Base,100,3124.3721494,2395.89569428284,-0.369114007043508,-22.5742159253319,-25.9287056944154,-18.9542763159743,-11.1948224515842,99,2.76503443638726e-19,-1.11948224515842,4.00314552276534e-19,***
EngraulisJaponicus,Engraulis japonicus,Prey,1,yield,SSP5-8.5,SSP5-8.5 vs Base,100,157782.221291333,115697.511207654,-0.447049804441423,-26.6458651527147,-27.3084229789504,-25.9595436533618,-66.4826471320245,99,5.85275051929036e-84,-6.64826471320245,4.09692536350325e-83,***
ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,yield,SSP5-8.5,SSP5-8.5 vs Base,100,35139.195071,35763.8665503704,0.025657903056259,1.79437927165667,1.35789615769983,2.22301172611317,7.96696655429724,99,2.82477374616462e-12,0.796696655429724,3.04206403433112e-12,***
TrichiurusJaponicus,Trichiurus japonicus,Predator,3,yield,SSP5-8.5,SSP5-8.5 vs Base,100,243152.581886667,223582.132728272,-0.120266309430292,-7.99821926378577,-8.85584067404236,-7.11893110779935,-17.0971246608335,99,2.62411570507402e-31,-1.70971246608335,4.08195776344848e-31,***
MuraenesoxCinereus,Muraenesox cinereus,Predator,4,yield,SSP5-8.5,SSP5-8.5 vs Base,100,128402.670783333,151186.145955062,0.236162234255713,17.7855234580336,16.9895472282735,18.5961491210542,46.4571757643675,99,4.94463050137291e-69,4.64571757643675,1.73062067548052e-68,***
MiichthysMiiuy,Miichthys miiuy,Predator,5,yield,SSP5-8.5,SSP5-8.5 vs Base,100,24609.5983880667,31148.3678931235,0.342767274231683,26.8186807539635,24.8277875154977,28.867943024687,29.5456010857447,99,6.6313161533255e-51,2.95456010857447,1.85676852293114e-50,***
