group,indicator,scenario,comparison,n_paired_runs,base_mean,future_mean,response_center,response_unit,pct_change,pct_ci_low,pct_ci_high,t_statistic,df,p_value,paired_effect_dz,p_fdr,significance,cell_label,indicator_label
Prey,age_mature,SSP1-2.6,SSP1-2.6 vs Base,100,0.709716360073333,0.677250588201235,-0.0673727811368836,log2 response ratio,-4.56256206129424,-4.97593706803873,-4.13966589416768,-21.1883954691783,99,1.45109116869978e-38,-2.11883954691783,5.80436467479911e-38,***,-4.6***,Maturation age
Predator,age_mature,SSP1-2.6,SSP1-2.6 vs Base,100,0.757121078344779,0.750406363771532,-0.012786047580356,log2 response ratio,-0.882345564145459,-1.14972296490519,-0.625626052916432,-6.67145322164297,99,1.46783882401117e-09,-0.667145322164297,2.93567764802234e-09,***,-0.9***,Maturation age
Invertebrate,age_mature,SSP1-2.6,SSP1-2.6 vs Base,100,0.959520236330741,0.958551031671683,-0.00121491619283813,log2 response ratio,-0.0841761253739248,-0.511209409967111,0.341200227257393,-0.377651811497186,99,0.7064977083722,-0.0377651811497186,0.7064977083722,ns,-0.1,Maturation age
Mid-trophic species,age_mature,SSP1-2.6,SSP1-2.6 vs Base,100,0.598006568778819,0.597047600313923,-0.0023041256175695,log2 response ratio,-0.159582349287124,-0.277050463030038,-0.042005128343903,-2.60393904394967,99,0.0106336841945812,-0.260393904394967,0.014178245592775,*,-0.2*,Maturation age
Prey,age_mature,SSP5-8.5,SSP5-8.5 vs Base,100,0.709716360073333,0.662162532030864,-0.0998902438090511,log2 response ratio,-6.68960232308579,-7.08730731391573,-6.29174145912509,-30.7462525878407,99,1.88640467128362e-52,-3.07462525878407,7.54561868513448e-52,***,-6.7***,Maturation age
Predator,age_mature,SSP5-8.5,SSP5-8.5 vs Base,100,0.757121078344779,0.747368534898781,-0.01864097576712,log2 response ratio,-1.28378228215259,-1.54967698352046,-1.0098698092868,-9.29719048350701,99,3.73345972464985e-15,-0.929719048350701,7.4669194492997e-15,***,-1.3***,Maturation age
Invertebrate,age_mature,SSP5-8.5,SSP5-8.5 vs Base,100,0.959520236330741,0.950613901063949,-0.0132475461436924,log2 response ratio,-0.914046885893971,-1.42192441849868,-0.419849208808539,-3.6245834636063,99,0.000459169210708954,-0.36245834636063,0.000459169210708954,***,-0.9***,Maturation age
Mid-trophic species,age_mature,SSP5-8.5,SSP5-8.5 vs Base,100,0.598006568778819,0.596054622232884,-0.00470659177720044,log2 response ratio,-0.325704510351854,-0.437816985245611,-0.21192845774411,-5.63396184861717,99,1.65716942007851e-07,-0.563396184861717,2.20955922677135e-07,***,-0.3***,Maturation age
Prey,mean_tl,SSP1-2.6,SSP1-2.6 vs Base,100,2.3345905394,2.3261595661358,-0.00843097326419737,absolute difference,-0.361132846291934,-0.401147619340984,-0.320891412810316,-17.4956679636729,99,4.70101515604027e-32,-1.74956679636729,9.40203031208053e-32,***,-0.4***,Mean trophic level
Predator,mean_tl,SSP1-2.6,SSP1-2.6 vs Base,100,3.004219789475,2.99669215335803,-0.00752763611697517,absolute difference,-0.250568754767799,-0.277942141803375,-0.223633155208247,-18.0597587291566,99,4.26725606177353e-33,-1.80597587291566,1.70690242470941e-32,***,-0.3***,Mean trophic level
Invertebrate,mean_tl,SSP1-2.6,SSP1-2.6 vs Base,100,2.28247059298889,2.28373357652263,0.00126298353374479,absolute difference,0.0553340550202286,0.0204814869649739,0.0894431634193404,3.18632415481376,99,0.00192801060402857,0.318632415481376,0.00192801060402857,**,+0.1**,Mean trophic level
Mid-trophic species,mean_tl,SSP1-2.6,SSP1-2.6 vs Base,100,2.70933225367222,2.70793333984774,-0.00139891382448507,absolute difference,-0.0516331587825381,-0.0827406633299083,-0.0202629976407298,-3.2264710396112,99,0.00169931691218328,-0.32264710396112,0.00192801060402857,**,-0.1**,Mean trophic level
Prey,mean_tl,SSP5-8.5,SSP5-8.5 vs Base,100,2.3345905394,2.32505371146914,-0.00953682793086438,absolute difference,-0.408501095584646,-0.447931044459901,-0.370583210936846,-20.7217341802747,99,8.80582836061638e-38,-2.07217341802747,1.76116567212328e-37,***,-0.4***,Mean trophic level
Predator,mean_tl,SSP5-8.5,SSP5-8.5 vs Base,100,3.004219789475,2.99510126310803,-0.00911852636697499,absolute difference,-0.303523943185535,-0.330244180947318,-0.27698589195938,-22.6000456646825,99,7.23051683669597e-41,-2.26000456646825,2.89220673467839e-40,***,-0.3***,Mean trophic level
Invertebrate,mean_tl,SSP5-8.5,SSP5-8.5 vs Base,100,2.28247059298889,2.28465311800823,0.0021825250193416,absolute difference,0.095621167082971,0.0615182595747299,0.12922196796053,5.48565204039368,99,3.16552532365222e-07,0.548565204039368,4.22070043153629e-07,***,+0.1***,Mean trophic level
Mid-trophic species,mean_tl,SSP5-8.5,SSP5-8.5 vs Base,100,2.70933225367222,2.71070210211728,0.00136984844506195,absolute difference,0.050560371220798,0.0211701298382427,0.081251813128016,3.32882763048757,99,0.0012256959978765,0.332882763048757,0.0012256959978765,**,+0.1**,Mean trophic level
Prey,biomass,SSP1-2.6,SSP1-2.6 vs Base,100,1003997.82573667,816480.993924692,-0.297828522149958,log2 response ratio,-18.6524118368183,-19.3609949683511,-17.900175229661,-44.4594703983916,99,3.14987097173522e-67,-4.44594703983916,1.25994838869409e-66,***,-18.7***,Biomass
Predator,biomass,SSP1-2.6,SSP1-2.6 vs Base,100,2541145.930782,2494073.40297827,-0.0266788662933379,log2 response ratio,-1.83224459880643,-2.38868832645306,-1.29294273764322,-6.48088681575943,99,3.57847682817964e-09,-0.648088681575943,7.15695365635929e-09,***,-1.8***,Biomass
Invertebrate,biomass,SSP1-2.6,SSP1-2.6 vs Base,100,1579493.04008933,1567965.47780099,-0.0101224532062595,log2 response ratio,-0.699179278464479,-1.38437270841223,-0.0236112538647599,-2.01545881976332,99,0.0465670590367715,-0.201545881976332,0.0465670590367715,*,-0.7*,Biomass
Mid-trophic species,biomass,SSP1-2.6,SSP1-2.6 vs Base,100,2506035.99133091,2537560.27073271,0.0182057873461433,log2 response ratio,1.26992493999509,0.772093460194598,1.79098688100004,4.81935310630914,99,5.2023267737975e-06,0.481935310630914,6.93643569839667e-06,***,+1.3***,Biomass
Prey,biomass,SSP5-8.5,SSP5-8.5 vs Base,100,1003997.82573667,738143.021364198,-0.443321627688239,log2 response ratio,-26.4560600770917,-27.0806139911251,-25.819236253891,-69.299829599114,99,1.0475427656191e-85,-6.9299829599114,4.19017106247641e-85,***,-26.5***,Biomass
Predator,biomass,SSP5-8.5,SSP5-8.5 vs Base,100,2541145.930782,2526609.60260124,-0.00798266583804602,log2 response ratio,-0.551788257113439,-1.14941107479841,0.00376223630768512,-1.86948367656078,99,0.0645109786649854,-0.186948367656078,0.0860146382199806,ns,-0.6,Biomass
Invertebrate,biomass,SSP5-8.5,SSP5-8.5 vs Base,100,1579493.04008933,1586290.14704519,0.00657423157946004,log2 response ratio,0.456730858742183,-0.238883798403547,1.16988916347443,1.28722404917176,99,0.20101756388482,0.128722404917176,0.20101756388482,ns,+0.5,Biomass
Mid-trophic species,biomass,SSP5-8.5,SSP5-8.5 vs Base,100,2506035.99133091,2627132.42123363,0.0682172935471747,log2 response ratio,4.84203729379593,4.26770804585423,5.40759749853751,16.4986201827246,99,3.60515035756836e-30,1.64986201827246,7.21030071513673e-30,***,+4.8***,Biomass
Prey,yield,SSP1-2.6,SSP1-2.6 vs Base,100,157782.221291333,128216.058161605,-0.298867439768738,log2 response ratio,-18.7109710038408,-19.4467842541834,-17.9350355208219,-42.7095250169642,99,1.38063712726044e-65,-4.27095250169642,5.52254850904174e-65,***,-18.7***,Yield
Predator,yield,SSP1-2.6,SSP1-2.6 vs Base,100,431304.046129067,432694.880471272,0.00482331740068089,log2 response ratio,0.334886381396426,-0.100138922781501,0.774847851570429,1.47300832748736,99,0.143921133463478,0.147300832748736,0.19189484461797,ns,+0.3,Yield
Invertebrate,yield,SSP1-2.6,SSP1-2.6 vs Base,100,333091.118111667,333137.367022963,0.000576877213839878,log2 response ratio,0.0399940769294505,-0.592785378933198,0.683623992544451,0.123659771584076,99,0.9018353808656,0.0123659771584076,0.9018353808656,ns,+0.0,Yield
Mid-trophic species,yield,SSP1-2.6,SSP1-2.6 vs Base,100,532207.736953043,548434.938559708,0.0435240140653478,log2 response ratio,3.0628229266825,2.51072655940064,3.60177723987821,11.2146807508075,99,2.50477126615347e-19,1.12146807508075,5.00954253230695e-19,***,+3.1***,Yield
Prey,yield,SSP5-8.5,SSP5-8.5 vs Base,100,157782.221291333,115697.511207654,-0.447049804441423,log2 response ratio,-26.6458651527148,-27.3045307887207,-25.9943948781474,-66.4826471320238,99,5.85275051929685e-84,-6.64826471320238,2.34110020771874e-83,***,-26.6***,Yield
Predator,yield,SSP5-8.5,SSP5-8.5 vs Base,100,431304.046129067,441680.513126827,0.0344868413525,log2 response ratio,2.41924586420019,1.95395816825121,2.87554233629855,10.1839523989226,99,4.34361391809842e-17,1.01839523989226,5.79148522413123e-17,***,+2.4***,Yield
Invertebrate,yield,SSP5-8.5,SSP5-8.5 vs Base,100,333091.118111667,337630.146387408,0.0198519525066912,log2 response ratio,1.38554339223658,0.706106753539494,2.02784391728154,4.17278551013016,99,6.46961301618529e-05,0.417278551013016,6.46961301618529e-05,***,+1.4***,Yield
Mid-trophic species,yield,SSP5-8.5,SSP5-8.5 vs Base,100,532207.736953043,566511.593540917,0.0902954463313142,log2 response ratio,6.45881747927468,5.87449134710748,7.03697962095601,22.4200605028044,99,1.40382763662354e-40,2.24200605028044,2.80765527324707e-40,***,+6.5***,Yield
