species,indicator,scenario,comparison,n_paired_runs,base_mean,future_mean,response_center,response_unit,pct_change,pct_ci_low,pct_ci_high,t_statistic,df,p_value,paired_effect_dz,p_fdr,significance,latin,group,species_order,cell_label,indicator_label
EngraulisJaponicus,age_mature,SSP1-2.6,SSP1-2.6 vs Base,100,0.709716360073333,0.677250588201235,-0.0673727811368836,log2 response ratio,-4.56256206129424,-4.97593706803873,-4.13966589416768,-21.1883954691783,99,1.45109116869978e-38,-2.11883954691783,6.77175878726563e-38,***,Engraulis japonicus,Prey,1,-4.6***,Maturation age
ScomberomorusNiphonius,age_mature,SSP1-2.6,SSP1-2.6 vs Base,100,0.65874994576,0.665404336167901,0.0145049726963189,log2 response ratio,1.01047930121856,0.945490219420516,1.07444674401519,30.6975101373875,99,2.17489275008405e-52,3.06975101373875,3.04484985011767e-51,***,Scomberomorus niphonius,Predator,2,+1.0***,Maturation age
TrichiurusJaponicus,age_mature,SSP1-2.6,SSP1-2.6 vs Base,100,1.24388645940667,1.16607523549136,-0.0922854768973314,log2 response ratio,-6.19644380031861,-7.0555830570544,-5.31994361582303,-13.35153760134,99,7.20001164601712e-24,-1.335153760134,1.44000232920342e-23,***,Trichiurus japonicus,Predator,3,-6.2***,Maturation age
MuraenesoxCinereus,age_mature,SSP1-2.6,SSP1-2.6 vs Base,100,0.68802243502,0.702493298893827,0.0300476078720992,log2 response ratio,2.10458189100817,1.96119904456761,2.23926019438946,29.7933943919076,99,3.15105136820492e-51,2.97933943919075,2.20573595774345e-50,***,Muraenesox cinereus,Predator,4,+2.1***,Maturation age
MiichthysMiiuy,age_mature,SSP1-2.6,SSP1-2.6 vs Base,100,0.583335379216667,0.581907896281482,-0.0034112939925107,log2 response ratio,-0.236173551675978,-0.607345578207385,0.131895874579391,-1.24090663272225,99,0.217572747266346,-0.124090663272225,0.234309112440681,ns,Miichthys miiuy,Predator,5,-0.2,Maturation age
TodarodesPacificus,age_mature,SSP1-2.6,SSP1-2.6 vs Base,100,1.00903498482333,1.01409738684691,0.00746537266590549,log2 response ratio,0.518801339107511,0.060943029416648,0.997100664091816,2.1629986953758,99,0.0329488159637391,0.21629986953758,0.0419348566811225,*,Todarodes pacificus,Invertebrate,6,+0.5*,Maturation age
TrachysalambriaCurvirostris,age_mature,SSP1-2.6,SSP1-2.6 vs Base,100,0.877772768236667,0.870188656993827,-0.011125998934766,log2 response ratio,-0.768229396581277,-1.77469005413471,0.334941025119224,-1.4120133540079,99,0.161081588252199,-0.14120133540079,0.187928519627565,ns,Trachysalambria curvirostris,Invertebrate,7,-0.8,Maturation age
PortunusTrituberculatus,age_mature,SSP1-2.6,SSP1-2.6 vs Base,100,0.998669497586667,0.998476445024691,1.58776903461752e-05,log2 response ratio,0.00110056368587408,-0.598744815365976,0.614111248544396,0.00352246234147185,99,0.997196575732102,0.000352246234147185,0.997196575732102,ns,Portunus trituberculatus,Invertebrate,8,+0.0,Maturation age
ScomberJaponicus,age_mature,SSP1-2.6,SSP1-2.6 vs Base,100,0.79838711804,0.792246225249383,-0.0111270344594893,log2 response ratio,-0.768300622247142,-0.878644886376917,-0.656324355338709,-13.6749164550011,99,1.53677795372129e-24,-1.36749164550011,3.58581522534968e-24,***,Scomber japonicus,Mid-trophic species,9,-0.8***,Maturation age
DecapterusMaruadsi,age_mature,SSP1-2.6,SSP1-2.6 vs Base,100,0.54233692213,0.536031867282716,-0.0168476276543224,log2 response ratio,-1.16099637532299,-1.31874409890899,-1.00186478830893,-13.9700513449586,99,3.79182858133306e-25,-1.39700513449586,1.06171200277326e-24,***,Decapterus maruadsi,Mid-trophic species,10,-1.2***,Maturation age
PennahiaArgentata,age_mature,SSP1-2.6,SSP1-2.6 vs Base,100,0.5900092357,0.603769531922222,0.0334462198220193,log2 response ratio,2.34539710168498,1.88141007157042,2.84672444653075,9.68270912679415,99,5.38616934834688e-16,0.968270912679415,9.42579635960703e-16,***,Pennahia argentata,Mid-trophic species,11,+2.3***,Maturation age
PampusArgenteus,age_mature,SSP1-2.6,SSP1-2.6 vs Base,100,0.437893587123333,0.436170466923457,-0.0056766659924719,log2 response ratio,-0.392703398302297,-0.498731860432256,-0.290588665576835,-7.44669514100038,99,3.60226918606235e-11,-0.744669514100038,5.60352984498587e-11,***,Pampus argenteus,Mid-trophic species,12,-0.4***,Maturation age
