scenario,run,group,value,indicator
Base,1,Prey,0.729058404666667,age_mature
Base,2,Prey,0.71105457,age_mature
Base,3,Prey,0.698822408666667,age_mature
Base,4,Prey,0.738199130666667,age_mature
Base,5,Prey,0.691157709333333,age_mature
Base,6,Prey,0.702019217333333,age_mature
Base,7,Prey,0.713198153333333,age_mature
Base,8,Prey,0.700516539666667,age_mature
Base,9,Prey,0.702737279333333,age_mature
Base,10,Prey,0.722169847333333,age_mature
Base,11,Prey,0.710254182666667,age_mature
Base,12,Prey,0.707792409333333,age_mature
Base,13,Prey,0.693054836666667,age_mature
Base,14,Prey,0.721841594333333,age_mature
Base,15,Prey,0.724932359666667,age_mature
Base,16,Prey,0.704238481,age_mature
Base,17,Prey,0.707040085,age_mature
Base,18,Prey,0.716014978666667,age_mature
Base,19,Prey,0.691563389666667,age_mature
Base,20,Prey,0.721487789666667,age_mature
Base,21,Prey,0.722150237333333,age_mature
Base,22,Prey,0.708436495666667,age_mature
Base,23,Prey,0.693678654,age_mature
Base,24,Prey,0.722670903333333,age_mature
Base,25,Prey,0.762331546,age_mature
Base,26,Prey,0.703331996333333,age_mature
Base,27,Prey,0.705451172666667,age_mature
Base,28,Prey,0.689821165,age_mature
Base,29,Prey,0.721511368333333,age_mature
Base,30,Prey,0.701561912333333,age_mature
Base,31,Prey,0.697257506,age_mature
Base,32,Prey,0.704840714666667,age_mature
Base,33,Prey,0.714033769666667,age_mature
Base,34,Prey,0.691628267,age_mature
Base,35,Prey,0.690181521333333,age_mature
Base,36,Prey,0.72072741,age_mature
Base,37,Prey,0.712719816333333,age_mature
Base,38,Prey,0.704740904666667,age_mature
Base,39,Prey,0.720364377333333,age_mature
Base,40,Prey,0.717588776333333,age_mature
Base,41,Prey,0.719962929333333,age_mature
Base,42,Prey,0.719647137666667,age_mature
Base,43,Prey,0.698028910666667,age_mature
Base,44,Prey,0.722342034333333,age_mature
Base,45,Prey,0.711020155333333,age_mature
Base,46,Prey,0.709993497666667,age_mature
Base,47,Prey,0.682229269666667,age_mature
Base,48,Prey,0.686838200666667,age_mature
Base,49,Prey,0.714605031333333,age_mature
Base,50,Prey,0.734760970333333,age_mature
Base,51,Prey,0.697168175,age_mature
Base,52,Prey,0.705666410666667,age_mature
Base,53,Prey,0.692858337,age_mature
Base,54,Prey,0.692127992,age_mature
Base,55,Prey,0.706781287,age_mature
Base,56,Prey,0.710649786333333,age_mature
Base,57,Prey,0.727507037666667,age_mature
Base,58,Prey,0.702896603,age_mature
Base,59,Prey,0.714972716666667,age_mature
Base,60,Prey,0.721918495666667,age_mature
Base,61,Prey,0.722715891,age_mature
Base,62,Prey,0.712536584333333,age_mature
Base,63,Prey,0.684251623333333,age_mature
Base,64,Prey,0.711941722,age_mature
Base,65,Prey,0.700795440666667,age_mature
Base,66,Prey,0.704490290666667,age_mature
Base,67,Prey,0.690107353333333,age_mature
Base,68,Prey,0.722938388333333,age_mature
Base,69,Prey,0.733859339,age_mature
Base,70,Prey,0.704247677333333,age_mature
Base,71,Prey,0.726712232666667,age_mature
Base,72,Prey,0.701011202333333,age_mature
Base,73,Prey,0.712720520333333,age_mature
Base,74,Prey,0.715171066666667,age_mature
Base,75,Prey,0.692341022,age_mature
Base,76,Prey,0.692319424666667,age_mature
Base,77,Prey,0.693105176,age_mature
Base,78,Prey,0.703402711,age_mature
Base,79,Prey,0.719225849333333,age_mature
Base,80,Prey,0.72530901,age_mature
Base,81,Prey,0.704383874333333,age_mature
Base,82,Prey,0.707987289,age_mature
Base,83,Prey,0.691991008333333,age_mature
Base,84,Prey,0.713507283666667,age_mature
Base,85,Prey,0.700525108666667,age_mature
Base,86,Prey,0.719131621666667,age_mature
Base,87,Prey,0.723000965,age_mature
Base,88,Prey,0.7237135,age_mature
Base,89,Prey,0.699821639666667,age_mature
Base,90,Prey,0.687890099666667,age_mature
Base,91,Prey,0.736301132333333,age_mature
Base,92,Prey,0.684412934333333,age_mature
Base,93,Prey,0.715429028333333,age_mature
Base,94,Prey,0.723038672666667,age_mature
Base,95,Prey,0.713095506333333,age_mature
Base,96,Prey,0.706889638666667,age_mature
Base,97,Prey,0.707736103666667,age_mature
Base,98,Prey,0.724350289333333,age_mature
Base,99,Prey,0.713529959333333,age_mature
Base,100,Prey,0.721540968,age_mature
Base,1,Predator,0.746989685403423,age_mature
Base,2,Predator,0.759597494257762,age_mature
Base,3,Predator,0.762863423790818,age_mature
Base,4,Predator,0.750867899857062,age_mature
Base,5,Predator,0.775421647062982,age_mature
Base,6,Predator,0.749388404684482,age_mature
Base,7,Predator,0.744762164827376,age_mature
Base,8,Predator,0.772152482727353,age_mature
Base,9,Predator,0.751524657726496,age_mature
Base,10,Predator,0.759726626112441,age_mature
Base,11,Predator,0.751435590840999,age_mature
Base,12,Predator,0.761176454446739,age_mature
Base,13,Predator,0.75711185903024,age_mature
Base,14,Predator,0.767768823512731,age_mature
Base,15,Predator,0.764003830260341,age_mature
Base,16,Predator,0.765194747718126,age_mature
Base,17,Predator,0.747467983721614,age_mature
Base,18,Predator,0.757002587373429,age_mature
Base,19,Predator,0.745101028949967,age_mature
Base,20,Predator,0.757366919954537,age_mature
Base,21,Predator,0.750673492537907,age_mature
Base,22,Predator,0.759051559816062,age_mature
Base,23,Predator,0.758705684834278,age_mature
Base,24,Predator,0.740658719868064,age_mature
Base,25,Predator,0.738789386794853,age_mature
Base,26,Predator,0.746486710168076,age_mature
Base,27,Predator,0.761618280508184,age_mature
Base,28,Predator,0.756571880313098,age_mature
Base,29,Predator,0.778040654771777,age_mature
Base,30,Predator,0.773556386557896,age_mature
Base,31,Predator,0.74400105563843,age_mature
Base,32,Predator,0.76262647760486,age_mature
Base,33,Predator,0.771100829070059,age_mature
Base,34,Predator,0.749802254009688,age_mature
Base,35,Predator,0.762833962398537,age_mature
Base,36,Predator,0.750415474030939,age_mature
Base,37,Predator,0.768063036091081,age_mature
Base,38,Predator,0.766394197155991,age_mature
Base,39,Predator,0.74205833420463,age_mature
Base,40,Predator,0.745818457066091,age_mature
Base,41,Predator,0.767903562858417,age_mature
Base,42,Predator,0.752227286775063,age_mature
Base,43,Predator,0.759657384150476,age_mature
Base,44,Predator,0.757780827204465,age_mature
Base,45,Predator,0.75814673364649,age_mature
Base,46,Predator,0.758762048490293,age_mature
Base,47,Predator,0.747475178908954,age_mature
Base,48,Predator,0.75803841141346,age_mature
Base,49,Predator,0.765137167429996,age_mature
Base,50,Predator,0.753891641616892,age_mature
Base,51,Predator,0.75534381400665,age_mature
Base,52,Predator,0.775440394252729,age_mature
Base,53,Predator,0.756955992094034,age_mature
Base,54,Predator,0.747555694242169,age_mature
Base,55,Predator,0.752426777700117,age_mature
Base,56,Predator,0.753410444746741,age_mature
Base,57,Predator,0.75493600137411,age_mature
Base,58,Predator,0.758723080337047,age_mature
Base,59,Predator,0.764118948026986,age_mature
Base,60,Predator,0.751242645222626,age_mature
Base,61,Predator,0.760812090506943,age_mature
Base,62,Predator,0.751809203402758,age_mature
Base,63,Predator,0.76167833497607,age_mature
Base,64,Predator,0.76682484356892,age_mature
Base,65,Predator,0.749422285091209,age_mature
Base,66,Predator,0.767322068426401,age_mature
Base,67,Predator,0.757911228550474,age_mature
Base,68,Predator,0.749243094821096,age_mature
Base,69,Predator,0.760531966914242,age_mature
Base,70,Predator,0.761177993505674,age_mature
Base,71,Predator,0.75967637683259,age_mature
Base,72,Predator,0.754550156412129,age_mature
Base,73,Predator,0.762781113569797,age_mature
Base,74,Predator,0.742231782639039,age_mature
Base,75,Predator,0.755496214349884,age_mature
Base,76,Predator,0.755952566905255,age_mature
Base,77,Predator,0.758932752143314,age_mature
Base,78,Predator,0.759724038118555,age_mature
Base,79,Predator,0.776840893971052,age_mature
