scenario,run,species,latin,group,species_order,indicator,value
Base,1,EngraulisJaponicus,Engraulis japonicus,Prey,1,age_mature,0.729058404666667
Base,2,EngraulisJaponicus,Engraulis japonicus,Prey,1,age_mature,0.71105457
Base,3,EngraulisJaponicus,Engraulis japonicus,Prey,1,age_mature,0.698822408666667
Base,4,EngraulisJaponicus,Engraulis japonicus,Prey,1,age_mature,0.738199130666667
Base,5,EngraulisJaponicus,Engraulis japonicus,Prey,1,age_mature,0.691157709333333
Base,6,EngraulisJaponicus,Engraulis japonicus,Prey,1,age_mature,0.702019217333333
Base,7,EngraulisJaponicus,Engraulis japonicus,Prey,1,age_mature,0.713198153333333
Base,8,EngraulisJaponicus,Engraulis japonicus,Prey,1,age_mature,0.700516539666667
Base,9,EngraulisJaponicus,Engraulis japonicus,Prey,1,age_mature,0.702737279333333
Base,10,EngraulisJaponicus,Engraulis japonicus,Prey,1,age_mature,0.722169847333333
Base,11,EngraulisJaponicus,Engraulis japonicus,Prey,1,age_mature,0.710254182666667
Base,12,EngraulisJaponicus,Engraulis japonicus,Prey,1,age_mature,0.707792409333333
Base,13,EngraulisJaponicus,Engraulis japonicus,Prey,1,age_mature,0.693054836666667
Base,14,EngraulisJaponicus,Engraulis japonicus,Prey,1,age_mature,0.721841594333333
Base,15,EngraulisJaponicus,Engraulis japonicus,Prey,1,age_mature,0.724932359666667
Base,16,EngraulisJaponicus,Engraulis japonicus,Prey,1,age_mature,0.704238481
Base,17,EngraulisJaponicus,Engraulis japonicus,Prey,1,age_mature,0.707040085
Base,18,EngraulisJaponicus,Engraulis japonicus,Prey,1,age_mature,0.716014978666667
Base,19,EngraulisJaponicus,Engraulis japonicus,Prey,1,age_mature,0.691563389666667
Base,20,EngraulisJaponicus,Engraulis japonicus,Prey,1,age_mature,0.721487789666667
Base,21,EngraulisJaponicus,Engraulis japonicus,Prey,1,age_mature,0.722150237333333
Base,22,EngraulisJaponicus,Engraulis japonicus,Prey,1,age_mature,0.708436495666667
Base,23,EngraulisJaponicus,Engraulis japonicus,Prey,1,age_mature,0.693678654
Base,24,EngraulisJaponicus,Engraulis japonicus,Prey,1,age_mature,0.722670903333333
Base,25,EngraulisJaponicus,Engraulis japonicus,Prey,1,age_mature,0.762331546
Base,26,EngraulisJaponicus,Engraulis japonicus,Prey,1,age_mature,0.703331996333333
Base,27,EngraulisJaponicus,Engraulis japonicus,Prey,1,age_mature,0.705451172666667
Base,28,EngraulisJaponicus,Engraulis japonicus,Prey,1,age_mature,0.689821165
Base,29,EngraulisJaponicus,Engraulis japonicus,Prey,1,age_mature,0.721511368333333
Base,30,EngraulisJaponicus,Engraulis japonicus,Prey,1,age_mature,0.701561912333333
Base,31,EngraulisJaponicus,Engraulis japonicus,Prey,1,age_mature,0.697257506
Base,32,EngraulisJaponicus,Engraulis japonicus,Prey,1,age_mature,0.704840714666667
Base,33,EngraulisJaponicus,Engraulis japonicus,Prey,1,age_mature,0.714033769666667
Base,34,EngraulisJaponicus,Engraulis japonicus,Prey,1,age_mature,0.691628267
Base,35,EngraulisJaponicus,Engraulis japonicus,Prey,1,age_mature,0.690181521333333
Base,36,EngraulisJaponicus,Engraulis japonicus,Prey,1,age_mature,0.72072741
