run,species,scenario,age_future,latin,group,species_order,age_base,log2_response,paired_change_years
1,DecapterusMaruadsi,SSP1-2.6,0.5406323,Decapterus maruadsi,Mid-trophic species,10,0.538637438,0.00533320020149163,0.00199486199999999
1,DecapterusMaruadsi,SSP5-8.5,0.534261487777778,Decapterus maruadsi,Mid-trophic species,10,0.538637438,-0.0117684835733787,-0.00437595022222193
1,EngraulisJaponicus,SSP1-2.6,0.680228179382716,Engraulis japonicus,Prey,1,0.729058404666667,-0.100015620182449,-0.0488302252839511
1,EngraulisJaponicus,SSP5-8.5,0.660274862222222,Engraulis japonicus,Prey,1,0.729058404666667,-0.142967671919128,-0.0687835424444451
1,LarimichthysPolyactis,SSP1-2.6,0.880438037777778,Larimichthys polyactis,Mid-trophic species,13,0.850588999333333,0.0497592789683472,0.029849038444445
1,LarimichthysPolyactis,SSP5-8.5,0.875577188888889,Larimichthys polyactis,Mid-trophic species,13,0.850588999333333,0.0417721722603358,0.024988189555556
1,MiichthysMiiuy,SSP1-2.6,0.571904447777778,Miichthys miiuy,Predator,5,0.582477495333333,-0.0264281850960998,-0.010573047555555
1,MiichthysMiiuy,SSP5-8.5,0.584558094074074,Miichthys miiuy,Predator,5,0.582477495333333,0.00514409790543777,0.00208059874074096
1,MuraenesoxCinereus,SSP1-2.6,0.707095481975309,Muraenesox cinereus,Predator,4,0.689140183666667,0.0371075579274295,0.0179552983086421
1,MuraenesoxCinereus,SSP5-8.5,0.703204238395062,Muraenesox cinereus,Predator,4,0.689140183666667,0.0291462827726776,0.014064054728395
1,PampusArgenteus,SSP1-2.6,0.436507601728395,Pampus argenteus,Mid-trophic species,12,0.436767465666667,-0.000858617038581564,-0.000259863938272042
1,PampusArgenteus,SSP5-8.5,0.436967219382716,Pampus argenteus,Mid-trophic species,12,0.436767465666667,0.000659659517917668,0.000199753716048967
1,PennahiaArgentata,SSP1-2.6,0.59428395691358,Pennahia argentata,Mid-trophic species,11,0.603595326666667,-0.0224292008774067,-0.009311369753087
1,PennahiaArgentata,SSP5-8.5,0.60767603654321,Pennahia argentata,Mid-trophic species,11,0.603595326666667,0.00972076506404873,0.00408070987654297
1,PortunusTrituberculatus,SSP1-2.6,1.01554095382716,Portunus trituberculatus,Invertebrate,8,0.966854065,0.0708783667511884,0.04868688882716
1,PortunusTrituberculatus,SSP5-8.5,1.00548711851852,Portunus trituberculatus,Invertebrate,8,0.966854065,0.0565245453575011,0.0386330535185199
1,ScomberJaponicus,SSP1-2.6,0.790177458271605,Scomber japonicus,Mid-trophic species,9,0.800079604,-0.0179668577006377,-0.00990214572839498
1,ScomberJaponicus,SSP5-8.5,0.791952647654321,Scomber japonicus,Mid-trophic species,9,0.800079604,-0.0147293768079723,-0.00812695634567895
1,ScomberomorusNiphonius,SSP1-2.6,0.664985202962963,Scomberomorus niphonius,Predator,2,0.658587692333333,0.0139466874402144,0.00639751062963001
1,ScomberomorusNiphonius,SSP5-8.5,0.668392911481482,Scomberomorus niphonius,Predator,2,0.658587692333333,0.0213208820980493,0.00980521914814902
1,TodarodesPacificus,SSP1-2.6,1.00698280469136,Todarodes pacificus,Invertebrate,6,1.011919051,-0.0070548375009587,-0.00493624630863998
1,TodarodesPacificus,SSP5-8.5,1.00231003679012,Todarodes pacificus,Invertebrate,6,1.011919051,-0.0137650502607664,-0.00960901420987992
1,TrachurusJaponicus,SSP1-2.6,0.466799969753086,Trachurus japonicus,Mid-trophic species,14,0.470461961333333,-0.0112736126390406,-0.00366199158024699
1,TrachurusJaponicus,SSP5-8.5,0.462940382716049,Trachurus japonicus,Mid-trophic species,14,0.470461961333333,-0.0232516644665294,-0.00752157861728403
1,TrachysalambriaCurvirostris,SSP1-2.6,0.918509251111111,Trachysalambria curvirostris,Invertebrate,7,0.785826317,0.225083768186172,0.132682934111111
1,TrachysalambriaCurvirostris,SSP5-8.5,0.862560991481482,Trachysalambria curvirostris,Invertebrate,7,0.785826317,0.134415989137479,0.076734674481482
1,TrichiurusJaponicus,SSP1-2.6,1.11206578345679,Trichiurus japonicus,Predator,3,1.17776348333333,-0.0828077162570382,-0.06569769987654
1,TrichiurusJaponicus,SSP5-8.5,1.09599448777778,Trichiurus japonicus,Predator,3,1.17776348333333,-0.103809306046988,-0.0817689955555498
