analysis_level,entity_id,display_name,functional_group,scenario,comparison,n_paired_runs,base_mean_years,future_mean_years,mean_change_years,mean_log2_response,pct_change,pct_ci_low,pct_ci_high,t_statistic,df,p_value_raw,p_value_bh,paired_effect_dz,response_detected,direction
Species,EngraulisJaponicus,Engraulis japonicus,Prey,SSP1-2.6,SSP1-2.6 vs Base,100,0.709716360073333,0.677250588201235,-0.0324657718720987,-0.0673727811368836,-4.56256206129424,-4.9700329683704,-4.14386943402068,-21.1883954691783,99,1.45109116869978e-38,6.77175878726563e-38,-2.11883954691783,TRUE,Earlier maturation
Species,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,SSP1-2.6,SSP1-2.6 vs Base,100,0.65874994576,0.665404336167901,0.00665439040790125,0.0145049726963189,1.01047930121856,0.946801712218281,1.07446547802366,30.6975101373875,99,2.17489275008405e-52,3.04484985011767e-51,3.06975101373875,TRUE,Delayed maturation
Species,TrichiurusJaponicus,Trichiurus japonicus,Predator,SSP1-2.6,SSP1-2.6 vs Base,100,1.24388645940667,1.16607523549136,-0.0778112239153084,-0.0922854768973314,-6.19644380031861,-7.05937509204588,-5.32366056504158,-13.35153760134,99,7.20001164601712e-24,1.44000232920342e-23,-1.335153760134,TRUE,Earlier maturation
Species,MuraenesoxCinereus,Muraenesox cinereus,Predator,SSP1-2.6,SSP1-2.6 vs Base,100,0.68802243502,0.702493298893827,0.0144708638738273,0.0300476078720992,2.10458189100817,1.96362952753055,2.24022657653926,29.7933943919076,99,3.15105136820492e-51,2.20573595774345e-50,2.97933943919075,TRUE,Delayed maturation
Species,MiichthysMiiuy,Miichthys miiuy,Predator,SSP1-2.6,SSP1-2.6 vs Base,100,0.583335379216667,0.581907896281482,-0.00142748293518516,-0.0034112939925107,-0.236173551675978,-0.616333770739408,0.14376793863129,-1.24090663272225,99,0.217572747266346,0.234309112440681,-0.124090663272225,FALSE,No detectable change
Species,TodarodesPacificus,Todarodes pacificus,Invertebrate,SSP1-2.6,SSP1-2.6 vs Base,100,1.00903498482333,1.01409738684691,0.00506240202358031,0.00746537266590549,0.518801339107511,0.0409362464764529,0.975163911572796,2.1629986953758,99,0.0329488159637391,0.0419348566811225,0.21629986953758,TRUE,Delayed maturation
Species,TrachysalambriaCurvirostris,Trachysalambria curvirostris,Invertebrate,SSP1-2.6,SSP1-2.6 vs Base,100,0.877772768236667,0.870188656993827,-0.00758411124283955,-0.011125998934766,-0.768229396581277,-1.8113164841624,0.249087841227347,-1.4120133540079,99,0.161081588252199,0.187928519627565,-0.14120133540079,FALSE,No detectable change
Species,PortunusTrituberculatus,Portunus trituberculatus,Invertebrate,SSP1-2.6,SSP1-2.6 vs Base,100,0.998669497586667,0.998476445024691,-0.000193052561975492,1.58776903461752e-05,0.00110056368587408,-0.610491546449599,0.603915793560561,0.00352246234147185,99,0.997196575732102,0.997196575732102,0.000352246234147185,FALSE,No detectable change
Species,ScomberJaponicus,Scomber japonicus,Mid-trophic species,SSP1-2.6,SSP1-2.6 vs Base,100,0.79838711804,0.792246225249383,-0.00614089279061723,-0.0111270344594893,-0.768300622247142,-0.881625874996328,-0.656947836572897,-13.6749164550011,99,1.53677795372129e-24,3.58581522534968e-24,-1.36749164550011,TRUE,Earlier maturation
Species,DecapterusMaruadsi,Decapterus maruadsi,Mid-trophic species,SSP1-2.6,SSP1-2.6 vs Base,100,0.54233692213,0.536031867282716,-0.00630505484728389,-0.0168476276543224,-1.16099637532299,-1.3212099359206,-1.00457456860461,-13.9700513449586,99,3.79182858133306e-25,1.06171200277326e-24,-1.39700513449586,TRUE,Earlier maturation
