Time,Group,EngraulisJaponicus,ScomberJaponicus,ScomberomorusNiphonius,DecapterusMaruadsi,TrichiurusJaponicus,PennahiaArgentata,PampusArgenteus,LarimichthysPolyactis,MuraenesoxCinereus,MiichthysMiiuy,TrachurusJaponicus,TodarodesPacificus,TrachysalambriaCurvirostris,PortunusTrituberculatus
21,SSP1-2.6,856615.5405,1115934.407,94522.85869,43711.57438,1519718.071,728295.6419,13506.70368,685045.5428,840164.3729,69008.81853,11076.20739,893036.3027,273510.2227,406673.8981
22,SSP1-2.6,858080.4397,1104410.883,91363.49259,45004.66956,1517263.038,688094.8091,13684.17553,664880.4738,804253.3323,62249.20021,11556.14456,808768.252,238292.949,416412.4418
23,SSP1-2.6,851425.5596,1135574.423,92104.39164,49485.53176,1505223.905,696018.1723,14269.44757,672800.2039,820112.9927,68644.14947,11523.76844,870031.6033,245725.7395,437044.0007
24,SSP1-2.6,825445.5378,1105331.249,93462.24886,47903.75168,1465604.591,702874.0411,14600.60354,661498.8595,830973.198,69965.5559,11884.66567,901848.5107,259561.31,434104.6773
25,SSP1-2.6,839403.7915,1120456.021,94115.99262,46152.05483,1492968.916,686742.457,13736.68897,653581.7394,833401.0849,70901.62446,12038.45977,911424.7338,270480.949,431164.0075
26,SSP1-2.6,786488.1288,1098643.79,93304.53251,46210.51274,1510955.538,715697.0682,14373.86136,674846.9281,876595.3182,76399.58765,11733.56182,937991.8138,276906.7671,416921.3517
27,SSP1-2.6,799376.2679,1089128.47,91806.34619,43913.81063,1466742.631,694056.0734,13176.17654,628098.3011,829681.4279,61738.13433,12144.38641,835591.4141,264168.2641,411722.0105
28,SSP1-2.6,855266.8876,1121535.044,90735.05938,46294.72774,1472420.102,643128.884,14363.72521,639946.3777,772662.081,60459.85531,11759.24872,783697.272,252449.3401,421871.8458
29,SSP1-2.6,881546.2823,1159571.205,91302.00615,46660.99435,1471165.335,657111.845,15309.23515,649371.7681,795357.3603,65198.00832,11552.45971,865362.5796,267598.5794,451688.1682
30,SSP1-2.6,825220.6972,1138367.174,91503.34904,47486.39762,1438819.47,658621.7743,14780.28388,631371.1016,808734.6951,64452.69307,11484.9583,875338.1252,250358.8381,429136.5924
31,SSP1-2.6,806100.3086,1124703.841,92633.21554,49896.58659,1460359.801,641056.6753,14665.93025,643017.4256,814308.6645,63130.92823,12145.86971,856935.8052,261854.1012,413408.2411
32,SSP1-2.6,813126.1453,1155352.974,89765.04196,50928.97742,1475759.781,639529.343,13332.97161,623812.1715,782618.6243,56203.08693,11875.94612,837851.9747,241448.3922,406905.0337
33,SSP1-2.6,845988.8289,1177449.737,89838.69488,47315.91162,1462250.044,631770.791,13992.22324,632957.1665,802655.6186,60984.23786,12287.21621,847484.8963,258323.2477,440531.952
34,SSP1-2.6,901217.1252,1147030.9,90567.28687,50407.37485,1491352.489,571679.5847,12482.5486,596041.7055,752122.5726,54780.47158,12717.81518,764984.1883,255754.6589,424782.0474
35,SSP1-2.6,918385.3643,1200596.666,93000.38679,55251.89271,1468500.579,574161.3434,13406.87562,611780.7998,788737.9528,66118.28453,13529.22862,830819.9401,275198.7902,452020.6959
36,SSP1-2.6,850120.246,1122024.502,93115.44169,52041.57912,1471374.092,641847.2995,14404.01722,640814.6911,849654.5768,77778.99031,13020.70284,960255.7897,268353.5045,430199.4044
37,SSP1-2.6,826298.5646,1104031.431,93313.03612,51182.55846,1479797.943,700085.2043,14828.43573,646953.4923,836904.3847,72768.46874,12129.62745,926862.9374,260265.2534,407916.12
38,SSP1-2.6,795751.6309,1105542.317,93229.82258,50061.69982,1497025.874,727855.7992,13628.99451,649024.5871,827924.5068,69045.02656,11991.70312,915649.0282,254053.9015,403990.4479
39,SSP1-2.6,816487.8078,1115017.339,92035.87155,49247.01712,1487910.778,657939.7932,13172.56192,653001.8504,815063.076,63215.47881,11277.6363,870826.6118,275364.9858,410594.7624
40,SSP1-2.6,799969.9906,1106220.613,91412.79681,49131.7937,1576754.677,667851.133,14330.95731,674445.4971,846265.9696,67861.26493,12390.87666,920254.0704,275203.0807,411474.7397
41,SSP1-2.6,813890.6384,1105253.883,90811.95947,47255.26075,1546307.849,685507.1808,14928.96399,661113.2608,833983.0121,68344.08665,11850.95467,913154.6598,260201.1497,414726.2422
42,SSP1-2.6,820237.4821,1120042.423,92415.06648,46079.1425,1536727.694,734307.479,14739.47063,665721.9567,856821.9185,76218.61981,12306.40888,917201.8374,266795.208,420171.4406
43,SSP1-2.6,830394.4668,1086368.745,93023.77945,45745.91305,1514915.214,719410.7124,14523.07771,632873.2421,817923.5938,69661.43209,12180.60132,875413.9427,246202.2798,408102.092
44,SSP1-2.6,812936.1872,1081093.383,92463.86453,46021.95561,1559245.884,724466.0121,14226.71814,624647.212,805475.6704,68778.39322,12646.62302,862669.4506,262607.6459,428848.5768
45,SSP1-2.6,796732.6925,1115122.287,93441.73478,49147.9708,1511293.682,713162.6955,14328.37627,668125.3718,806180.2441,70969.22575,12728.65217,902908.6778,268870.8222,424716.6835
46,SSP1-2.6,816343.0405,1111107.312,94179.91827,47199.98898,1498382.577,706760.755,14041.36977,668928.9519,816110.418,71878.57839,10725.49272,921672.8676,266359.0783,414779.9549
47,SSP1-2.6,847864.0089,1114009.992,94314.64552,47087.89179,1494618.371,677133.2933,13757.5453,662405.9416,798417.0279,63795.72102,10805.21149,876570.4376,265303.6691,411350.5052
48,SSP1-2.6,813237.3672,1094155.804,93795.28747,51690.4903,1511203.794,673123.393,13529.4478,653265.3639,827825.7809,66036.1666,11863.11206,917834.7622,278669.9568,410353.3786
49,SSP1-2.6,758353.7938,1078462.48,94699.21225,52809.53771,1526369.993,715943.2895,13557.27794,688896.1623,874326.3519,76432.85773,11339.15754,1009156.633,271972.0353,407177.9443
50,SSP1-2.6,778525.2957,1058569.567,92007.7805,47898.20483,1483921.301,688321.6943,13702.01347,644356.8736,839733.9105,63296.38979,10279.32821,909143.1085,259968.7405,401641.0776
51,SSP1-2.6,799288.9299,1117468.928,94778.36939,47297.00876,1487407.228,704748.4698,13479.43055,671885.3266,856961.2296,77043.38408,11579.17843,928144.0188,261199.055,425577.6169
52,SSP1-2.6,804090.2164,1110464.057,92441.58283,44189.40809,1489882.97,699386.3258,13583.03436,647070.8931,840331.0243,69102.15528,10409.25406,880594.5378,256547.5222,407242.0055
53,SSP1-2.6,826629.5265,1124066.22,93299.05764,46265.75983,1524467.975,734062.4504,14060.77372,684106.7477,830887.0017,75814.95132,10309.96395,920292.8722,262567.9821,403004.6436
54,SSP1-2.6,831651.8487,1122947.038,95778.61259,45037.53505,1554578.582,800099.4223,14399.75851,685294.5727,849309.7643,85298.32772,11417.51802,932261.9546,264377.5545,413872.1341
55,SSP1-2.6,790875.428,1066526.673,94113.69653,45843.56443,1550018.648,762850.8157,12626.83246,655301.3229,811051.6069,72532.99956,10794.19145,908267.1314,251253.563,397660.5422
56,SSP1-2.6,800394.283,1095275.348,93194.10781,48073.45579,1485443.549,723149.7033,13658.31436,638591.5544,791185.1779,66714.12747,12492.48791,856413.1561,265557.208,399415.8793
57,SSP1-2.6,823074.1229,1140886.31,93275.44755,46923.3128,1479787.209,697098.3126,13134.34198,626309.1612,808200.938,66000.62368,13537.58254,871077.0691,267692.2813,412124.2684
58,SSP1-2.6,809921.1149,1125500.18,94453.09562,46377.70572,1477562.56,700737.9238,13435.2894,633995.1897,827788.4463,66224.13766,13161.53366,882073.5257,254004.2567,414811.8155
59,SSP1-2.6,802418.9573,1101620.214,94978.14636,46191.41689,1529754.62,755979.1511,13927.33369,663684.3787,868355.0965,74883.7867,12137.40093,961721.7955,263483.296,392870.2598
60,SSP1-2.6,811288.9385,1064517.354,92374.00747,46973.67347,1521880.724,735732.7906,13676.51765,637880.1824,826959.6486,66306.60703,10852.40371,889372.1932,251157.7014,390101.8454
61,SSP1-2.6,801078.2778,1070951.401,90898.76923,44393.92288,1515933.707,740046.7094,14252.98719,663391.8102,837893.5167,68452.08385,11154.50169,846221.3219,260969.7957,402945.0805
62,SSP1-2.6,779704.5959,1062688.926,93662.78116,45372.98232,1548401.169,813059.067,14238.1706,702275.2592,852100.2749,78026.55667,11643.0063,943323.1642,279762.6142,411948.0392
63,SSP1-2.6,809990.8895,1065587.887,93317.39518,47680.66853,1514474.55,784767.3439,13037.68187,668365.3132,823806.7538,71169.27892,11594.16516,891509.4579,264200.606,399838.7894
64,SSP1-2.6,816521.3872,1107147.407,95012.3763,47639.74714,1500268.09,762471.8088,13184.48839,674699.9198,845526.1082,79080.39656,11882.43245,928569.7625,263917.3729,411772.1567
65,SSP1-2.6,836777.7883,1090345.283,93102.25947,47268.07315,1496386.016,725888.597,13509.47749,656561.087,838552.6291,71432.73763,11425.22635,865552.8374,267651.933,396435.3927
66,SSP1-2.6,821659.7284,1069272.793,90365.33071,47847.38584,1494382.778,726425.3704,14506.5156,670264.4751,858630.7555,71635.20752,10883.7895,876621.8998,259375.7844,399731.4409
67,SSP1-2.6,775030.4123,1065752.187,93309.93303,46622.807,1503413.914,767525.2224,13662.02623,666234.6277,857387.0848,78469.44841,11081.53815,899056.0745,259013.4485,409492.485
68,SSP1-2.6,755138.1194,1030588.578,92463.79671,45114.80766,1514476.345,756325.0226,14419.52765,662427.6082,834690.5597,75802.06242,11702.81831,894443.1472,276588.8017,417049.8907
69,SSP1-2.6,806490.132,1077055.091,90734.39247,46763.87015,1486534.559,727514.9261,14588.15831,648216.4932,817731.1552,65981.11247,12111.12702,844314.7572,256266.6648,405027.9899
70,SSP1-2.6,837714.3636,1143577.96,91518.48124,48244.39712,1479118.959,664162.8455,15158.6423,623996.9245,801052.0385,58271.78971,11875.81955,803175.4691,258071.8861,401414.2371
71,SSP1-2.6,810987.9439,1134103.607,90710.23364,49745.57045,1519035.621,663826.2568,14726.26758,647093.9334,816460.6855,64474.36668,11056.58054,840504.3903,261764.7072,405458.5239
72,SSP1-2.6,860113.8762,1163978.313,90964.60626,47975.80168,1504308.81,612450.01,14116.96956,620202.2597,770717.3754,59272.74249,11404.09042,811030.0331,254457.763,406261.2171
73,SSP1-2.6,838859.7901,1176733.212,93345.582,51112.3346,1496787.191,609713.0236,14005.8988,619581.5195,783985.524,62857.99271,12320.50671,852221.782,250649.7858,430946.2267
74,SSP1-2.6,830749.9143,1163979.561,95416.40166,51635.4723,1459163.801,653555.4614,13853.69912,633716.2969,806454.2416,66649.2587,13086.38306,856796.5457,250979.0265,437505.7349
75,SSP1-2.6,818154.6973,1132040.538,94689.1618,52163.51929,1440356.682,664148.1927,13591.42083,637034.4046,816061.6554,69203.57398,12874.94786,916667.1439,276916.6768,425765.7564
76,SSP1-2.6,797955.5899,1099080.586,94084.4441,50609.20112,1490590.518,724877.8549,13633.30586,650982.1666,839977.8002,83376.03956,12654.92342,1007734.779,280250.2828,430340.144
77,SSP1-2.6,787251.0437,1074422.422,94202.9515,50711.9879,1505897.645,726845.7632,12884.09788,629675.6043,821272.0583,72289.75165,11613.53221,920434.2076,254626.3251,413419.7913
78,SSP1-2.6,789407.5626,1095043.738,94029.77049,51222.00396,1470676.26,707332.0999,13061.83864,629013.801,837576.3781,71127.28046,11850.47831,880504.414,267743.8268,406408.7377
79,SSP1-2.6,790186.0472,1099264.558,94244.54794,48561.44076,1482024.765,760039.8043,12735.11946,658884.2903,864645.0141,78431.61398,11628.71409,925905.4815,272591.3478,393170.4964
80,SSP1-2.6,797199.1487,1102977.837,94912.68457,47843.16864,1515803.646,783441.2287,13255.50324,645923.0904,841769.747,82631.06179,11462.52417,934703.1371,269633.5774,426396.1325
81,SSP1-2.6,797546.8444,1073322.567,91328.15971,48625.44557,1501844.321,695973.5336,12755.81421,654038.4314,785448.6186,61530.26265,12084.86722,818296.5856,253316.0948,409693.4184
82,SSP1-2.6,769330.0239,1092242.657,91637.375,49416.52254,1483630.013,685626.3774,12850.88268,662347.1076,817618.4256,69173.01835,11939.50573,884477.2349,260182.0249,420115.2702
83,SSP1-2.6,807251.5644,1088569.775,92800.159,47903.49285,1538633.468,702594.8109,13484.61185,670970.2124,847285.5347,72628.30587,10853.01801,907915.4163,273885.12,415357.283
84,SSP1-2.6,784077.0686,1070334.826,94569.09195,46010.50703,1518327.62,741086.1867,13967.57001,675770.415,862172.171,74087.42019,10082.44796,881963.6127,266965.6976,415344.5603
85,SSP1-2.6,811470.8583,1049635.914,95820.3623,47417.33051,1518270.266,776552.0544,13318.37536,679945.1069,849289.1924,76048.47028,9926.986367,910137.0166,257265.9121,407622.0965
86,SSP1-2.6,845864.8462,1128213.058,93775.90693,45493.98188,1546012.354,731647.4358,12986.79984,648556.0798,812872.0954,65305.04921,9884.270697,872119.0427,255810.2637,398362.2312
87,SSP1-2.6,851551.2868,1083176.986,90328.25668,42097.76042,1553742.661,715979.2697,13097.24571,658922.9555,835256.0259,67924.7549,10172.04521,893530.8377,261927.2003,416527.6151
88,SSP1-2.6,822734.4464,1090379.227,90094.72994,44654.00478,1506037.773,707633.8493,13139.60476,645437.6444,815215.0437,59796.73874,10981.14118,882880.1336,254755.3591,390896.5938
89,SSP1-2.6,790152.0026,1079662.323,92823.94686,45021.55029,1508639.537,773918.0945,13077.23886,694153.4702,852824.5016,81221.47405,11722.10467,974124.7597,270793.9628,414915.0898
90,SSP1-2.6,795556.7143,1060728.087,93851.1099,44830.15135,1504187.1,756977.4054,12586.64721,686504.5771,854973.241,75223.13421,11380.68607,941469.7881,285113.3982,392928.3054
91,SSP1-2.6,853720.8234,1133525.721,93540.72728,48948.65974,1480570.992,654831.0572,11826.00912,625412.4613,787202.8922,62439.76547,11382.88663,801452.0096,255468.1304,394879.7003
92,SSP1-2.6,849424.2357,1149601.932,91842.05142,49457.13406,1503094.942,653142.6983,14375.9931,663573.4984,836695.4502,70434.44502,12014.19141,849110.8696,268649.6683,446748.8757
