Time,Group,EngraulisJaponicus,ScomberJaponicus,ScomberomorusNiphonius,DecapterusMaruadsi,TrichiurusJaponicus,PennahiaArgentata,PampusArgenteus,LarimichthysPolyactis,MuraenesoxCinereus,MiichthysMiiuy,TrachurusJaponicus,TodarodesPacificus,TrachysalambriaCurvirostris,PortunusTrituberculatus
21,SSP1-2.6,134324.1596,202874.3593,36131.99881,10011.25997,224947.0057,124289.3037,8053.396362,214184.0922,150853.4863,25824.67849,2266.870228,153173.9494,91366.9758,90284.01669
22,SSP1-2.6,135092.1547,202019.6246,34884.47157,10322.85851,223870.9234,116818.8057,8168.93597,209743.8123,143594.5789,23163.62658,2405.162853,138743.0581,80280.83938,91078.28527
23,SSP1-2.6,133869.0654,204926.9464,35194.03664,11188.89853,222030.3601,118790.8397,8458.74278,211265.8478,147430.5207,25957.75324,2335.027674,150810.3391,83294.32126,96278.06504
24,SSP1-2.6,129744.4911,200745.981,35724.17186,10884.03219,216912.8736,119869.526,8691.975969,208252.2252,149077.1649,26144.03566,2446.198369,154363.326,87385.5051,95566.77844
25,SSP1-2.6,131885.6644,204018.4138,36176.9794,10600.00875,221391.7357,117189.5123,8240.415282,207315.0411,149460.2514,26319.88705,2514.368466,155868.5374,91363.30807,95271.75973
26,SSP1-2.6,123355.3926,198971.7254,35674.79915,10555.87304,223637.1929,122143.3262,8562.439758,212767.8069,157267.317,28424.25428,2439.047974,161068.9374,94065.65072,92065.70696
27,SSP1-2.6,124897.2608,198570.9346,35064.41081,10088.02309,217371.9308,117497.5146,7886.561339,196317.6455,148733.6966,23258.70068,2619.227565,143728.7423,88804.20105,90907.60246
28,SSP1-2.6,133905.1632,204755.7402,34611.09193,10603.17813,216859.1242,109513.3918,8492.246184,199834.0826,137712.2311,22300.93978,2540.828123,134119.1997,83973.74951,92394.1946
29,SSP1-2.6,138768.0718,210423.6339,35082.11744,10619.95377,217696.262,112380.3099,8991.467544,202378.2704,142720.4379,24139.68342,2465.446616,148273.0767,89918.59244,98699.21441
30,SSP1-2.6,129573.1597,206826.7182,35172.25484,10801.4812,212518.8353,112136.4783,8750.82252,198930.0604,144875.5921,23815.84544,2444.569973,149414.8913,84364.35432,94160.0131
31,SSP1-2.6,126109.3463,204077.5868,35477.35951,11422.44671,216479.0943,109258.2135,8759.528194,202810.1479,146308.4697,23457.80378,2516.98875,146996.4911,87680.01294,91516.06639
32,SSP1-2.6,126617.889,209667.5719,34300.79359,11541.17628,217731.3872,108986.8105,7944.501676,195881.5533,140178.0994,20599.36867,2460.430153,142395.9919,80605.41162,89169.389
33,SSP1-2.6,132383.1499,212935.6425,34297.09264,10692.32341,216095.7704,108018.6968,8299.266163,199642.5135,144064.8964,22595.79385,2507.782585,145777.9917,86136.43356,96434.18991
34,SSP1-2.6,141300.5868,208687.4728,34636.12368,11462.45284,219710.5364,97037.45033,7483.132149,188551.1438,135000.1658,19646.80021,2726.141495,129738.4715,84789.41982,93466.82552
35,SSP1-2.6,144934.4107,217093.2259,35822.4399,12435.7119,216640.6175,97673.3921,8020.191245,192229.0693,141763.8542,24029.50392,2797.584366,143355.8742,92097.19796,99450.0395
36,SSP1-2.6,134309.2104,202942.7057,35828.1245,11777.9714,218032.7476,110114.6355,8558.392838,200958.6054,152942.042,28853.03396,2634.327602,164307.9042,91305.69162,94916.99521
37,SSP1-2.6,130418.1248,200826.5269,35897.82734,11633.77397,219489.4629,120178.4388,8797.360277,204874.1967,150370.753,27486.51726,2520.443826,158853.9843,87922.39244,90586.28921
38,SSP1-2.6,124200.6845,199708.7008,35527.02209,11332.51403,220743.266,123969.9588,8081.170494,203498.0357,148663.6694,25511.54184,2414.645288,156601.5431,85353.79373,89083.54752
39,SSP1-2.6,128665.2364,202806.0734,35289.25622,11205.48681,220801.7406,112467.7681,7836.950606,207173.8453,146987.9165,23107.46902,2352.813733,149197.229,93210.07739,90788.18179
40,SSP1-2.6,125064.2859,200325.6949,34841.28135,11126.95985,232304.7073,114015.2385,8510.241082,210510.5045,151469.8473,25781.81759,2600.528065,158900.7489,92295.19837,91037.12325
41,SSP1-2.6,127508.8266,200649.5295,34777.28081,10731.67888,228106.8128,116551.0773,8812.046493,208833.8108,149903.763,25726.35828,2479.110147,156405.2227,88189.98842,91344.83134
42,SSP1-2.6,129424.5482,202630.1023,35285.87926,10527.61391,226666.9353,125188.0303,8731.759565,208661.4834,153238.8257,28752.60078,2464.199814,158004.1118,90037.11586,92788.6293
43,SSP1-2.6,130342.92,197273.9517,35611.71558,10386.13978,222852.9293,122622.6406,8613.322203,198402.0327,146294.1091,26326.48136,2575.793011,149831.5923,83454.60679,89897.67444
44,SSP1-2.6,128458.2423,195828.3019,35484.0769,10583.8731,229396.5614,123739.8117,8434.691248,195820.9885,144470.8785,25615.04364,2700.125213,148076.4511,88042.10195,93943.74569
45,SSP1-2.6,124929.2094,201695.4884,35742.6004,11188.62452,223481.5816,121636.1203,8457.375685,211219.244,145337.8059,26547.09568,2601.096123,156194.074,90400.15355,93975.01292
46,SSP1-2.6,127314.6601,201580.6252,35937.67885,10757.25503,221422.8853,120867.3161,8326.130924,210295.6005,146196.5643,26663.94948,2231.437866,157095.7803,89786.11866,91508.93157
47,SSP1-2.6,132407.8525,202521.6821,36248.38818,10770.03643,220812.1288,115623.3982,8243.31573,208475.3658,143136.6655,23716.60035,2251.434062,149667.3143,88400.94084,90621.33341
48,SSP1-2.6,127569.7156,198253.2254,36174.41371,11787.40306,223948.8716,115487.7964,8067.944002,206273.1465,149173.6872,24304.97366,2448.348854,157635.7491,94298.85175,91195.97327
49,SSP1-2.6,119474.6664,194842.7854,36150.67425,11887.13278,226194.6941,122273.6643,8023.799626,216894.4552,157373.0713,28631.48903,2246.136728,173256.2602,92739.72036,90260.46826
50,SSP1-2.6,121672.7734,192648.3568,35012.39309,10866.37064,219483.3105,116485.0148,8064.428548,202078.8401,150431.7674,24125.10787,2172.060613,155389.4701,87176.65008,88851.84608
51,SSP1-2.6,125785.32,202658.4731,36454.59273,10748.49298,221027.7652,121091.2134,8001.041336,212295.0154,153946.358,28529.64026,2328.198348,159685.2448,88799.32636,94381.37689
52,SSP1-2.6,125382.5145,202216.7526,35317.82566,10112.89668,220696.5333,119091.5922,8023.038322,203990.0007,150651.9323,25846.49558,2216.554847,150660.5339,87039.36655,90285.58366
53,SSP1-2.6,130445.6186,203578.6071,35732.228,10514.71712,224996.0677,125124.0495,8342.072376,215867.6854,148630.1559,28752.63416,2123.825815,157872.308,88532.88006,89553.32396
54,SSP1-2.6,131178.7352,203243.3423,36797.57793,10241.64695,229894.7249,136928.314,8606.342279,214374.9989,152753.0491,32048.60366,2337.733804,160812.1917,90081.093,91631.69284
55,SSP1-2.6,124797.5178,194089.9497,36190.48723,10507.98338,229030.9901,130759.254,7570.35992,207457.2168,145104.2096,27076.10511,2250.64954,155407.5535,85182.56782,88078.26393
56,SSP1-2.6,126023.3255,200041.9416,35393.36125,10915.60513,219082.4411,122581.3032,8034.308549,200580.911,141477.1068,24976.09427,2605.607417,146279.9796,89830.65352,88223.10493
57,SSP1-2.6,129090.4779,206563.3975,35880.82796,10676.46988,218756.5846,118923.5266,7833.966088,197590.8663,145251.2469,24687.72405,2805.96185,149893.2021,89823.37772,91011.83894
58,SSP1-2.6,126837.2106,203898.181,36092.2414,10582.59692,219091.0868,119623.1107,8026.110275,200368.9986,148909.9642,24768.86598,2767.401268,152374.8434,85962.2274,91623.7176
59,SSP1-2.6,125979.28,199792.794,36343.59543,10511.92922,226524.6003,129575.2636,8300.022286,209365.2273,155813.3145,28430.74279,2474.342349,165429.8869,89020.6784,87278.33846
60,SSP1-2.6,127268.5229,193816.8137,35413.05498,10713.30416,225256.5528,125245.8631,8203.468376,202850.9142,148597.7203,24933.00833,2262.186274,152431.4965,84586.80459,86183.28501
61,SSP1-2.6,125483.0904,194795.8341,34918.66438,10175.37263,224937.2315,126070.6168,8504.954604,209132.94,150585.3001,25405.6032,2296.746309,145970.1084,88055.83685,89209.08321
62,SSP1-2.6,122075.6256,192724.5645,35588.55763,10345.80716,229181.9118,139456.6834,8472.700903,222448.9458,152988.9402,29495.63282,2375.472092,162516.6485,95444.31351,91535.99087
63,SSP1-2.6,126534.6173,193850.4644,35521.45768,10818.87737,223544.6545,133529.7578,7736.753459,209743.9755,148023.4409,26946.68224,2397.306793,152523.7479,88260.84,88414.06897
64,SSP1-2.6,129270.522,200460.9011,36387.318,10823.61354,222831.0188,130635.7424,7832.457032,213898.4141,152376.2915,29376.22896,2326.458437,160253.9111,89141.71239,91058.90004
65,SSP1-2.6,131593.2017,198227.4962,35642.76886,10782.80415,222280.1467,123694.3698,8053.052409,206829.5676,150501.2468,26711.3725,2356.450695,148402.5787,89826.03908,87824.01917
66,SSP1-2.6,128688.0179,194703.8323,34466.95039,10924.43734,221374.2333,124172.0558,8543.207813,209721.0267,153490.88,27209.12537,2226.324415,151054.4822,87484.6051,88417.65907
67,SSP1-2.6,121330.7035,193458.7005,35658.22968,10618.38404,222437.6631,131560.3652,8132.505382,209552.957,153811.2754,29133.44768,2272.834782,154831.2981,87523.19175,90440.58228
68,SSP1-2.6,118922.739,188030.9648,35421.05119,10331.87826,223953.5154,129032.5167,8542.890087,208021.5529,149691.7907,28161.28937,2452.367342,153466.6897,92933.31088,91911.50492
69,SSP1-2.6,126731.3443,196022.313,34442.70474,10631.44553,219800.312,123201.4788,8652.889908,204008.794,146270.2137,24756.71561,2601.800346,145472.0335,87219.47478,88944.63496
70,SSP1-2.6,131707.8989,208140.2032,35007.27307,11041.06586,218873.0919,113003.5709,9021.005452,197500.4591,143166.7608,21574.07197,2497.910895,138356.8092,87035.97659,88889.72248
71,SSP1-2.6,127745.161,205349.3374,34618.50386,11316.94533,224531.0103,113540.7512,8756.207569,204240.4563,146644.3276,23675.84866,2292.71461,144008.4035,88663.06775,90099.67426
72,SSP1-2.6,134488.3192,211133.1608,34901.21999,10900.81641,221543.1559,104001.741,8375.363922,195971.6626,138012.8355,21416.48379,2312.203129,138015.1217,85039.66484,89736.00283
73,SSP1-2.6,132340.5714,213129.5357,36011.52132,11631.00033,220345.0671,103603.6601,8302.376339,195376.7455,140356.1583,22846.10484,2535.989219,145612.1758,83496.17724,94904.36436
74,SSP1-2.6,131106.0812,210298.7774,36460.06788,11702.35752,215255.1129,111077.0646,8221.481576,198619.552,145366.2741,24446.13066,2704.359454,147702.8488,84900.43967,97002.4414
75,SSP1-2.6,128264.8704,205147.6984,36129.98144,11838.8497,213662.0778,113540.2958,8090.46026,199514.9399,146713.8005,25906.22403,2677.028315,157251.5158,93038.96122,94109.81778
76,SSP1-2.6,124995.1225,199201.0819,36101.4441,11502.52785,221211.2631,123960.8009,8134.481537,204646.3216,150725.7382,30981.53195,2516.431065,173008.9831,94090.58489,95043.48882
77,SSP1-2.6,123089.2229,194380.9913,35863.50716,11583.54883,222536.9691,123212.1704,7646.065653,198486.2813,147125.8981,27456.61846,2360.338125,157192.8207,86036.58663,91785.4656
78,SSP1-2.6,124154.453,198876.7434,35967.21358,11638.17983,218226.0792,120992.8362,7783.851513,199401.9292,150094.6197,26721.77315,2396.003214,151329.4872,91341.75875,90082.87558
79,SSP1-2.6,123408.242,199265.3825,36191.22771,11007.10466,219712.0058,129625.5817,7624.618077,206826.4176,155382.4152,29434.78189,2333.503407,159427.9126,91963.7111,87803.87848
80,SSP1-2.6,125214.744,199896.1215,36407.61531,10878.47234,224528.8606,133534.4649,7898.072656,204273.382,150886.8213,30971.13071,2351.143407,160787.1135,90748.6746,93650.216
81,SSP1-2.6,125191.7755,195174.1269,34914.79507,11094.41297,222165.5305,117949.5318,7578.78578,206295.1054,140882.6611,23165.31638,2527.432561,139322.8979,84887.0571,90176.42389
82,SSP1-2.6,120356.4209,198418.5014,35021.92622,11271.49358,219965.0741,116756.7217,7696.170477,208967.0082,146802.673,26105.9317,2497.373046,152799.5841,87945.77258,92598.21349
83,SSP1-2.6,126823.0118,197462.6407,35567.20968,10963.50715,226765.1504,119850.9162,8061.117367,210440.2217,152124.0968,27091.8201,2269.561681,156283.4547,92498.49521,91370.32283
84,SSP1-2.6,123440.7088,193295.9064,36133.47145,10549.76749,225530.6551,126789.3438,8253.690575,213988.9349,155013.7,27836.4963,2000.375855,151851.4197,89666.47896,91850.85143
85,SSP1-2.6,127600.4641,191203.4742,36660.20898,10785.91755,224771.8037,132705.7765,7840.51666,213937.5963,152203.6067,28655.99451,2033.720079,156415.8497,87148.27547,90426.91744
86,SSP1-2.6,133221.5621,204999.7899,35930.3034,10365.222,227926.1843,124359.0733,7705.303862,202068.5558,145467.0439,24385.06731,2038.218832,148743.628,86076.95391,88814.32128
87,SSP1-2.6,134266.3934,196651.4549,34483.15499,9649.81665,230011.0377,122579.7473,7796.710215,207067.3685,150347.6334,25087.5513,2185.540744,154089.4003,89143.78617,92533.63465
88,SSP1-2.6,128917.9622,198390.5182,34465.50642,10233.48546,221894.9432,120903.2412,7751.512666,204183.0758,145554.7163,22599.33888,2299.879445,149646.6327,85663.18425,86473.1968
89,SSP1-2.6,124281.5738,194915.0197,35546.56992,10236.47166,224151.3039,132525.0947,7837.68101,219009.9626,153772.1467,30386.28215,2384.264177,168027.096,91397.30122,91864.57382
90,SSP1-2.6,124735.2725,192904.7649,36040.88848,10260.04766,222936.6068,129478.1672,7623.18566,215354.4087,153532.075,28096.76172,2353.508286,161116.1586,95731.536,87831.83063
91,SSP1-2.6,133669.9654,206747.1147,35679.5663,11134.99375,218636.3558,111164.1111,7181.591851,197990.8473,141421.9786,23066.07579,2390.351994,136523.7864,84802.82697,87753.89011
92,SSP1-2.6,133747.6449,207784.4469,34987.08505,11253.89698,222408.7187,111690.3574,8461.376315,208810.5021,150112.2619,26409.45027,2481.607333,146808.6781,90370.79758,98091.1683
93,SSP1-2.6,123634.8341,200788.5579,36054.36272,10600.12732,223402.6934,117203.9023,8761.645045,208075.4232,154719.1423,28131.64459,2386.159701,161746.5291,87499.985,92626.40004
94,SSP1-2.6,121439.6115,199761.954,36356.3698,10274.99053,223454.1996,120588.2316,8949.77813,207395.5727,154425.263,28069.6401,2196.119425,164297.8117,89107.75005,91957.55118
95,SSP1-2.6,125280.2907,201201.7257,36611.94677,10184.50503,222609.2726,126709.3265,8604.517902,215555.2042,158803.8225,28409.16502,2158.537675,163889.3928,89398.53176,91037.09527
96,SSP1-2.6,124632.4146,193695.6664,35933.62437,10583.35697,220912.9263,121246.8487,8088.088018,205176.222,152604.8991,25771.16442,2146.092629,150331.3648,86151.14574,92623.54089
97,SSP1-2.6,125444.1372,200469.5769,35984.62783,10778.6874,218845.4508,116458.2182,8032.440488,208333.1302,148773.1932,26935.97885,2175.816615,156653.5038,93228.00478,94680.2637
98,SSP1-2.6,131068.3632,200508.4939,35857.07411,10981.88445,222353.1829,112501.4475,8445.266712,207737.0775,145595.8298,25599.82107,2467.437324,146226.3613,89180.36631,90957.25825
99,SSP1-2.6,131244.5702,198461.9692,36218.30226,10622.62858,226470.0212,125696.4316,8475.22432,213671.0126,151696.6748,32534.5194,2348.227079,158397.6994,91069.77957,89765.68315
100,SSP1-2.6,127786.4012,195682.1108,37143.39701,11054.94783,226272.841,124912.9207,8033.443541,212237.5495,153269.1919,29009.4429,2102.41249,155087.3531,91295.71331,90836.2208
101,SSP1-2.6,130263.3395,198594.3268,36645.5731,11259.85488,228639.7532,124625.2426,7785.198638,216147.5146,154781.7429,28649.31567,1990.890568,160719.145,92519.74868,94316.96417
21,SSP5-8.5,132740.5379,202901.9602,34573.12363,10725.68216,223064.1145,107118.7201,8756.554352,203430.5971,145631.4338,23106.60897,2487.708974,151268.1465,88120.96438,90796.1838
22,SSP5-8.5,135796.9135,206433.0415,34731.25556,11342.48432,214033.5466,109320.8816,8514.783339,205965.4168,142249.1185,23478.61081,2505.913019,142627.9515,87317.25724,90127.78829
23,SSP5-8.5,141716.1233,214389.7037,34930.04902,11923.38015,209297.9839,103890.8311,7984.191046,195249.3271,136573.1486,20077.46409,2383.370536,135202.6956,79341.53745,90079.21489
24,SSP5-8.5,141969.5099,215115.5825,35371.21866,11743.25585,207386.0306,104192.2542,8394.972639,199535.1367,142389.0852,21103.7268,2500.540477,138871.9283,81913.76676,94055.33243
25,SSP5-8.5,142071.0257,212371.2599,34961.29176,11969.29141,207194.0355,98896.68592,9018.745514,189774.9142,138092.2422,20486.17078,2530.501424,138518.0252,84307.16745,94380.38146
26,SSP5-8.5,136102.4095,213871.261,34728.99884,11882.11677,218930.4425,102353.3069,9267.228503,201330.8538,143996.2084,21864.76216,2713.977504,147298.8376,86245.24614,95837.05057
