scenario,run,species,latin,group,species_order,mean_tl
Base,1,EngraulisJaponicus,Engraulis japonicus,Prey,1,2.32749518333333
Base,2,EngraulisJaponicus,Engraulis japonicus,Prey,1,2.33347561
Base,3,EngraulisJaponicus,Engraulis japonicus,Prey,1,2.32897034666667
Base,4,EngraulisJaponicus,Engraulis japonicus,Prey,1,2.32917078333333
Base,5,EngraulisJaponicus,Engraulis japonicus,Prey,1,2.34277879
Base,6,EngraulisJaponicus,Engraulis japonicus,Prey,1,2.32869032333333
Base,7,EngraulisJaponicus,Engraulis japonicus,Prey,1,2.33645711333333
Base,8,EngraulisJaponicus,Engraulis japonicus,Prey,1,2.33109403333333
Base,9,EngraulisJaponicus,Engraulis japonicus,Prey,1,2.33364341666667
Base,10,EngraulisJaponicus,Engraulis japonicus,Prey,1,2.33292626
Base,11,EngraulisJaponicus,Engraulis japonicus,Prey,1,2.33344172
Base,12,EngraulisJaponicus,Engraulis japonicus,Prey,1,2.33124006
Base,13,EngraulisJaponicus,Engraulis japonicus,Prey,1,2.33652750666667
Base,14,EngraulisJaponicus,Engraulis japonicus,Prey,1,2.33260880666667
Base,15,EngraulisJaponicus,Engraulis japonicus,Prey,1,2.33169751666667
Base,16,EngraulisJaponicus,Engraulis japonicus,Prey,1,2.3324418
Base,17,EngraulisJaponicus,Engraulis japonicus,Prey,1,2.33267065666667
Base,18,EngraulisJaponicus,Engraulis japonicus,Prey,1,2.33616886666667
Base,19,EngraulisJaponicus,Engraulis japonicus,Prey,1,2.33557980333333
Base,20,EngraulisJaponicus,Engraulis japonicus,Prey,1,2.33692436333333
Base,21,EngraulisJaponicus,Engraulis japonicus,Prey,1,2.33147572333333
Base,22,EngraulisJaponicus,Engraulis japonicus,Prey,1,2.32750515333333
Base,23,EngraulisJaponicus,Engraulis japonicus,Prey,1,2.33658341333333
Base,24,EngraulisJaponicus,Engraulis japonicus,Prey,1,2.32797258666667
Base,25,EngraulisJaponicus,Engraulis japonicus,Prey,1,2.33233328
Base,26,EngraulisJaponicus,Engraulis japonicus,Prey,1,2.33856710666667
Base,27,EngraulisJaponicus,Engraulis japonicus,Prey,1,2.33440732
Base,28,EngraulisJaponicus,Engraulis japonicus,Prey,1,2.33756622
Base,29,EngraulisJaponicus,Engraulis japonicus,Prey,1,2.33265377
Base,30,EngraulisJaponicus,Engraulis japonicus,Prey,1,2.3274071
Base,31,EngraulisJaponicus,Engraulis japonicus,Prey,1,2.33141169666667
Base,32,EngraulisJaponicus,Engraulis japonicus,Prey,1,2.33406928666667
Base,33,EngraulisJaponicus,Engraulis japonicus,Prey,1,2.34032545333333
Base,34,EngraulisJaponicus,Engraulis japonicus,Prey,1,2.34021191333333
Base,35,EngraulisJaponicus,Engraulis japonicus,Prey,1,2.34254041666667
Base,36,EngraulisJaponicus,Engraulis japonicus,Prey,1,2.33299236666667
Base,37,EngraulisJaponicus,Engraulis japonicus,Prey,1,2.33409331333333
Base,38,EngraulisJaponicus,Engraulis japonicus,Prey,1,2.34117781666667
Base,39,EngraulisJaponicus,Engraulis japonicus,Prey,1,2.33612385
Base,40,EngraulisJaponicus,Engraulis japonicus,Prey,1,2.32730762666667
Base,41,EngraulisJaponicus,Engraulis japonicus,Prey,1,2.33376345333333
Base,42,EngraulisJaponicus,Engraulis japonicus,Prey,1,2.33719371666667
Base,43,EngraulisJaponicus,Engraulis japonicus,Prey,1,2.33726543666667
Base,44,EngraulisJaponicus,Engraulis japonicus,Prey,1,2.33669804333333
Base,45,EngraulisJaponicus,Engraulis japonicus,Prey,1,2.33945139333333
Base,46,EngraulisJaponicus,Engraulis japonicus,Prey,1,2.33413829666667
Base,47,EngraulisJaponicus,Engraulis japonicus,Prey,1,2.33380745666667
Base,48,EngraulisJaponicus,Engraulis japonicus,Prey,1,2.34154040333333
