scenario,run,group,mean_tl
Base,1,Prey,2.32749518333333
Base,2,Prey,2.33347561
Base,3,Prey,2.32897034666667
Base,4,Prey,2.32917078333333
Base,5,Prey,2.34277879
Base,6,Prey,2.32869032333333
Base,7,Prey,2.33645711333333
Base,8,Prey,2.33109403333333
Base,9,Prey,2.33364341666667
Base,10,Prey,2.33292626
Base,11,Prey,2.33344172
Base,12,Prey,2.33124006
Base,13,Prey,2.33652750666667
Base,14,Prey,2.33260880666667
Base,15,Prey,2.33169751666667
Base,16,Prey,2.3324418
Base,17,Prey,2.33267065666667
Base,18,Prey,2.33616886666667
Base,19,Prey,2.33557980333333
Base,20,Prey,2.33692436333333
Base,21,Prey,2.33147572333333
Base,22,Prey,2.32750515333333
Base,23,Prey,2.33658341333333
Base,24,Prey,2.32797258666667
Base,25,Prey,2.33233328
Base,26,Prey,2.33856710666667
Base,27,Prey,2.33440732
Base,28,Prey,2.33756622
Base,29,Prey,2.33265377
Base,30,Prey,2.3274071
Base,31,Prey,2.33141169666667
Base,32,Prey,2.33406928666667
Base,33,Prey,2.34032545333333
Base,34,Prey,2.34021191333333
Base,35,Prey,2.34254041666667
Base,36,Prey,2.33299236666667
Base,37,Prey,2.33409331333333
Base,38,Prey,2.34117781666667
Base,39,Prey,2.33612385
Base,40,Prey,2.32730762666667
Base,41,Prey,2.33376345333333
Base,42,Prey,2.33719371666667
Base,43,Prey,2.33726543666667
Base,44,Prey,2.33669804333333
Base,45,Prey,2.33945139333333
Base,46,Prey,2.33413829666667
Base,47,Prey,2.33380745666667
Base,48,Prey,2.34154040333333
Base,49,Prey,2.33768685
Base,50,Prey,2.33614895
Base,51,Prey,2.33873566
Base,52,Prey,2.33294828
Base,53,Prey,2.33163245333333
Base,54,Prey,2.33616451
Base,55,Prey,2.33410170333333
Base,56,Prey,2.33232894333333
Base,57,Prey,2.33372464333333
Base,58,Prey,2.33607728
Base,59,Prey,2.33638058
Base,60,Prey,2.33399975666667
Base,61,Prey,2.33406985
Base,62,Prey,2.33421328666667
Base,63,Prey,2.33788505333333
Base,64,Prey,2.33718292333333
Base,65,Prey,2.33974743666667
Base,66,Prey,2.33766273666667
Base,67,Prey,2.33185266333333
Base,68,Prey,2.33311248333333
Base,69,Prey,2.33271733333333
Base,70,Prey,2.34004607
