run,group,scenario,tl_future,tl_base,response_tl
1,Prey,SSP1-2.6,2.32705258395062,2.32749518333333,-0.000442599382710185
1,Prey,SSP5-8.5,2.32377466790123,2.32749518333333,-0.00372051543210006
1,Predator,SSP1-2.6,2.99854582253087,2.99754034416667,0.00100547836419773
1,Predator,SSP5-8.5,2.99056206358025,2.99754034416667,-0.00697828058642269
1,Invertebrate,SSP1-2.6,2.28267660987654,2.27770594444444,0.00497066543209979
1,Invertebrate,SSP5-8.5,2.28314291728395,2.27770594444444,0.00543697283951028
1,Mid-trophic species,SSP1-2.6,2.70584939176955,2.70533190166667,0.000517490102881268
1,Mid-trophic species,SSP5-8.5,2.71050467798354,2.70533190166667,0.00517277631687296
2,Prey,SSP1-2.6,2.3241646962963,2.33347561,-0.00931091370369996
2,Prey,SSP5-8.5,2.32439278271605,2.33347561,-0.0090828272839496
2,Predator,SSP1-2.6,2.99372048796296,3.00297842,-0.00925793203703762
2,Predator,SSP5-8.5,2.99433485092593,3.00297842,-0.00864356907407293
2,Invertebrate,SSP1-2.6,2.28440927407408,2.28385489777778,0.000554376296300063
2,Invertebrate,SSP5-8.5,2.28880651810699,2.28385489777778,0.00495162032921614
2,Mid-trophic species,SSP1-2.6,2.70785354855967,2.71102259,-0.00316904144032648
2,Mid-trophic species,SSP5-8.5,2.71075708580247,2.71102259,-0.000265504197528355
3,Prey,SSP1-2.6,2.32796379506173,2.32897034666667,-0.00100655160494023
3,Prey,SSP5-8.5,2.32077992469136,2.32897034666667,-0.00819042197531017
3,Predator,SSP1-2.6,2.99631624814815,3.00396159833333,-0.00764535018518497
3,Predator,SSP5-8.5,2.99731422098766,3.00396159833333,-0.00664737734567744
3,Invertebrate,SSP1-2.6,2.28385344897119,2.28784106333333,-0.00398761436214024
3,Invertebrate,SSP5-8.5,2.2861995382716,2.28784106333333,-0.00164152506173032
3,Mid-trophic species,SSP1-2.6,2.71096839979424,2.70851416555555,0.00245423423868374
3,Mid-trophic species,SSP5-8.5,2.71427757427984,2.70851416555555,0.00576340872428016
4,Prey,SSP1-2.6,2.33098234814815,2.32917078333333,0.00181156481481981
4,Prey,SSP5-8.5,2.32408721728395,2.32917078333333,-0.00508356604938021
4,Predator,SSP1-2.6,2.99913209876543,3.00190343833333,-0.00277133956790054
4,Predator,SSP5-8.5,2.99538811820988,3.00190343833333,-0.00651532012345779
4,Invertebrate,SSP1-2.6,2.28216672716049,2.28085622666667,0.00131050049382697
4,Invertebrate,SSP5-8.5,2.28320500411523,2.28085622666667,0.00234877744856021
4,Mid-trophic species,SSP1-2.6,2.70351114300411,2.70751498888889,-0.00400384588477376
4,Mid-trophic species,SSP5-8.5,2.71030621954732,2.70751498888889,0.00279123065843523
5,Prey,SSP1-2.6,2.32568157777778,2.34277879,-0.0170972122222199
5,Prey,SSP5-8.5,2.32849151851852,2.34277879,-0.0142872714814799
5,Predator,SSP1-2.6,2.99488046327161,3.0033474325,-0.00846696922839252
5,Predator,SSP5-8.5,2.99514407160494,3.0033474325,-0.00820336089505958
5,Invertebrate,SSP1-2.6,2.2822153526749,2.28241390555556,-0.000198552880660063
5,Invertebrate,SSP5-8.5,2.28339379300411,2.28241390555556,0.000979887448556482
5,Mid-trophic species,SSP1-2.6,2.70659963497942,2.70976935222222,-0.00316971724279735
5,Mid-trophic species,SSP5-8.5,2.7127786345679,2.70976935222222,0.00300928234568065
6,Prey,SSP1-2.6,2.32897116049383,2.32869032333333,0.000280837160500091
6,Prey,SSP5-8.5,2.32740610123457,2.32869032333333,-0.00128422209875989
6,Predator,SSP1-2.6,2.99783900925926,3.00559739083333,-0.00775838157407494
6,Predator,SSP5-8.5,2.99763308858025,3.00559739083333,-0.00796430225308509
6,Invertebrate,SSP1-2.6,2.28311031069959,2.28413218111111,-0.00102187041152657
6,Invertebrate,SSP5-8.5,2.28648944855967,2.28413218111111,0.00235726744855702
6,Mid-trophic species,SSP1-2.6,2.70632921995885,2.709195695,-0.00286647504115178
6,Mid-trophic species,SSP5-8.5,2.71492964423868,2.709195695,0.0057339492386852
7,Prey,SSP1-2.6,2.31910845061728,2.33645711333333,-0.0173486627160502
7,Prey,SSP5-8.5,2.32390321604938,2.33645711333333,-0.0125538972839498
7,Predator,SSP1-2.6,2.99191016759259,3.00856701166667,-0.0166568440740744
7,Predator,SSP5-8.5,2.99421658209877,3.00856701166667,-0.014350429567902
7,Invertebrate,SSP1-2.6,2.28411503251029,2.28129732888889,0.00281770362140321
7,Invertebrate,SSP5-8.5,2.28584122921811,2.28129732888889,0.00454390032922003
7,Mid-trophic species,SSP1-2.6,2.70649401707819,2.70629982222222,0.000194194855968277
7,Mid-trophic species,SSP5-8.5,2.71314999382716,2.70629982222222,0.00685017160494006
8,Prey,SSP1-2.6,2.32520509135802,2.33109403333333,-0.00588894197531031
8,Prey,SSP5-8.5,2.31997499753086,2.33109403333333,-0.0111190358024702
8,Predator,SSP1-2.6,2.99796081018518,3.00257853166667,-0.0046177214814831
8,Predator,SSP5-8.5,2.99656404907408,3.00257853166667,-0.00601448259259296
8,Invertebrate,SSP1-2.6,2.28486250946502,2.28166086333333,0.00320164613168661
8,Invertebrate,SSP5-8.5,2.28535424444444,2.28166086333333,0.00369338111110995
8,Mid-trophic species,SSP1-2.6,2.70958913333333,2.70567711111111,0.00391202222222198
8,Mid-trophic species,SSP5-8.5,2.71143372674897,2.70567711111111,0.0057566156378619
9,Prey,SSP1-2.6,2.3313138691358,2.33364341666667,-0.00232954753087
9,Prey,SSP5-8.5,2.32652374444444,2.33364341666667,-0.00711967222222976
9,Predator,SSP1-2.6,3.00285635216049,3.005275205,-0.00241885283950793
9,Predator,SSP5-8.5,2.99474019074074,3.005275205,-0.0105350142592604
9,Invertebrate,SSP1-2.6,2.28742550246914,2.28901248111111,-0.00158697864197332
9,Invertebrate,SSP5-8.5,2.28240092592593,2.28901248111111,-0.00661155518518308
9,Mid-trophic species,SSP1-2.6,2.70961367139918,2.70946674055556,0.000146930843619053
9,Mid-trophic species,SSP5-8.5,2.70748523168724,2.70946674055556,-0.00198150886831616
10,Prey,SSP1-2.6,2.32821308148148,2.33292626,-0.00471317851851971
10,Prey,SSP5-8.5,2.32376227901235,2.33292626,-0.00916398098764981
10,Predator,SSP1-2.6,2.99687824259259,3.00082121416667,-0.00394297157407042
10,Predator,SSP5-8.5,2.99614105679012,3.00082121416667,-0.00468015737654248
10,Invertebrate,SSP1-2.6,2.28168439300412,2.28489822222222,-0.00321382921810676
10,Invertebrate,SSP5-8.5,2.2863319345679,2.28489822222222,0.00143371234567624
10,Mid-trophic species,SSP1-2.6,2.70920159382716,2.70141106444444,0.00779052938271674
10,Mid-trophic species,SSP5-8.5,2.70755886728395,2.70141106444444,0.00614780283950722
11,Prey,SSP1-2.6,2.32422577160494,2.33344172,-0.00921594839506001
11,Prey,SSP5-8.5,2.32829155555556,2.33344172,-0.00515016444444028
11,Predator,SSP1-2.6,2.99700793055556,3.0032027675,-0.00619483694444245
11,Predator,SSP5-8.5,2.99982609475309,3.0032027675,-0.00337667274691222
11,Invertebrate,SSP1-2.6,2.28388342427983,2.28616910666667,-0.00228568238683335
11,Invertebrate,SSP5-8.5,2.28648931563786,2.28616910666667,0.000320208971193114
11,Mid-trophic species,SSP1-2.6,2.71048887345679,2.70928545333333,0.00120342012345853
11,Mid-trophic species,SSP5-8.5,2.70857836152264,2.70928545333333,-0.000707091810697946
12,Prey,SSP1-2.6,2.32528696419753,2.33124006,-0.00595309580246983
12,Prey,SSP5-8.5,2.32591857037037,2.33124006,-0.00532148962962964
12,Predator,SSP1-2.6,2.99428923395062,3.00594320333334,-0.0116539693827176
12,Predator,SSP5-8.5,2.99357722839506,3.00594320333334,-0.0123659749382727
12,Invertebrate,SSP1-2.6,2.28624440041152,2.28103181,0.00521259041152034
12,Invertebrate,SSP5-8.5,2.28552430329218,2.28103181,0.00449249329217638
12,Mid-trophic species,SSP1-2.6,2.70497458559671,2.70492324777778,5.13378189301861e-05
12,Mid-trophic species,SSP5-8.5,2.71054942469136,2.70492324777778,0.00562617691358192
13,Prey,SSP1-2.6,2.32891041728395,2.33652750666667,-0.0076170893827201
13,Prey,SSP5-8.5,2.32476173827161,2.33652750666667,-0.0117657683950601
13,Predator,SSP1-2.6,2.99595189907407,3.002406995,-0.0064550959259253
13,Predator,SSP5-8.5,2.99184758611111,3.002406995,-0.0105594088888874
13,Invertebrate,SSP1-2.6,2.28361935843621,2.27950615777778,0.00411320065843679
13,Invertebrate,SSP5-8.5,2.28341805967078,2.27950615777778,0.0039119018930065
13,Mid-trophic species,SSP1-2.6,2.70544794588477,2.714062165,-0.0086142191152252
13,Mid-trophic species,SSP5-8.5,2.71091085843621,2.714062165,-0.0031513065637836
14,Prey,SSP1-2.6,2.32763399135802,2.33260880666667,-0.00497481530864974
14,Prey,SSP5-8.5,2.32452641234568,2.33260880666667,-0.00808239432099001
14,Predator,SSP1-2.6,2.99413216234568,3.00801530416667,-0.0138831418209873
14,Predator,SSP5-8.5,2.99715254537037,3.00801530416667,-0.0108627587962946
14,Invertebrate,SSP1-2.6,2.28277603209877,2.27935658888889,0.00341944320987642
14,Invertebrate,SSP5-8.5,2.2860537946502,2.27935658888889,0.00669720576131372
14,Mid-trophic species,SSP1-2.6,2.70793500061728,2.70844518277778,-0.000510182160495365
14,Mid-trophic species,SSP5-8.5,2.71368238004115,2.70844518277778,0.00523719726337291
15,Prey,SSP1-2.6,2.32534649259259,2.33169751666667,-0.00635102407408006
15,Prey,SSP5-8.5,2.32381768395062,2.33169751666667,-0.00787983271604986
15,Predator,SSP1-2.6,2.99236789259259,3.00760568916667,-0.0152377965740751
15,Predator,SSP5-8.5,2.99431669290124,3.00760568916667,-0.0132889962654299
15,Invertebrate,SSP1-2.6,2.28468915308642,2.28267813222222,0.00201102086419658
15,Invertebrate,SSP5-8.5,2.28542546666667,2.28267813222222,0.00274733444444308
15,Mid-trophic species,SSP1-2.6,2.70711347901235,2.71469972722222,-0.00758624820987519
15,Mid-trophic species,SSP5-8.5,2.70991524670782,2.71469972722222,-0.00478448051440283
16,Prey,SSP1-2.6,2.32393916049383,2.3324418,-0.00850263950616981
16,Prey,SSP5-8.5,2.32206944320988,2.3324418,-0.0103723567901199
16,Predator,SSP1-2.6,2.99816783179013,3.00382365666667,-0.00565582487654215
16,Predator,SSP5-8.5,2.99453241234568,3.00382365666667,-0.00929124432098716
16,Invertebrate,SSP1-2.6,2.28545003168724,2.28166488444444,0.00378514724279988
16,Invertebrate,SSP5-8.5,2.28424679794239,2.28166488444444,0.00258191349794323
16,Mid-trophic species,SSP1-2.6,2.70887766358025,2.70655531888889,0.00232234469136028
16,Mid-trophic species,SSP5-8.5,2.70876199711934,2.70655531888889,0.00220667823044973
17,Prey,SSP1-2.6,2.32608829259259,2.33267065666667,-0.00658236407408008
17,Prey,SSP5-8.5,2.32293754320988,2.33267065666667,-0.00973311345678995
17,Predator,SSP1-2.6,3.00128520493827,3.00518512,-0.00389991506172738
17,Predator,SSP5-8.5,2.99567507438272,3.00518512,-0.00951004561728253
17,Invertebrate,SSP1-2.6,2.28093837654321,2.28362555,-0.00268717345679015
17,Invertebrate,SSP5-8.5,2.28392508683128,2.28362555,0.000299536831276814
17,Mid-trophic species,SSP1-2.6,2.70972800781893,2.71039927833333,-0.00067127051440341
17,Mid-trophic species,SSP5-8.5,2.71303308127572,2.71039927833333,0.00263380294238669
