run,species,scenario,tl_future,latin,group,species_order,tl_base,response_tl
1,DecapterusMaruadsi,SSP1-2.6,2.72629189506173,Decapterus maruadsi,Mid-trophic species,10,2.70354036333333,0.0227515317283999
1,DecapterusMaruadsi,SSP5-8.5,2.72275690740741,Decapterus maruadsi,Mid-trophic species,10,2.70354036333333,0.0192165440740801
1,EngraulisJaponicus,SSP1-2.6,2.32705258395062,Engraulis japonicus,Prey,1,2.32749518333333,-0.000442599382710185
1,EngraulisJaponicus,SSP5-8.5,2.32377466790123,Engraulis japonicus,Prey,1,2.32749518333333,-0.00372051543210006
1,LarimichthysPolyactis,SSP1-2.6,2.58832627283951,Larimichthys polyactis,Mid-trophic species,13,2.60634763333333,-0.0180213604938202
1,LarimichthysPolyactis,SSP5-8.5,2.6031482037037,Larimichthys polyactis,Mid-trophic species,13,2.60634763333333,-0.00319942962963005
1,MiichthysMiiuy,SSP1-2.6,3.01307753333333,Miichthys miiuy,Predator,5,3.00220581,0.01087172333333
1,MiichthysMiiuy,SSP5-8.5,2.99892078024691,Miichthys miiuy,Predator,5,3.00220581,-0.0032850297530902
1,MuraenesoxCinereus,SSP1-2.6,3.1140391962963,Muraenesox cinereus,Predator,4,3.10841316666667,0.00562602962963021
1,MuraenesoxCinereus,SSP5-8.5,3.11267780987654,Muraenesox cinereus,Predator,4,3.10841316666667,0.0042646432098703
1,PampusArgenteus,SSP1-2.6,2.81295968641975,Pampus argenteus,Mid-trophic species,12,2.82008635,-0.00712666358024983
1,PampusArgenteus,SSP5-8.5,2.81902371975309,Pampus argenteus,Mid-trophic species,12,2.82008635,-0.00106263024690989
1,PennahiaArgentata,SSP1-2.6,2.89255026296296,Pennahia argentata,Mid-trophic species,11,2.88714232,0.00540794296295966
1,PennahiaArgentata,SSP5-8.5,2.89901439876543,Pennahia argentata,Mid-trophic species,11,2.88714232,0.0118720787654301
1,PortunusTrituberculatus,SSP1-2.6,2.15320270987654,Portunus trituberculatus,Invertebrate,8,2.13543704,0.0177656698765403
1,PortunusTrituberculatus,SSP5-8.5,2.15479067901235,Portunus trituberculatus,Invertebrate,8,2.13543704,0.0193536390123503
1,ScomberJaponicus,SSP1-2.6,2.53687773580247,Scomber japonicus,Mid-trophic species,9,2.53805791333333,-0.00118017753085997
1,ScomberJaponicus,SSP5-8.5,2.53463558641975,Scomber japonicus,Mid-trophic species,9,2.53805791333333,-0.00342232691358024
1,ScomberomorusNiphonius,SSP1-2.6,3.08668852469136,Scomberomorus niphonius,Predator,2,3.09056775666667,-0.00387923197531004
1,ScomberomorusNiphonius,SSP5-8.5,3.06955122839506,Scomberomorus niphonius,Predator,2,3.09056775666667,-0.0210165282716099
1,TodarodesPacificus,SSP1-2.6,2.42375241975309,Todarodes pacificus,Invertebrate,6,2.42397870333333,-0.000226283580240239
1,TodarodesPacificus,SSP5-8.5,2.42737982469136,Todarodes pacificus,Invertebrate,6,2.42397870333333,0.00340112135802961
1,TrachurusJaponicus,SSP1-2.6,2.67809049753086,Trachurus japonicus,Mid-trophic species,14,2.67681683,0.00127366753086022
1,TrachurusJaponicus,SSP5-8.5,2.68444925185185,Trachurus japonicus,Mid-trophic species,14,2.67681683,0.00763242185184998
1,TrachysalambriaCurvirostris,SSP1-2.6,2.2710747,Trachysalambria curvirostris,Invertebrate,7,2.27370209,-0.00262739000000023
1,TrachysalambriaCurvirostris,SSP5-8.5,2.26725824814815,Trachysalambria curvirostris,Invertebrate,7,2.27370209,-0.00644384185184999
1,TrichiurusJaponicus,SSP1-2.6,2.78037803580247,Trichiurus japonicus,Predator,3,2.78897464333333,-0.00859660753085967
1,TrichiurusJaponicus,SSP5-8.5,2.78109843580247,Trichiurus japonicus,Predator,3,2.78897464333333,-0.0078762075308596
2,DecapterusMaruadsi,SSP1-2.6,2.72539643209877,Decapterus maruadsi,Mid-trophic species,10,2.70890575,0.01649068209877
2,DecapterusMaruadsi,SSP5-8.5,2.72581220123457,Decapterus maruadsi,Mid-trophic species,10,2.70890575,0.0169064512345698
2,EngraulisJaponicus,SSP1-2.6,2.3241646962963,Engraulis japonicus,Prey,1,2.33347561,-0.00931091370369996
2,EngraulisJaponicus,SSP5-8.5,2.32439278271605,Engraulis japonicus,Prey,1,2.33347561,-0.0090828272839496
2,LarimichthysPolyactis,SSP1-2.6,2.59765745679012,Larimichthys polyactis,Mid-trophic species,13,2.60506704,-0.00740958320987994
2,LarimichthysPolyactis,SSP5-8.5,2.60396462345679,Larimichthys polyactis,Mid-trophic species,13,2.60506704,-0.00110241654320964
2,MiichthysMiiuy,SSP1-2.6,3.00866523950617,Miichthys miiuy,Predator,5,3.01962162333333,-0.01095638382716
2,MiichthysMiiuy,SSP5-8.5,3.00592861481482,Miichthys miiuy,Predator,5,3.01962162333333,-0.0136930085185103
2,MuraenesoxCinereus,SSP1-2.6,3.10668275555556,Muraenesox cinereus,Predator,4,3.12125116,-0.0145684044444399
2,MuraenesoxCinereus,SSP5-8.5,3.11403913703704,Muraenesox cinereus,Predator,4,3.12125116,-0.00721202296295997
2,PampusArgenteus,SSP1-2.6,2.81040759012346,Pampus argenteus,Mid-trophic species,12,2.83001952333333,-0.0196119332098701
2,PampusArgenteus,SSP5-8.5,2.81190442345679,Pampus argenteus,Mid-trophic species,12,2.83001952333333,-0.0181150998765403
2,PennahiaArgentata,SSP1-2.6,2.88981076296296,Pennahia argentata,Mid-trophic species,11,2.90027054333333,-0.0104597803703697
2,PennahiaArgentata,SSP5-8.5,2.91013941851852,Pennahia argentata,Mid-trophic species,11,2.90027054333333,0.00986887518519008
2,PortunusTrituberculatus,SSP1-2.6,2.14971190493827,Portunus trituberculatus,Invertebrate,8,2.14567494666667,0.0040369582716
2,PortunusTrituberculatus,SSP5-8.5,2.15445168024691,Portunus trituberculatus,Invertebrate,8,2.14567494666667,0.00877673358023978
