analysis_level,entity_id,display_name,functional_group,scenario,comparison,n_paired_runs,base_mean,future_mean,mean_change,ci_low,ci_high,t_statistic,df,p_value_raw,p_value_bh,paired_effect_dz,response_detected,direction
Species,EngraulisJaponicus,Engraulis japonicus,Prey,SSP1-2.6,SSP1-2.6 vs Base,100,2.3345905394,2.3261595661358,-0.00843097326419737,-0.00939337665506112,-0.00746893389206802,-17.4956679636729,99,4.70101515604027e-32,2.48421670556436e-31,-1.74956679636729,TRUE,Lower trophic position
Species,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,SSP1-2.6,SSP1-2.6 vs Base,100,3.09354402646667,3.0826207861358,-0.0109232403308638,-0.0121664510475303,-0.00972695662027769,-17.4666967848995,99,5.32332151192363e-32,2.48421670556436e-31,-1.74666967848995,TRUE,Lower trophic position
Species,TrichiurusJaponicus,Trichiurus japonicus,Predator,SSP1-2.6,SSP1-2.6 vs Base,100,2.7845686527,2.78350321376543,-0.00106543893456761,-0.00221276926287008,0.000107289420555835,-1.82650241917395,99,0.0707881722433555,0.0825862009505814,-0.182650241917395,FALSE,No detectable change
Species,MuraenesoxCinereus,Muraenesox cinereus,Predator,SSP1-2.6,SSP1-2.6 vs Base,100,3.11356910333333,3.1105703947037,-0.00299870862963023,-0.00410688778777815,-0.0018634778464203,-5.26968530146187,99,8.00307902519279e-07,1.24492340391888e-06,-0.526968530146187,TRUE,Lower trophic position
Species,MiichthysMiiuy,Miichthys miiuy,Predator,SSP1-2.6,SSP1-2.6 vs Base,100,3.0251973754,3.01007421882716,-0.0151231565728392,-0.0168420454818518,-0.0133721266033332,-17.2981161704898,99,1.09968824252783e-31,3.8489088488474e-31,-1.72981161704898,TRUE,Lower trophic position
Species,TodarodesPacificus,Todarodes pacificus,Invertebrate,SSP1-2.6,SSP1-2.6 vs Base,100,2.43184867786667,2.42552798750617,-0.00632069036049419,-0.00747394184197473,-0.00516440738305592,-10.4633982036739,99,1.06919571248469e-17,2.49478999579761e-17,-1.04633982036739,TRUE,Lower trophic position
Species,TrachysalambriaCurvirostris,Trachysalambria curvirostris,Invertebrate,SSP1-2.6,SSP1-2.6 vs Base,100,2.2742195104,2.27342538946914,-0.000794120930864013,-0.00246787348672882,0.000910281042130092,-0.888611672989788,99,0.376365815392839,0.376365815392839,-0.0888611672989788,FALSE,No detectable change
Species,PortunusTrituberculatus,Portunus trituberculatus,Invertebrate,SSP1-2.6,SSP1-2.6 vs Base,100,2.1413435907,2.15224735259259,0.0109037618925926,0.0102099762273453,0.0116113536900311,29.837374643633,99,2.76265347240658e-51,3.86771486136921e-50,2.9837374643633,TRUE,Higher trophic position
Species,ScomberJaponicus,Scomber japonicus,Mid-trophic species,SSP1-2.6,SSP1-2.6 vs Base,100,2.53868698233333,2.53827061874074,-0.000416363592592091,-0.00091725709456758,9.60133379945342e-05,-1.60706851696973,99,0.11122422601575,0.119779935709269,-0.160706851696973,FALSE,No detectable change
Species,DecapterusMaruadsi,Decapterus maruadsi,Mid-trophic species,SSP1-2.6,SSP1-2.6 vs Base,100,2.7148232517,2.72330324,0.00847998830000078,0.00658340274706863,0.0104095834075932,8.613339631305,99,1.14462132015156e-13,2.00308731026523e-13,0.8613339631305,TRUE,Higher trophic position
Species,PennahiaArgentata,Pennahia argentata,Mid-trophic species,SSP1-2.6,SSP1-2.6 vs Base,100,2.89192399516667,2.89012470958025,-0.00179928558641959,-0.00353457255268485,-0.000188242494259489,-2.08372370582033,99,0.0397609388457578,0.0506048312582371,-0.208372370582033,FALSE,No detectable change
Species,PampusArgenteus,Pampus argenteus,Mid-trophic species,SSP1-2.6,SSP1-2.6 vs Base,100,2.82814235153333,2.81578099903704,-0.0123613524962956,-0.014714403832715,-0.0100799282646909,-10.1327825012573,99,5.61585362277143e-17,1.12317072455429e-16,-1.01327825012573,TRUE,Lower trophic position
Species,LarimichthysPolyactis,Larimichthys polyactis,Mid-trophic species,SSP1-2.6,SSP1-2.6 vs Base,100,2.60773167376667,2.59891816079012,-0.00881351297654284,-0.0103876917144436,-0.00712080719614152,-10.6069610596138,99,5.20829299026673e-18,1.45832203727468e-17,-1.06069610596138,TRUE,Lower trophic position
Species,TrachurusJaponicus,Trachurus japonicus,Mid-trophic species,SSP1-2.6,SSP1-2.6 vs Base,100,2.67468526753333,2.68120231093827,0.00651704340493902,0.00399519162512434,0.0089589024676549,5.09787392664019,99,1.65153805230695e-06,2.31215327322972e-06,0.509787392664019,TRUE,Higher trophic position
Species,EngraulisJaponicus,Engraulis japonicus,Prey,SSP5-8.5,SSP5-8.5 vs Base,100,2.3345905394,2.32505371146914,-0.00953682793086438,-0.0104442329668205,-0.00865805313648158,-20.7217341802747,99,8.80582836061638e-38,4.10938656828764e-37,-2.07217341802747,TRUE,Lower trophic position
Species,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,SSP5-8.5,SSP5-8.5 vs Base,100,3.09354402646667,3.07557865865432,-0.0179653678123449,-0.0192476792821905,-0.0166658795630859,-27.0020915730181,99,1.85609133402602e-47,1.29926393381821e-46,-2.70020915730181,TRUE,Lower trophic position
Species,TrichiurusJaponicus,Trichiurus japonicus,Predator,SSP5-8.5,SSP5-8.5 vs Base,100,2.7845686527,2.78099478639506,-0.00357386630493819,-0.00467302892249959,-0.00239396293697493,-6.16842261192038,99,1.51095163336616e-08,2.35036920745847e-08,-0.616842261192038,TRUE,Lower trophic position
