scenario,run,n_years,start_time,end_time,total_biomass,biomass_temporal_sd,biomass_stability,community_mean_tl,predator_biomass_proportion,total_yield,biomass_yield_ratio,mean_ingestion,mean_maintenance,mean_net_energy,mean_metabolic_burden,mean_species_length,mean_maturation_age,gonadal_allocation_bias,log_total_biomass,log_biomass_stability,predator_share_logit,log_biomass_yield_ratio,log_mean_ingestion,log_mean_maintenance,log_mean_net_energy,log_mean_metabolic_burden,log_mean_species_length,log_mean_maturation_age
Base,1,30,21,50,7616215.32091667,430823.894684916,17.6782565100917,2.61685701330663,0.331182944831756,1448522.30878333,5.25773636832195,49.0523681034161,0.482238730530606,37.2369781214006,0.0310057648813493,17.8620425731429,0.735839820523809,5.86680438136849,6.88173921365426,2.87233543866425,-0.702839636482044,0.720798806066001,3.89288846422244,-0.72931599599064,3.61730230307447,-3.47358212787164,2.88267793470656,-0.306742819097096
Base,2,30,21,50,7687912.70998333,323694.646229664,23.7505093134247,2.61743913276283,0.323083751869245,1476161.3568,5.20813437863269,49.2547450351145,0.466915585781689,37.9465966192606,0.0300596231942698,17.9163115035,0.753926156833333,5.69714516742303,6.8858084436267,3.16760397502649,-0.739635971640534,0.716682181233286,3.89700570886778,-0.76160679614948,3.63617981916819,-3.50457242985664,2.88571155508272,-0.282460851004455
Base,3,30,21,50,7634412.56980333,461045.686549065,16.5589068340429,2.6200514447265,0.333429904300606,1457100.84743233,5.23717437900463,48.2377521598759,0.46311552360348,37.1807614875416,0.0301830829686894,17.6879691606905,0.744715618976191,5.78437273185569,6.88277562587081,2.80692413434118,-0.692712642673187,0.719097034581008,3.87614195431576,-0.769778744995965,3.61579146319011,-3.50047367815293,2.87288470003771,-0.294752852971055
Base,4,30,21,50,7610730.39562333,282012.477598591,26.9872115603915,2.61853861053616,0.333165533133165,1450332.24431533,5.24677732575139,49.0857698157953,0.47412396338907,37.3167465026444,0.031063011131081,17.8200140918095,0.751823327761905,5.74262630454511,6.88142633765984,3.29536310788724,-0.693902376538118,0.719892633047296,3.89356917234218,-0.74628646534178,3.61944219379315,-3.47173752033653,2.88032221282852,-0.285253919121026
Base,5,30,21,50,7599806.01076667,391510.300338494,19.4115097462212,2.62164100388757,0.334661084438982,1444283.97760567,5.26171162575825,49.594092520678,0.462663871088549,37.5796678596504,0.0294350437881748,17.9459494477619,0.754022192642857,5.85536617197481,6.88080250681647,2.96586617603248,-0.687178226808623,0.721127042386363,3.90387172423194,-0.770754468917568,3.62646315572514,-3.5255693488803,2.8873644319635,-0.282333478193991
Base,6,30,21,50,7645317.54179667,401947.632331238,19.0206806231323,2.61585359997142,0.337884951985378,1450245.42332467,5.27011052488582,49.2445161386814,0.474154962136905,37.0600762017614,0.0310488136433603,17.9176811942143,0.744119942690476,5.76355514667339,6.88339552817687,2.94552684107911,-0.672733870579712,0.721819723342469,3.89679801398057,-0.746221086375717,3.61254027702783,-3.4721946792759,2.8857880015299,-0.295553043848861
Base,7,30,21,50,7637628.32685667,274920.987186375,27.7811759844983,2.61809747518139,0.337093782005148,1451238.32040567,5.26286045790086,49.0384224363395,0.474898023587982,36.6974420918068,0.030693715752635,17.8743722622857,0.740625119047619,5.76978908991107,6.88295852029513,3.3243586684856,-0.676272352672522,0.721221855070087,3.89260412219412,-0.744655185179284,3.60270705486059,-3.48369734395384,2.88336796976961,-0.300260693919253
Base,8,30,21,50,7472373.7163,305371.882305554,24.4697503250256,2.61574899791724,0.336640381006695,1422841.829022,5.2522024799723,49.274618041619,0.468281389023175,37.1632863036783,0.0304524521982235,17.8447199249048,0.755816122952381,5.75391474423055,6.87345858416264,3.1974376740934,-0.678302012987035,0.72034146041813,3.89740910144342,-0.758685905151492,3.61532134662519,-3.49158875610739,2.88170766194111,-0.279957155994225
Base,9,30,21,50,7411472.52959333,326937.548991974,22.6693830440849,2.62204184705382,0.338147414132906,1415394.97069533,5.23689935973583,49.2342601151236,0.473376128781304,37.5023997589689,0.029864402668613,17.7664663062619,0.738120988547619,5.89664768018172,6.86990450324826,3.12101524950795,-0.67156091429004,0.719074227914975,3.89658972496673,-0.747865008223694,3.62440492450137,-3.51108805404885,2.87731276511901,-0.303647526697107
Base,10,30,21,50,7612814.90774,357169.160813817,21.3143119366578,2.61546760141326,0.332429355898319,1454051.17082,5.23569306848617,49.4319059008804,0.477819487086224,36.9190860929712,0.0308111330858175,17.6573529426429,0.747326444595238,5.69337946303735,6.88154527081205,3.05937876898574,-0.697217844475945,0.718974179022744,3.90059608414949,-0.738522259894438,3.60872865561677,-3.47987919048968,2.87115229394361,-0.291253181819004
