scenario,run,n_years,start_time,end_time,total_biomass,biomass_temporal_sd,biomass_stability,community_mean_tl,predator_biomass_proportion,total_yield,biomass_yield_ratio
Base,1,30,21,50,7616215.32091667,430823.894684916,17.6782565100917,2.61685701330663,0.331182944831756,1448522.30878333,5.25773636832195
Base,2,30,21,50,7687912.70998333,323694.646229664,23.7505093134247,2.61743913276283,0.323083751869245,1476161.3568,5.20813437863269
Base,3,30,21,50,7634412.56980333,461045.686549065,16.5589068340429,2.6200514447265,0.333429904300606,1457100.84743233,5.23717437900463
Base,4,30,21,50,7610730.39562333,282012.477598591,26.9872115603915,2.61853861053616,0.333165533133165,1450332.24431533,5.24677732575139
Base,5,30,21,50,7599806.01076667,391510.300338494,19.4115097462212,2.62164100388757,0.334661084438982,1444283.97760567,5.26171162575825
Base,6,30,21,50,7645317.54179667,401947.632331238,19.0206806231323,2.61585359997142,0.337884951985378,1450245.42332467,5.27011052488582
Base,7,30,21,50,7637628.32685667,274920.987186375,27.7811759844983,2.61809747518139,0.337093782005148,1451238.32040567,5.26286045790086
Base,8,30,21,50,7472373.7163,305371.882305554,24.4697503250256,2.61574899791724,0.336640381006695,1422841.829022,5.2522024799723
Base,9,30,21,50,7411472.52959333,326937.548991974,22.6693830440849,2.62204184705382,0.338147414132906,1415394.97069533,5.23689935973583
Base,10,30,21,50,7612814.90774,357169.160813817,21.3143119366578,2.61546760141326,0.332429355898319,1454051.17082,5.23569306848617
Base,11,30,21,50,7668600.72623667,331817.303164671,23.1109127013517,2.61029359220811,0.328448924963147,1466917.69866767,5.22886035030177
Base,12,30,21,50,7551397.22759333,264226.900042413,28.5792144039128,2.61766520031662,0.329799858212042,1445806.782221,5.22298229283089
Base,13,30,21,50,7614311.97676,321059.417846469,23.7162081331661,2.62271375765268,0.335518722937429,1438815.99748433,5.29148418639784
Base,14,30,21,50,7565188.43952667,354002.303243002,21.3704497688921,2.62501146606111,0.344505612646539,1436738.53091467,5.26531999068123
Base,15,30,21,50,7743559.35771333,361511.706418978,21.4199408213322,2.61761959551342,0.339807283102,1472273.58537567,5.25990636698347
Base,16,30,21,50,7627334.67105333,399352.720539862,19.0992430469545,2.61566298051332,0.341443940834903,1447227.97251667,5.26916510315698
Base,17,30,21,50,7659512.4183,342713.389379999,22.3496153218781,2.61729083117339,0.331467194596854,1461938.45602833,5.23889523823476
Base,18,30,21,50,7540656.45402333,398313.73238507,18.9314498620735,2.61284069760735,0.329888854113948,1435988.34550667,5.25036392460764
Base,19,30,21,50,7667008.15822333,382989.109532359,20.0188672925582,2.61807327569382,0.341602283397755,1452984.4161,5.27608731756503
Base,20,30,21,50,7437837.77779667,388160.868332528,19.1617403623099,2.6128223049281,0.331845112018367,1428517.40627667,5.20650595401741
Base,21,30,21,50,7664007.74663,334944.035154779,22.8814576234756,2.6167801367783,0.325500252100579,1467093.57997467,5.22448363666841
Base,22,30,21,50,7625600.17003,332022.331578789,22.9671303546654,2.6166940502035,0.328982311772393,1444987.02487933,5.27811639402264
Base,23,30,21,50,7560477.89504333,366776.916900054,20.6132871145311,2.61493405317592,0.329140907078959,1448512.36547,5.21947935145927
Base,24,30,21,50,7459670.98889333,282463.578279244,26.4093198646613,2.6134504360611,0.33461928768476,1419506.346232,5.25529922730162
Base,25,30,21,50,7704413.18868,308918.718423909,24.9399363948796,2.61721178948056,0.319372817076592,1465882.603586,5.25526612992573
Base,26,30,21,50,7602815.7416,387406.324843399,19.6249138283256,2.6151571159324,0.331783311705644,1447827.21666,5.25117020958012
Base,27,30,21,50,7579738.25557,322450.19991105,23.5066942357639,2.61643803784211,0.331968275438326,1438275.4829,5.27079953798995
Base,28,30,21,50,7576971.51868333,339523.428978688,22.3164909163278,2.6157776137497,0.335551079222592,1443681.84297,5.24790501231568
Base,29,30,21,50,7599320.74276,373858.802079589,20.3267134556918,2.61914223500694,0.334877611385377,1447521.819872,5.24904223385526
Base,30,30,21,50,7590777.18229,318704.636165484,23.8175925948833,2.61490412841448,0.327521094096744,1449534.58168333,5.23628961449509
Base,31,30,21,50,7608816.332892,278331.332176323,27.3372612181219,2.61309753400657,0.327193296612806,1442034.612234,5.27800958213233
Base,32,30,21,50,7736025.21715,374276.346165271,20.6692870025346,2.62221782259231,0.33904487490902,1469275.349816,5.26598503848267
Base,33,30,21,50,7618233.55567667,308916.093274054,24.6611740907851,2.61959272064916,0.339881463265598,1454219.38267333,5.23915447678652
Base,34,30,21,50,7719483.54536667,385961.975672041,20.0006322693458,2.61416821007811,0.330508825463748,1474919.83723867,5.23401796033029
Base,35,30,21,50,7895794.31641,342319.778060249,23.0655510503992,2.62080129477462,0.343748101048544,1489749.17622,5.2996113714182
